,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-08,29-216,PHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:08,1,3,3,50.0
1,2014-10-09,29-217,PHI,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,11:18,0,4,4,50.0
2,2014-10-11,29-219,PHI,MTL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:07,1,4,0,100.0
3,2014-10-14,29-222,PHI,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,16:46,2,8,8,50.0
4,2014-10-18,29-226,PHI,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,14:58,0,7,6,53.8
5,2014-10-21,29-229,PHI,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:58,0,8,7,53.3
6,2014-10-22,29-230,PHI,PIT,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,20,15:49,0,7,7,50.0
7,2014-10-25,29-233,PHI,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,13:37,3,1,4,20.0
8,2014-10-28,29-236,PHI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,13:50,3,8,7,53.3
9,2014-10-30,29-238,PHI,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,14:09,1,5,3,62.5
10,2014-11-01,29-240,PHI,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:05,0,2,4,33.3
11,2014-11-04,29-243,PHI,EDM,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,10:06,1,5,2,71.4
12,2014-11-06,29-245,PHI,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,12:26,0,2,6,25.0
13,2014-11-08,29-247,PHI,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:28,1,1,6,14.3
14,2014-11-14,29-253,PHI,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:31,0,4,4,50.0
15,2014-11-15,29-254,PHI,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:34,2,6,7,46.2
16,2014-11-19,29-258,PHI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:20,2,3,2,60.0
17,2014-11-20,29-259,PHI,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:04,0,2,3,40.0
18,2014-11-22,29-261,PHI,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:47,2,2,2,50.0
19,2014-11-24,29-263,PHI,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:14,0,3,3,50.0
20,2014-11-26,29-265,PHI,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,10:39,2,3,6,33.3
21,2014-11-28,29-267,PHI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:36,0,3,1,75.0
22,2014-12-02,29-271,PHI,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:34,1,0,2,0.0
23,2014-12-03,29-272,PHI,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:38,1,5,5,50.0
24,2014-12-06,29-275,PHI,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,7:33,1,1,3,25.0
25,2014-12-09,29-278,PHI,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:20,1,1,1,50.0
26,2014-12-11,29-280,PHI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:26,0,3,1,75.0
27,2014-12-13,29-282,PHI,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:50,3,4,3,57.1
28,2014-12-16,29-285,PHI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:29,1,1,3,25.0
29,2014-12-18,29-287,PHI,FLA,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,0,,13,10:17,3,3,6,33.3
30,2014-12-20,29-289,PHI,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,11:51,2,0,2,0.0
31,2014-12-21,29-290,PHI,WPG,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,17,9:43,1,4,5,44.4
32,2014-12-23,29-292,PHI,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,13:46,2,9,5,64.3
33,2014-12-27,29-296,PHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:54,1,4,4,50.0
34,2014-12-29,29-298,PHI,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:29,1,5,6,45.5
35,2014-12-31,29-300,PHI,COL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,21,12:18,2,0,1,0.0
36,2015-01-02,29-302,PHI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:05,2,1,3,25.0
37,2015-01-03,29-303,PHI,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:05,3,6,2,75.0
38,2015-01-06,29-306,PHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:50,1,5,2,71.4
39,2015-01-08,29-308,PHI,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:55,3,3,4,42.9
40,2015-01-10,29-310,PHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:49,1,3,4,42.9
41,2015-01-12,29-312,PHI,TBL,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,20,11:44,4,5,0,100.0
42,2015-01-14,29-314,PHI,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:05,4,0,5,0.0
43,2015-01-15,29-315,PHI,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,11:28,4,6,5,54.5
44,2015-01-17,29-317,PHI,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,12:42,1,4,7,36.4
45,2015-01-19,29-319,PHI,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:12,2,9,4,69.2
