,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-11-02,23-238,TOR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:01,0,5,6,45.5
1,2022-11-15,23-251,TOR,PIT,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,10:09,0,1,6,14.3
2,2022-11-17,23-253,TOR,NJD,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:39,1,2,2,50.0
3,2022-11-19,23-255,TOR,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,10:09,2,1,4,20.0
4,2022-11-21,23-257,TOR,NYI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:30,1,1,1,50.0
5,2022-11-23,23-259,TOR,NJD,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,13,9:19,0,1,2,33.3
6,2022-11-25,23-261,TOR,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:22,0,2,3,40.0
7,2022-11-26,23-262,TOR,PIT,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,15,12:01,1,5,3,62.5
8,2022-11-28,23-264,TOR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:29,1,2,2,50.0
9,2022-11-30,23-266,TOR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:56,1,2,4,33.3
10,2022-12-03,23-269,TOR,TBL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,9,6:50,0,5,1,83.3
11,2022-12-06,23-272,TOR,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:37,1,1,4,20.0
12,2022-12-08,23-274,TOR,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,14:02,1,2,3,40.0
13,2022-12-10,23-276,TOR,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:54,1,3,3,50.0
14,2022-12-13,23-279,TOR,ANA,W,0,3,3,2,0,0,0,0,0,3,0,0,0,,17,13:03,0,4,6,40.0
15,2022-12-15,23-281,TOR,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:01,0,3,5,37.5
16,2022-12-17,23-283,TOR,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,13,10:24,0,1,2,33.3
17,2022-12-20,23-286,TOR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:22,0,2,4,33.3
18,2022-12-22,23-288,TOR,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:01,1,3,4,42.9
19,2022-12-27,23-293,TOR,STL,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,14,10:55,1,1,2,33.3
20,2022-12-29,23-295,TOR,ARI,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,17,12:18,1,3,2,60.0
21,2022-12-31,23-297,TOR,COL,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,18,11:30,0,3,2,60.0
22,2023-01-03,23-300,TOR,STL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:15,0,3,1,75.0
23,2023-01-05,23-302,TOR,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,13:58,1,3,6,33.3
24,2023-01-07,23-304,TOR,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,10,9:28,0,2,3,40.0
25,2023-01-08,23-305,TOR,PHI,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,17,11:11,1,5,6,45.5
26,2023-01-11,23-308,TOR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:54,0,2,4,33.3
27,2023-01-12,23-309,TOR,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:32,1,3,4,42.9
28,2023-01-23,23-320,TOR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:03,1,2,2,50.0
29,2023-01-25,23-322,TOR,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,11,6:31,1,1,0,100.0
30,2023-01-27,23-324,TOR,OTT,L,0,0,0,0,6,0,0,0,0,0,0,0,0,,20,14:44,2,5,8,38.5
31,2023-01-29,23-326,TOR,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,12:02,2,0,6,0.0
32,2023-02-01,23-329,TOR,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,12,8:26,0,3,1,75.0
33,2023-02-10,23-338,TOR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:51,0,2,6,25.0
34,2023-02-11,23-339,TOR,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,8:14,0,2,4,33.3
35,2023-02-15,23-343,TOR,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,18,14:01,1,4,3,57.1
36,2023-03-07,23-363,TOR,NJD,W,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,14,6:50,1,3,1,75.0
37,2023-10-21,24-226,TOR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,6:52,1,1,3,25.0
38,2023-10-24,24-229,TOR,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,12:01,0,2,3,40.0
39,2023-10-26,24-231,TOR,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:55,0,4,4,50.0
40,2023-10-28,24-233,TOR,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:48,0,3,2,60.0
41,2023-10-31,24-236,TOR,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:26,1,2,3,40.0
42,2023-11-02,24-238,TOR,BOS,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:00,0,0,4,0.0
43,2023-11-04,24-240,TOR,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:12,1,3,3,50.0
44,2023-12-16,24-282,TOR,PIT,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,13,9:56,1,1,3,25.0
45,2023-12-30,24-296,TOR,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:42,2,2,2,50.0
46,2024-01-03,24-300,TOR,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:56,0,1,0,100.0
47,2024-01-06,24-303,TOR,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,14:49,0,0,0,
48,2024-01-09,24-306,TOR,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,13:10,0,3,0,100.0
49,2024-01-11,24-308,TOR,NYI,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,0,,14,9:27,0,0,1,0.0
50,2024-01-13,24-310,TOR,COL,L,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,17,9:59,0,0,0,
51,2024-01-14,24-311,TOR,DET,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,12:57,2,0,0,
52,2024-01-16,24-313,TOR,EDM,L,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,21,18:41,0,0,0,
53,2024-01-18,24-315,TOR,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,16,11:25,3,0,0,
54,2024-01-20,24-317,TOR,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:44,5,0,0,
55,2024-01-21,24-318,TOR,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:52,0,0,0,
56,2024-01-24,24-321,TOR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:10,1,1,0,100.0
57,2024-01-27,24-324,TOR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:13,0,1,0,100.0
58,2024-02-05,24-333,TOR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:35,0,5,3,62.5
59,2024-02-07,24-335,TOR,DAL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,10:26,0,6,3,66.7
60,2024-02-10,24-338,TOR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:10,0,1,2,33.3
61,2024-02-13,24-341,TOR,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,10:35,2,7,3,70.0
62,2024-02-15,24-343,TOR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:12,0,0,1,0.0
63,2024-02-17,24-345,TOR,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,17:23,2,2,2,50.0
64,2024-02-19,24-347,TOR,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,11:20,1,0,0,
65,2024-02-21,24-349,TOR,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,11:43,0,1,1,50.0
66,2024-02-22,24-350,TOR,VEG,W,1,1,2,3,2,1,0,0,0,1,0,0,1,100.0,18,12:41,0,1,1,50.0
67,2024-02-24,24-352,TOR,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:16,0,0,0,
68,2024-02-27,24-355,TOR,VEG,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,12:18,1,1,0,100.0
69,2024-02-29,24-357,TOR,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:53,1,1,1,50.0
70,2024-03-02,24-359,TOR,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:19,1,0,0,
71,2024-03-04,24-361,TOR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:48,0,0,0,
72,2024-03-09,25-000,TOR,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:36,2,0,0,
73,2024-03-14,25-005,TOR,PHI,W,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,19,14:19,0,1,1,50.0
