,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-04-28,18-252,LAK,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,23,17:59,0,8,4,66.7
1,2021-04-30,18-254,LAK,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:18,2,7,12,36.8
2,2021-05-01,18-255,LAK,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:25,0,4,8,33.3
3,2021-05-03,18-257,LAK,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:59,0,3,4,42.9
4,2021-05-05,18-259,LAK,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,17,13:08,1,2,8,20.0
5,2021-05-07,18-261,LAK,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:14,0,2,4,33.3
6,2022-01-20,19-154,LAK,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,15:00,0,2,3,40.0
7,2022-01-23,19-157,LAK,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:38,2,2,3,40.0
8,2022-01-24,19-158,LAK,NYR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:32,0,1,3,25.0
9,2022-01-27,19-161,LAK,NYI,W,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,21,14:11,1,4,2,66.7
10,2022-01-29,19-163,LAK,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:46,0,7,1,87.5
11,2022-01-30,19-164,LAK,PIT,W,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,18,11:00,0,2,5,28.6
12,2022-02-02,19-167,LAK,DET,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,10:57,0,3,7,30.0
13,2022-02-15,19-180,LAK,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:18,0,1,3,25.0
14,2022-02-18,19-183,LAK,VEG,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,20,12:58,1,7,6,53.8
15,2022-02-19,19-184,LAK,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:22,0,6,2,75.0
16,2022-02-23,19-188,LAK,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:48,1,3,3,50.0
17,2022-02-25,19-190,LAK,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,10:54,0,3,2,60.0
18,2022-02-26,19-191,LAK,NYI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,15,9:39,1,5,5,50.0
19,2022-02-28,19-193,LAK,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:49,0,6,8,42.9
