,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-17,21-281,DAL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:38,1,3,3,50.0
1,2015-10-20,21-284,DAL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:19,3,4,4,50.0
2,2015-10-22,21-286,DAL,PIT,W,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,19,11:52,0,7,3,70.0
3,2015-10-24,21-288,DAL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,11:02,4,2,4,33.3
4,2015-10-27,21-291,DAL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:42,2,3,4,42.9
5,2015-10-29,21-293,DAL,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,10:25,1,2,2,50.0
6,2015-10-31,21-295,DAL,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,11:34,2,5,6,45.5
7,2015-11-02,21-297,DAL,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:19,0,0,2,0.0
8,2015-11-03,21-298,DAL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:19,1,6,9,40.0
9,2015-11-06,21-301,DAL,CAR,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,19,14:00,1,7,4,63.6
10,2015-11-08,21-303,DAL,DET,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,17,10:51,0,7,4,63.6
11,2015-11-10,21-305,DAL,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,12:30,1,3,8,27.3
12,2015-11-12,21-307,DAL,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:35,1,9,3,75.0
13,2015-11-14,21-309,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:16,0,3,3,50.0
14,2016-01-02,21-358,DAL,NJD,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,5:23,0,1,1,50.0
15,2016-01-03,21-359,DAL,NYI,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,11,7:25,0,2,0,100.0
16,2016-01-07,21-363,DAL,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,11:05,2,1,0,100.0
17,2016-01-09,22-000,DAL,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:28,0,2,2,50.0
18,2016-02-06,22-028,DAL,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:19,1,5,6,45.5
19,2016-02-09,22-031,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,10:22,0,4,5,44.4
20,2016-02-13,22-035,DAL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,12:15,1,8,1,88.9
21,2016-02-15,22-037,DAL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,9:17,0,2,2,50.0
22,2016-02-16,22-038,DAL,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,10:44,0,1,8,11.1
23,2016-02-23,22-045,DAL,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,11:24,1,3,6,33.3
24,2016-02-25,22-047,DAL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,9:00,1,4,4,50.0
25,2016-02-27,22-049,DAL,NYR,L,0,2,2,2,0,0,0,0,0,2,0,0,0,,18,12:38,2,2,0,100.0
26,2016-02-29,22-051,DAL,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:25,0,0,1,0.0
27,2016-03-01,22-052,DAL,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,11:27,2,1,3,25.0
28,2016-03-04,22-055,DAL,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,13:11,1,1,1,50.0
29,2016-03-06,22-057,DAL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:14,0,0,0,
30,2016-03-08,22-059,DAL,MTL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,9:37,1,0,0,
31,2016-03-11,22-062,DAL,CHI,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,23,15:12,1,8,8,50.0
32,2016-03-12,22-063,DAL,STL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,25,14:11,0,7,12,36.8
33,2016-03-15,22-066,DAL,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:48,1,6,6,50.0
