,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-03-05,20-355,LAK,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:07,2,5,2,71.4
1,2021-03-06,20-356,LAK,STL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,11:48,0,3,3,50.0
2,2021-03-08,20-358,LAK,ANA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,7:08,1,3,2,60.0
3,2021-05-08,21-054,LAK,COL,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,12:53,2,2,4,33.3
4,2021-05-10,21-056,LAK,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:41,0,4,7,36.4
5,2021-05-12,21-058,LAK,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,12:19,1,5,6,45.5
6,2021-05-13,21-059,LAK,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:22,1,13,6,68.4
7,2021-10-16,21-215,LAK,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:27,0,0,0,
8,2021-10-19,21-218,LAK,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:43,0,0,1,0.0
9,2021-10-22,21-221,LAK,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:12,1,2,0,100.0
10,2021-10-23,21-222,LAK,STL,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,20,13:28,0,4,5,44.4
11,2021-10-25,21-224,LAK,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:43,1,2,7,22.2
12,2021-10-28,21-227,LAK,WPG,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,15,9:15,2,4,2,66.7
13,2021-10-30,21-229,LAK,MTL,W,1,1,2,0,0,0,1,0,1,0,1,0,3,33.3,21,12:58,0,8,2,80.0
14,2021-10-31,21-230,LAK,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,14:32,1,5,4,55.6
15,2021-11-03,21-233,LAK,STL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,13:55,0,2,5,28.6
16,2021-11-05,21-235,LAK,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,11:57,1,4,3,57.1
17,2021-11-08,21-238,LAK,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,13:11,3,5,5,50.0
18,2021-11-09,21-239,LAK,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:54,2,0,5,0.0
19,2021-11-11,21-241,LAK,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:51,0,2,5,28.6
20,2021-11-13,21-243,LAK,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:39,2,3,3,50.0
