,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-02,18-340,BUF,DET,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,16:44,1,0,0,
1,2013-10-04,18-342,BUF,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,18:40,1,0,0,
2,2013-10-05,18-343,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,18:06,1,0,0,
3,2013-10-08,18-346,BUF,TBL,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,20,16:35,1,0,0,
4,2013-10-10,18-348,BUF,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,19:20,2,0,0,
5,2013-10-12,18-350,BUF,CHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,16,11:18,2,0,0,
6,2013-10-15,18-353,BUF,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,14:59,1,0,0,
7,2013-10-17,18-355,BUF,VAN,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,19:17,3,0,0,
8,2013-10-25,18-363,BUF,FLA,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,20,15:20,5,0,0,
9,2013-10-26,18-364,BUF,TBL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,14:25,1,0,0,
10,2013-10-28,19-001,BUF,DAL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,23,17:47,3,0,1,0.0
11,2013-10-31,19-004,BUF,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,22,13:53,7,0,0,
12,2013-11-02,19-006,BUF,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,20:18,0,0,0,
13,2013-11-05,19-009,BUF,SJS,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,17:29,5,0,0,
14,2013-11-07,19-011,BUF,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,21:08,4,0,0,
15,2013-11-08,19-012,BUF,ANA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,19:35,0,0,0,
16,2013-11-12,19-016,BUF,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,18,16:43,1,0,0,
17,2013-11-15,19-019,BUF,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,20,17:12,3,0,0,
18,2013-11-16,19-020,BUF,TOR,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,20,18:27,1,0,0,
19,2014-03-15,19-139,BUF,NYI,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,22,18:24,2,0,0,
20,2014-03-16,19-140,BUF,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,20:28,5,0,0,
21,2014-03-18,19-142,BUF,CGY,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,25,21:01,1,0,0,
