,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-03-25,21-357,NSH,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:43,0,0,0,
1,2021-03-07,23-339,NSH,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,13:14,0,4,2,66.7
2,2021-03-09,23-341,NSH,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:32,0,4,8,33.3
3,2021-03-11,23-343,NSH,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,15:27,4,4,5,44.4
4,2021-03-21,23-353,NSH,DAL,W,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,13,9:48,1,1,3,25.0
5,2021-04-06,24-004,NSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:55,1,0,0,
6,2021-04-10,24-008,NSH,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,10:23,1,0,0,
7,2021-04-11,24-009,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:44,0,0,0,
8,2021-04-13,24-011,NSH,TBL,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,17,12:11,0,0,0,
9,2021-04-15,24-013,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:28,1,0,0,
10,2021-05-10,24-038,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:20,0,2,3,40.0
11,2021-10-26,24-207,MIN,VAN,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,15,9:07,1,1,0,100.0
12,2021-11-07,24-219,MIN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:50,0,0,0,
13,2021-11-10,24-222,MIN,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,13,10:02,0,0,0,
14,2021-11-11,24-223,MIN,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:16,0,0,0,
15,2021-11-13,24-225,MIN,SEA,W,3,0,3,3,0,3,0,0,1,0,0,0,3,100.0,17,12:53,0,0,0,
16,2021-11-16,24-228,MIN,SJS,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,13:30,2,0,0,
17,2021-11-18,24-230,MIN,DAL,W,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,12,8:30,0,0,0,
18,2021-11-20,24-232,MIN,FLA,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,12,8:54,1,0,0,
19,2021-11-21,24-233,MIN,TBL,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,0,,12,8:50,1,0,1,0.0
20,2021-11-24,24-236,MIN,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:42,1,0,0,
21,2021-11-26,24-238,MIN,WPG,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,15,12:59,0,0,0,
22,2021-11-28,24-240,MIN,TBL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,14,12:26,0,1,0,100.0
23,2021-11-30,24-242,MIN,ARI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,13,12:31,0,0,0,
24,2021-12-02,24-244,MIN,NJD,W,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,13,11:51,0,0,0,
25,2021-12-04,24-246,MIN,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:54,0,0,0,
26,2021-12-07,24-249,MIN,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,10,7:54,0,1,0,100.0
27,2021-12-20,24-262,MIN,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,8,5:48,0,0,0,
28,2022-01-01,24-274,MIN,STL,L,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,16,12:41,1,0,0,
29,2022-01-06,24-279,MIN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:45,0,0,0,
30,2022-01-08,24-281,MIN,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,5:35,0,0,0,
