,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-01-19,19-259,ANA,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,9:49,0,5,4,55.6
1,2013-01-21,19-261,ANA,CGY,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,11,8:11,1,2,2,50.0
2,2013-01-26,19-266,ANA,NSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,11,8:42,2,2,2,50.0
3,2013-01-29,19-269,ANA,SJS,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,10,9:06,1,1,3,25.0
4,2013-11-04,20-183,ANA,NYR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,14:02,1,6,5,54.5
5,2013-11-06,20-185,ANA,PHX,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,19,13:02,0,4,8,33.3
6,2013-11-08,20-187,ANA,BUF,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,19,15:21,2,8,7,53.3
7,2013-11-10,20-189,ANA,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:32,0,6,4,60.0
8,2013-11-12,20-191,ANA,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,10:04,0,5,3,62.5
9,2013-11-14,20-193,ANA,TBL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,17,14:01,1,6,8,42.9
10,2013-11-15,20-194,ANA,CAR,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:28,2,4,8,33.3
11,2014-03-07,20-306,ANA,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:45,1,4,4,50.0
12,2014-03-10,20-309,ANA,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,10:26,0,3,5,37.5
13,2014-03-20,20-319,ANA,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:55,2,6,7,46.2
14,2014-03-26,20-325,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,9:38,1,3,3,50.0
15,2014-03-28,20-327,ANA,EDM,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,16,11:53,2,7,5,58.3
16,2014-03-29,20-328,ANA,VAN,W,0,1,1,1,0,0,0,0,0,,,,0,,15,11:55,1,8,7,53.3
17,2014-04-02,20-332,ANA,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:05,1,5,4,55.6
18,2014-04-04,20-334,ANA,NSH,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,16,11:26,3,1,8,11.1
19,2014-04-06,20-336,ANA,EDM,L,0,1,1,1,0,0,0,0,0,,,,0,,18,14:08,1,8,7,53.3
20,2014-04-12,20-342,ANA,LAK,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,15,10:21,1,4,2,66.7
21,2014-04-13,20-343,ANA,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,12:56,2,7,4,63.6
