,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-01-25,20-170,OTT,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,8,0.0,19,13:46,1,1,2,33.3
1,2023-01-27,20-172,OTT,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,15:41,0,5,1,83.3
2,2023-01-28,20-173,OTT,MTL,W,0,1,1,2,0,0,0,0,0,0,1,0,1,0.0,21,14:44,1,5,4,55.6
3,2023-01-31,20-176,OTT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15:01,0,1,4,20.0
4,2023-02-11,20-187,OTT,EDM,L,0,1,1,-2,2,0,0,0,0,0,1,0,0,,18,13:00,4,1,2,33.3
5,2023-02-13,20-189,OTT,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:52,4,0,5,0.0
6,2023-02-14,20-190,OTT,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:32,2,2,0,100.0
7,2023-02-17,20-193,OTT,CHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:40,2,1,5,16.7
8,2023-02-19,20-195,OTT,STL,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,16,11:55,0,4,6,40.0
9,2023-02-20,20-196,OTT,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:55,2,1,4,20.0
10,2023-02-24,20-200,OTT,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:15,5,2,5,28.6
11,2023-03-16,20-220,OTT,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,18,11:49,0,5,1,83.3
12,2023-03-18,20-222,OTT,TOR,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,12:20,1,1,0,100.0
13,2023-03-20,20-224,OTT,PIT,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,16,10:27,2,1,1,50.0
14,2023-03-21,20-225,OTT,BOS,L,0,1,1,1,2,0,0,0,0,1,0,0,0,,15,8:14,1,2,3,40.0
15,2023-03-23,20-227,OTT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:21,2,2,5,28.6
16,2023-04-01,20-236,OTT,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:11,2,0,3,0.0
17,2023-04-02,20-237,OTT,CBJ,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,18,12:42,1,5,5,50.0
18,2023-04-04,20-239,OTT,CAR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,13:48,2,2,3,40.0
19,2023-04-06,20-241,OTT,FLA,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,23,16:49,1,2,7,22.2
20,2023-10-11,21-064,OTT,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,16:04,1,1,5,16.7
21,2023-10-14,21-067,OTT,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,14:08,1,4,4,50.0
22,2023-10-15,21-068,OTT,TBL,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,26,17:38,3,6,8,42.9
23,2023-10-18,21-071,OTT,WSH,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,12:54,1,4,6,40.0
24,2023-10-21,21-074,OTT,DET,L,1,0,1,1,2,1,0,0,0,0,0,0,6,16.7,21,16:34,3,4,3,57.1
25,2023-10-24,21-077,OTT,BUF,L,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,21,14:22,3,5,5,50.0
26,2023-10-26,21-079,OTT,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,23,16:00,3,3,7,30.0
27,2023-10-28,21-081,OTT,PIT,W,1,1,2,0,0,0,1,0,0,1,0,0,2,50.0,25,18:53,3,2,9,18.2
28,2023-11-02,21-086,OTT,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:05,1,0,2,0.0
29,2023-12-05,21-119,OTT,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,9:35,1,1,6,14.3
30,2023-12-07,21-121,OTT,TOR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,15:08,1,4,8,33.3
31,2023-12-09,21-123,OTT,DET,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,21,13:23,1,6,4,60.0
32,2023-12-12,21-126,OTT,CAR,L,0,0,0,0,6,0,0,0,0,0,0,0,0,,22,15:03,1,6,7,46.2
33,2023-12-14,21-128,OTT,STL,L,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,20,13:23,3,6,3,66.7
34,2023-12-15,21-129,OTT,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,15:48,3,1,6,14.3
35,2023-12-17,21-131,OTT,VEG,L,1,0,1,-1,2,0,1,0,0,0,0,0,2,50.0,25,17:47,2,4,5,44.4
36,2023-12-19,21-133,OTT,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:57,0,6,4,60.0
37,2023-12-21,21-135,OTT,COL,L,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,23,14:41,3,6,9,40.0
38,2023-12-23,21-137,OTT,PIT,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,13:27,0,1,5,16.7
