,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-11-13,23-217,DAL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,4:25,0,0,0,
1,2021-11-16,23-220,DAL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:50,2,0,0,
2,2021-12-17,23-251,DAL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:56,1,0,1,0.0
3,2021-12-18,23-252,DAL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:11,0,0,0,
4,2021-12-20,23-254,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:12,2,1,0,100.0
5,2022-02-24,23-320,DAL,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:49,0,0,0,
6,2022-02-27,23-323,DAL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,5:24,0,0,0,
7,2022-03-04,23-328,DAL,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,7:46,3,0,0,
8,2022-03-06,23-330,DAL,MIN,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,12,7:01,1,0,0,
9,2022-03-08,23-332,DAL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:25,0,0,0,
10,2022-12-19,24-253,DAL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:04,2,0,0,
11,2022-12-21,24-255,DAL,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:49,0,0,0,
12,2022-12-23,24-257,DAL,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,4:59,4,0,0,
13,2023-11-01,25-205,COL,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,12,11:28,1,0,0,
14,2023-11-09,25-213,COL,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:10,3,1,0,100.0
15,2023-11-11,25-215,COL,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,10:09,1,0,1,0.0
16,2023-11-22,25-226,COL,VAN,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,16,9:03,0,0,0,
17,2023-11-24,25-228,COL,MIN,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,14,10:46,3,0,0,
