,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-08,19-259,STL,EDM,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,14,10:28,3,0,0,
1,2015-10-10,19-261,STL,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,3:27,1,0,0,
2,2015-10-27,19-278,STL,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,16,11:43,2,0,0,
3,2015-10-29,19-280,STL,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,14:17,2,0,0,
4,2015-10-31,19-282,STL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:04,0,0,0,
5,2015-11-03,19-285,STL,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:22,1,0,1,0.0
6,2015-11-04,19-286,STL,CHI,W,1,1,2,2,0,1,0,0,0,1,0,0,5,20.0,17,11:23,0,0,0,
7,2015-11-07,19-289,STL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:03,0,0,0,
8,2015-11-10,19-292,STL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,15,11:48,1,0,0,
9,2015-11-12,19-294,STL,NYR,L,0,1,1,-4,0,0,0,0,0,0,1,0,2,0.0,25,13:09,0,0,0,
10,2015-11-14,19-296,STL,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:40,0,0,0,
11,2015-11-16,19-298,STL,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:39,1,0,0,
12,2015-11-17,19-299,STL,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,14:07,0,0,0,
13,2015-11-19,19-301,STL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:07,1,0,0,
14,2015-11-21,19-303,STL,DET,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,11:45,0,0,0,
15,2015-11-23,19-305,STL,BUF,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,18,11:49,1,0,0,
16,2015-11-25,19-307,STL,PIT,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,20,12:47,2,0,0,
17,2015-11-28,19-310,STL,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,17:17,2,0,0,
18,2015-12-01,19-313,STL,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,14:45,0,0,0,
19,2015-12-04,19-316,STL,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:07,1,0,0,
20,2015-12-05,19-317,STL,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,13:54,3,0,0,
21,2015-12-08,19-320,STL,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,13:04,0,1,0,100.0
22,2015-12-10,19-322,STL,PHI,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,13:41,1,0,0,
23,2015-12-12,19-324,STL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:58,2,0,1,0.0
24,2015-12-13,19-325,STL,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:54,1,0,0,
25,2015-12-15,19-327,STL,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,13:00,0,0,0,
26,2015-12-17,19-329,STL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:27,0,0,0,
27,2015-12-19,19-331,STL,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,13:41,1,0,0,
28,2015-12-21,19-333,STL,PHI,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,20,13:39,0,0,0,
29,2015-12-22,19-334,STL,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,15:08,0,0,0,
