,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-11-05,22-232,PIT,LAK,W,0,0,0,0,2,0,0,0,0,,,,0,,17,10:38,0,0,0,
1,2011-11-29,22-256,PIT,NYR,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,10:39,1,0,0,
2,2011-12-01,22-258,PIT,WSH,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,12:21,2,0,0,
3,2011-12-03,22-260,PIT,CAR,W,0,0,0,2,0,0,0,0,0,,,,0,,22,12:46,1,0,0,
4,2011-12-05,22-262,PIT,BOS,L,0,0,0,-2,0,0,0,0,0,,,,0,,16,11:28,2,0,0,
5,2011-12-08,22-265,PIT,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,7:32,3,0,0,
6,2013-01-31,23-319,PIT,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,16,12:11,1,0,0,
7,2013-02-02,23-321,PIT,NJD,W,1,0,1,3,0,1,0,0,0,,,,1,100.0,19,12:27,1,0,0,
8,2013-02-03,23-322,PIT,WSH,W,0,1,1,2,2,0,0,0,0,,,,2,0.0,21,11:28,2,0,0,
9,2013-02-05,23-324,PIT,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:57,2,0,0,
10,2013-02-07,23-326,PIT,WSH,W,0,0,0,1,4,0,0,0,0,,,,0,,21,16:59,3,0,0,
11,2013-02-09,23-328,PIT,NJD,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,23,15:05,0,0,0,
12,2013-02-10,23-329,PIT,NJD,L,0,0,0,-1,5,0,0,0,0,,,,0,,22,14:12,0,0,0,
13,2013-02-17,23-336,PIT,BUF,W,0,0,0,-1,0,0,0,0,0,,,,0,,12,8:49,0,0,0,
14,2013-02-20,23-339,PIT,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,15,8:59,0,0,0,
15,2013-02-26,23-345,PIT,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:13,1,0,0,
16,2013-02-28,23-347,PIT,CAR,L,0,0,0,-1,7,0,0,0,0,,,,0,,21,12:51,1,0,0,
17,2013-04-03,24-016,PIT,NYR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,24,18:41,2,0,0,
18,2013-04-05,24-018,PIT,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,22,16:30,2,0,0,
19,2013-04-09,24-022,PIT,CAR,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,20,13:50,2,0,0,
20,2013-04-22,24-035,PIT,OTT,W,0,0,0,0,7,0,0,0,0,,,,0,,21,13:10,1,0,0,
21,2013-10-03,24-199,PIT,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,24,16:19,2,0,0,
22,2013-10-05,24-201,PIT,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:13,3,0,0,
23,2013-10-08,24-204,PIT,CAR,W,0,0,0,1,2,0,0,0,0,,,,2,0.0,21,14:04,1,0,0,
24,2013-10-11,24-207,PIT,FLA,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,13:46,1,0,0,
25,2013-10-17,24-213,PIT,PHI,W,0,0,0,0,5,0,0,0,0,,,,0,,19,11:58,4,0,0,
26,2013-10-19,24-215,PIT,VAN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,14:58,1,0,0,
27,2013-10-21,24-217,PIT,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,10:57,2,0,0,
28,2013-10-28,24-224,PIT,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,18,11:56,1,0,0,
29,2013-10-30,24-226,PIT,BOS,W,0,0,0,0,5,0,0,0,0,,,,0,,17,10:25,6,0,0,
30,2013-11-01,24-228,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,,,,6,0.0,23,18:17,2,0,0,
31,2013-11-02,24-229,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,12:46,1,0,1,0.0
