,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-02,23-013,PHI,TOR,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,23,15:53,2,0,0,
1,2022-04-03,23-014,PHI,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:52,2,0,0,
2,2022-04-05,23-016,PHI,CBJ,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,21,14:51,1,0,0,
3,2022-04-07,23-018,PHI,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,15:54,1,0,0,
4,2022-04-09,23-020,PHI,ANA,L,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,21,16:52,1,0,0,
5,2022-04-12,23-023,PHI,WSH,L,0,0,0,-5,0,0,0,0,0,0,0,0,1,0.0,19,13:24,3,0,0,
6,2022-04-13,23-024,PHI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:37,1,0,0,
7,2022-04-16,23-027,PHI,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:47,0,0,0,
8,2022-04-17,23-028,PHI,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:59,3,0,0,
9,2022-04-19,23-030,PHI,TOR,L,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,22,17:26,2,0,0,
10,2022-04-21,23-032,PHI,MTL,W,0,1,1,4,0,0,0,0,0,1,0,0,0,,25,16:52,3,0,0,
11,2022-04-24,23-035,PHI,PIT,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,27,20:05,1,0,0,
12,2022-04-25,23-036,PHI,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,26,17:56,2,0,0,
13,2022-04-27,23-038,PHI,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,28,19:53,0,0,0,
14,2022-04-29,23-040,PHI,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,21:34,2,0,0,
15,2023-04-04,24-015,PHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,14:30,3,0,0,
16,2023-04-06,24-017,PHI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,18:59,0,0,0,
17,2024-03-07,24-353,PHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:48,6,0,0,
18,2024-03-09,24-355,PHI,TBL,L,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,27,20:09,1,0,0,
19,2024-03-12,24-358,PHI,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,14:43,1,0,0,
20,2024-03-14,24-360,PHI,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:45,3,0,0,
21,2024-03-16,24-362,PHI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,15:47,3,0,0,
22,2024-03-19,24-365,PHI,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,14:08,1,0,0,
23,2024-03-21,25-001,PHI,CAR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,15:47,2,0,0,
24,2024-03-23,25-003,PHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:30,2,0,0,
25,2024-03-24,25-004,PHI,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,15:03,2,0,0,
26,2024-03-26,25-006,PHI,NYR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,12:04,1,0,0,
27,2024-03-28,25-008,PHI,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,12:28,0,0,0,
28,2024-04-06,25-017,PHI,CBJ,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,14:25,0,0,0,
