,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-02-24,24-166,TBL,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,12,7:52,0,3,4,42.9
1,2021-03-02,24-172,TBL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:41,2,2,1,66.7
2,2021-03-11,24-181,TBL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:51,2,8,3,72.7
3,2021-03-16,24-186,TBL,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,9:56,4,5,4,55.6
4,2021-03-18,24-188,TBL,CHI,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,14,10:29,2,4,3,57.1
5,2021-03-20,24-190,TBL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:06,3,4,4,50.0
6,2021-03-21,24-191,TBL,FLA,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,15,9:41,2,8,2,80.0
7,2021-03-27,24-197,TBL,CAR,L,0,1,1,3,0,0,0,0,0,1,0,0,0,,16,10:32,2,6,3,66.7
8,2021-03-30,24-200,TBL,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:35,0,8,4,66.7
9,2021-04-01,24-202,TBL,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,11:02,1,1,6,14.3
10,2021-04-03,24-204,TBL,DET,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,13,8:43,1,1,4,20.0
11,2021-04-04,24-205,TBL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:04,0,4,3,57.1
12,2021-04-06,24-207,TBL,CBJ,L,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,12,8:10,0,4,4,50.0
13,2021-04-08,24-209,TBL,CBJ,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,15,11:41,0,2,6,25.0
14,2021-04-10,24-211,TBL,NSH,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,13,9:12,0,2,3,40.0
15,2021-04-13,24-214,TBL,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:32,0,2,9,18.2
16,2021-04-15,24-216,TBL,FLA,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,16,13:38,0,1,1,50.0
17,2021-04-17,24-218,TBL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,12:51,1,3,3,50.0
18,2021-04-19,24-220,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,11:16,0,3,3,50.0
19,2021-04-20,24-221,TBL,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,11,8:54,2,2,4,33.3
20,2021-04-22,24-223,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:33,2,2,2,50.0
21,2021-04-25,24-226,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,12:16,2,1,4,20.0
22,2021-04-27,24-228,TBL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:11,0,6,5,54.5
23,2021-04-29,24-230,TBL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:57,2,2,4,33.3
24,2021-05-01,24-232,TBL,DET,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,10:57,2,4,1,80.0
25,2021-05-02,24-233,TBL,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:03,0,2,2,50.0
26,2021-05-05,24-236,TBL,DAL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,18,11:11,1,6,6,50.0
27,2021-05-07,24-238,TBL,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,10:30,1,3,8,27.3
28,2021-05-08,24-239,TBL,FLA,L,0,0,0,0,12,0,0,0,0,0,0,0,1,0.0,17,12:37,2,1,1,50.0
29,2021-05-10,24-241,TBL,FLA,L,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,16,13:55,2,1,0,100.0
30,2021-10-12,25-031,TBL,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:20,3,6,2,75.0
31,2021-10-14,25-033,TBL,DET,W,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,19,11:03,1,6,3,66.7
32,2021-10-16,25-035,TBL,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,12:50,0,4,4,50.0
33,2021-10-19,25-038,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,16:38,4,5,4,55.6
34,2021-10-23,25-042,TBL,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:18,2,5,3,62.5
35,2021-10-25,25-044,TBL,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,13:20,0,4,5,44.4
36,2021-10-26,25-045,TBL,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,15,13:14,2,4,4,50.0
37,2021-10-28,25-047,TBL,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:47,1,4,8,33.3
38,2021-11-01,25-051,TBL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:10,1,3,5,37.5
39,2021-11-04,25-054,TBL,TOR,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,9:52,0,4,2,66.7
40,2021-11-06,25-056,TBL,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,9:39,1,5,3,62.5
41,2021-11-09,25-059,TBL,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,9:51,2,1,7,12.5
42,2021-11-13,25-063,TBL,FLA,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,19,13:53,3,13,8,61.9
43,2021-11-15,25-065,TBL,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,14:19,5,6,6,50.0
44,2021-11-18,25-068,TBL,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,20,13:14,0,6,5,54.5
45,2021-11-20,25-070,TBL,NJD,L,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,19,14:08,0,10,8,55.6
46,2021-11-21,25-071,TBL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,15:33,2,6,6,50.0
47,2021-11-23,25-073,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:29,3,11,9,55.0
48,2021-11-26,25-076,TBL,SEA,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:26,3,3,9,25.0
