,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-08,22-188,SJS,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,11:00,0,6,5,54.5
1,2018-10-09,22-189,SJS,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:48,0,5,6,45.5
2,2018-10-11,22-191,SJS,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,8:33,0,1,1,50.0
3,2018-10-14,22-194,SJS,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:18,0,2,4,33.3
4,2018-10-18,22-198,SJS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:48,3,2,3,40.0
5,2018-10-20,22-200,SJS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:01,3,4,8,33.3
6,2018-10-23,22-203,SJS,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:25,3,4,3,57.1
7,2018-10-28,22-208,SJS,ANA,W,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,16,10:17,0,3,4,42.9
8,2018-11-03,22-214,SJS,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,7:51,0,3,3,50.0
9,2018-11-06,22-217,SJS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:17,1,1,1,50.0
10,2018-11-08,22-219,SJS,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,8:37,0,2,1,66.7
11,2018-11-09,22-220,SJS,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:40,2,1,10,9.1
12,2018-11-15,22-226,SJS,TOR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,10,5:39,2,0,2,0.0
13,2022-12-12,26-253,OTT,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,11:26,1,3,2,60.0
14,2022-12-14,26-255,OTT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:42,4,1,3,25.0
15,2022-12-17,26-258,OTT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:01,1,6,1,85.7
16,2022-12-18,26-259,OTT,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,11:10,2,3,6,33.3
17,2022-12-20,26-261,OTT,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,13:03,2,4,2,66.7
18,2022-12-22,26-263,OTT,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:39,0,2,0,100.0
