,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-19,21-344,BOS,CBJ,L-OT,1,2,3,0,0,1,0,0,0,1,1,0,6,16.7,19,19:40,1,1,0,100.0
1,2018-03-21,21-346,BOS,STL,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,19,16:17,2,0,1,0.0
2,2018-03-23,21-348,BOS,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:09,1,0,0,
3,2018-03-25,21-350,BOS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:10,0,0,0,
4,2018-03-27,21-352,BOS,WPG,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,22,19:13,1,0,0,
5,2018-03-29,21-354,BOS,TBL,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,11:31,0,1,0,100.0
6,2018-03-31,21-356,BOS,FLA,W,1,1,2,3,0,1,0,0,0,1,0,0,2,50.0,17,14:00,0,0,0,
7,2018-04-01,21-357,BOS,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,16:02,0,0,0,
8,2018-04-03,21-359,BOS,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:35,0,0,0,
9,2018-04-05,21-361,BOS,FLA,L,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,15,11:15,0,0,0,
10,2018-04-07,21-363,BOS,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:15,0,7,0,100.0
11,2018-04-08,21-364,BOS,FLA,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,15,11:14,1,3,3,50.0
12,2018-10-03,22-177,BOS,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:38,0,0,0,
13,2018-10-04,22-178,BOS,BUF,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,17,12:45,0,0,2,0.0
14,2018-10-08,22-182,BOS,OTT,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,12:56,0,0,0,
15,2018-10-13,22-187,BOS,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:08,0,0,0,
16,2018-10-17,22-191,BOS,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,16,10:51,0,0,0,
17,2018-10-18,22-192,BOS,EDM,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:02,0,0,0,
18,2018-10-20,22-194,BOS,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:30,0,0,1,0.0
19,2018-10-23,22-197,BOS,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:17,2,0,0,
20,2018-10-25,22-199,BOS,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:09,0,0,0,
21,2018-10-27,22-201,BOS,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:45,0,0,0,
22,2018-10-30,22-204,BOS,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:09,1,0,0,
23,2018-11-29,22-234,BOS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:41,0,1,0,100.0
24,2018-12-01,22-236,BOS,DET,L,1,0,1,-1,0,0,1,0,0,0,0,0,6,16.7,18,12:10,0,0,0,
25,2018-12-04,22-239,BOS,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,17,12:05,0,2,0,100.0
26,2018-12-06,22-241,BOS,TBL,L,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,20,15:34,0,0,0,
27,2018-12-08,22-243,BOS,TOR,W,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,14,10:04,0,0,1,0.0
28,2018-12-09,22-244,BOS,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,12:10,1,0,2,0.0
29,2018-12-11,22-246,BOS,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,15:27,0,2,0,100.0
30,2018-12-14,22-249,BOS,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,14:01,0,0,0,
31,2018-12-16,22-251,BOS,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,17,16:53,1,1,1,50.0
32,2018-12-17,22-252,BOS,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:55,1,0,0,
33,2018-12-20,22-255,BOS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:22,0,0,0,
34,2018-12-22,22-257,BOS,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:15,2,0,0,
35,2018-12-23,22-258,BOS,CAR,L,2,0,2,-2,0,1,1,0,0,0,0,0,5,40.0,22,15:16,0,0,1,0.0
36,2018-12-27,22-262,BOS,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:10,0,0,0,
37,2018-12-29,22-264,BOS,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,11:14,0,0,0,
38,2019-01-03,22-269,BOS,CGY,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,16,10:04,0,0,0,
39,2019-01-05,22-271,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,15,12:04,0,0,0,
40,2019-01-08,22-274,BOS,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,10:30,1,0,0,
41,2019-01-10,22-276,BOS,WSH,L,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,18,15:28,0,0,0,
42,2019-01-12,22-278,BOS,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:07,1,0,1,0.0
43,2019-01-14,22-280,BOS,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:03,1,0,0,
44,2019-01-16,22-282,BOS,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:05,2,1,1,50.0
45,2019-01-17,22-283,BOS,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,9:24,2,0,0,
46,2019-02-21,22-318,MIN,NYR,W,0,2,2,1,4,0,0,0,0,1,1,0,3,0.0,22,16:58,1,0,0,
47,2019-02-22,22-319,MIN,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,19,14:19,1,0,0,
48,2019-02-24,22-321,MIN,STL,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,16:29,0,0,0,
49,2019-02-26,22-323,MIN,WPG,W,0,2,2,0,0,0,0,0,0,0,2,0,2,0.0,16,13:28,0,1,0,100.0
50,2019-03-02,22-327,MIN,CGY,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,22,14:21,0,0,1,0.0
51,2019-03-03,22-328,MIN,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:16,0,1,1,50.0
52,2019-03-05,22-330,MIN,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,19:01,0,0,1,0.0
53,2019-03-07,22-332,MIN,TBL,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,20,13:38,0,0,0,
54,2019-03-08,22-333,MIN,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,16:07,2,0,1,0.0
55,2019-03-11,22-336,MIN,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,16:45,0,0,0,
56,2019-03-14,22-339,MIN,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,19:11,0,0,0,
57,2019-03-16,22-341,MIN,NYR,W,2,0,2,2,0,2,0,0,0,0,0,0,6,33.3,22,14:06,0,0,1,0.0
58,2019-03-17,22-342,MIN,NYI,L-OT,0,2,2,0,0,0,0,0,0,0,2,0,3,0.0,20,16:16,0,1,2,33.3
59,2019-03-19,22-344,MIN,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,18,12:58,0,1,0,100.0
60,2019-03-22,22-347,MIN,WSH,W,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,16,12:20,1,0,0,
61,2019-03-23,22-348,MIN,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:27,4,0,0,
62,2019-03-25,22-350,MIN,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,23,21:11,0,0,0,
63,2019-03-29,22-354,MIN,VEG,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,14,11:11,0,0,0,
64,2019-03-31,22-356,MIN,ARI,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,20,16:51,0,0,0,
65,2019-04-02,22-358,MIN,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,16,14:37,0,0,0,
66,2019-04-04,22-360,MIN,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,19,16:27,0,0,0,
67,2019-04-06,22-362,MIN,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:59,0,0,0,
68,2019-10-03,23-177,MIN,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,13:28,0,0,0,
69,2019-10-05,23-179,MIN,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,11:07,1,0,0,
70,2019-10-10,23-184,MIN,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,10:37,0,0,0,
71,2019-10-14,23-188,MIN,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,11:36,0,0,1,0.0
72,2019-10-15,23-189,MIN,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,17,14:05,1,1,0,100.0
73,2019-10-17,23-191,MIN,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:54,1,3,3,50.0
74,2019-10-20,23-194,MIN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:38,0,3,3,50.0
75,2019-10-22,23-196,MIN,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,9:32,1,0,0,
76,2019-10-24,23-198,MIN,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:36,0,0,1,0.0
77,2019-10-26,23-200,MIN,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,10:25,1,0,0,
78,2019-10-29,23-203,MIN,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:59,0,0,0,
79,2019-11-02,23-207,MIN,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:27,1,1,2,33.3
