,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-11-04,22-103,BUF,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:20,0,0,0,
1,2023-11-07,22-106,BUF,CAR,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,23,19:26,1,0,0,
2,2023-11-10,22-109,BUF,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,19,18:00,1,0,0,
3,2023-11-11,22-110,BUF,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:18,0,0,0,
4,2023-11-14,22-113,BUF,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:58,0,0,0,
5,2023-11-17,22-116,BUF,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,16:54,0,0,0,
6,2023-11-19,22-118,BUF,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:20,0,0,0,
7,2023-11-22,22-121,BUF,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,10:15,0,0,0,
8,2023-11-24,22-123,BUF,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:39,0,0,0,
9,2023-11-25,22-124,BUF,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,30,25:01,0,0,0,
10,2023-11-27,22-126,BUF,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,7:53,0,0,0,
11,2023-11-30,22-129,BUF,STL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,13,10:16,0,0,0,
12,2023-12-03,22-132,BUF,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:23,0,0,0,
13,2023-12-07,22-136,BUF,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,14:02,0,0,0,
14,2023-12-11,22-140,BUF,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,17:50,0,0,0,
15,2023-12-15,22-144,BUF,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:42,1,0,0,
16,2023-12-16,22-145,BUF,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,13,11:58,1,0,0,
17,2023-12-21,22-150,BUF,TOR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,15,12:51,0,0,0,
18,2023-12-23,22-152,BUF,NYR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,12:42,0,0,0,
19,2023-12-27,22-156,BUF,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:49,0,0,0,
20,2023-12-30,22-159,BUF,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:10,0,0,0,
21,2023-12-31,22-160,BUF,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,17:25,0,0,0,
22,2024-01-11,22-171,BUF,OTT,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,15:10,0,0,0,
23,2024-01-13,22-173,BUF,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,29,22:22,0,0,0,
24,2024-01-15,22-175,BUF,SJS,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,20,16:34,0,0,0,
25,2024-01-18,22-178,BUF,CHI,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,20,16:04,0,0,0,
26,2024-01-20,22-180,BUF,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,22,13:58,0,0,0,
27,2024-01-23,22-183,BUF,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:11,1,0,0,
28,2024-01-24,22-184,BUF,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,13:37,0,0,0,
29,2024-01-27,22-187,BUF,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:28,0,0,0,
30,2024-02-06,22-197,BUF,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:28,0,0,0,
31,2024-02-10,22-201,BUF,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:55,0,0,0,
32,2024-02-13,22-204,BUF,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,14:25,0,0,0,
33,2024-02-15,22-206,BUF,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:06,1,0,0,
34,2024-02-17,22-208,BUF,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:57,0,0,0,
35,2024-02-19,22-210,BUF,ANA,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,17,14:51,0,0,0,
36,2024-02-23,22-214,BUF,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:41,0,0,0,
37,2024-02-29,22-220,BUF,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,14:40,2,0,0,
38,2024-03-02,22-222,BUF,VEG,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,22,17:13,0,0,0,
39,2024-03-03,22-223,BUF,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:20,0,0,0,
40,2024-03-06,22-226,BUF,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:21,0,0,0,
