,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-01-15,20-338,NYR,CAR,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,15:22,3,0,0,
1,2019-01-17,20-340,NYR,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:58,4,0,0,
2,2019-01-19,20-342,NYR,BOS,W,0,0,0,1,4,0,0,0,0,0,0,0,0,,17,11:50,2,0,0,
3,2019-04-05,21-053,NYR,CBJ,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,17:32,0,0,0,
4,2019-04-06,21-054,NYR,PIT,W,0,0,0,-3,2,0,0,0,0,0,0,0,4,0.0,20,14:14,2,0,0,
5,2019-10-29,21-260,NYR,TBL,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,22,15:04,1,0,0,
6,2019-11-02,21-264,NYR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:24,0,0,0,
7,2019-11-04,21-266,NYR,OTT,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,16:54,2,0,0,
8,2019-11-07,21-269,NYR,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,18:05,1,0,0,
9,2019-11-10,21-272,NYR,FLA,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,11:26,1,0,0,
10,2019-11-12,21-274,NYR,PIT,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,22,17:06,4,0,0,
11,2019-11-14,21-276,NYR,TBL,L,0,1,1,-1,4,0,0,0,0,1,0,0,1,0.0,25,16:47,1,0,0,
12,2019-11-16,21-278,NYR,FLA,L,0,1,1,-1,2,0,0,0,0,1,0,0,0,,19,14:22,1,0,0,
13,2019-11-20,21-282,NYR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:19,2,0,0,
14,2019-11-22,21-284,NYR,OTT,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,23,16:13,3,0,0,
15,2019-11-23,21-285,NYR,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,32,20:26,3,0,0,
16,2019-11-25,21-287,NYR,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:55,0,0,0,
17,2019-11-27,21-289,NYR,CAR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,19:00,1,0,0,
18,2019-11-29,21-291,NYR,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:17,2,0,0,
19,2019-11-30,21-292,NYR,NJD,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,27,17:23,1,0,0,
