,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-10-09,18-180,EDM,PIT,W,1,0,1,1,2,1,0,0,0,,,,3,33.3,19,17:04,0,2,13,13.3
1,2011-10-13,18-184,EDM,MIN,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,18,15:18,0,1,7,12.5
2,2011-10-15,18-186,EDM,VAN,L,3,0,3,1,0,1,2,0,0,,,,6,50.0,24,18:42,0,4,11,26.7
3,2011-10-17,18-188,EDM,NSH,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,22,17:43,0,5,7,41.7
4,2011-10-18,18-189,EDM,CGY,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,22,18:59,1,1,4,20.0
5,2011-10-20,18-191,EDM,MIN,L-SO,0,0,0,0,2,0,0,0,0,,,,1,0.0,15,13:22,0,1,2,33.3
6,2011-10-22,18-193,EDM,NYR,W,1,1,2,1,0,1,0,0,1,,,,2,50.0,20,16:04,0,2,1,66.7
7,2011-10-25,18-196,EDM,VAN,W,0,1,1,2,0,0,0,0,0,,,,3,0.0,22,16:55,1,4,4,50.0
8,2011-10-27,18-198,EDM,WSH,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,20,17:32,0,1,4,20.0
9,2011-10-28,18-199,EDM,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:28,0,3,6,33.3
10,2011-10-30,18-201,EDM,STL,W,0,2,2,1,2,0,0,0,0,,,,0,,22,16:06,1,2,7,22.2
11,2011-11-03,18-205,EDM,LAK,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,18:00,1,3,5,37.5
12,2011-11-05,18-207,EDM,PHX,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,22,18:37,2,3,5,37.5
13,2011-11-08,18-210,EDM,MTL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,14:23,2,6,4,60.0
14,2011-11-10,18-212,EDM,BOS,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,22,19:11,0,4,5,44.4
15,2011-11-11,18-213,EDM,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,16:52,0,1,4,20.0
16,2011-11-13,18-215,EDM,CHI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,20,17:28,1,9,4,69.2
17,2011-11-17,18-219,EDM,OTT,L,0,0,0,-2,0,0,0,0,0,,,,6,0.0,20,17:03,0,5,7,41.7
18,2011-11-19,18-221,EDM,CHI,W,0,5,5,3,0,0,0,0,0,,,,3,0.0,17,13:20,0,7,2,77.8
19,2011-11-21,18-223,EDM,DAL,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,19,18:54,2,4,6,40.0
20,2011-11-22,18-224,EDM,NSH,W,0,2,2,2,0,0,0,0,0,,,,3,0.0,22,18:00,0,3,7,30.0
21,2011-11-25,18-227,EDM,MIN,W,2,0,2,0,0,1,1,0,0,,,,3,66.7,19,17:51,0,1,7,12.5
22,2011-11-26,18-228,EDM,COL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,14:52,0,2,4,33.3
23,2011-11-28,18-230,EDM,NSH,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,21,17:08,1,5,2,71.4
24,2011-11-30,18-232,EDM,MIN,L-SO,1,1,2,1,0,1,0,0,0,,,,2,50.0,25,18:50,2,3,7,30.0
25,2011-12-02,18-234,EDM,CBJ,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,16:46,0,5,10,33.3
26,2011-12-03,18-235,EDM,CGY,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,25,22:13,1,4,8,33.3
27,2011-12-07,18-239,EDM,CAR,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,21,18:33,0,7,6,53.8
28,2011-12-09,18-241,EDM,COL,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,23,19:41,1,2,4,33.3
29,2011-12-10,18-242,EDM,CGY,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,21,19:04,0,3,3,50.0
30,2011-12-15,18-247,EDM,PHX,L,0,1,1,-2,0,0,0,0,0,,,,3,0.0,20,16:11,3,5,2,71.4
31,2011-12-17,18-249,EDM,SJS,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,21,18:28,0,4,6,40.0
32,2011-12-19,18-251,EDM,DET,L,0,1,1,-1,0,0,0,0,0,,,,0,,25,21:29,1,2,8,20.0
33,2011-12-22,18-254,EDM,MIN,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,18,18:03,0,1,7,12.5
34,2011-12-26,18-258,EDM,VAN,L,0,1,1,-1,0,0,0,0,0,,,,0,,21,23:55,2,2,8,20.0
35,2011-12-29,18-261,EDM,MIN,L,0,0,0,1,2,0,0,0,0,,,,3,0.0,29,18:31,0,6,9,40.0
36,2011-12-31,18-263,EDM,NYI,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,26,20:03,0,5,7,41.7
37,2012-01-02,18-265,EDM,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,5,3:44,0,0,1,0.0
38,2012-02-04,18-298,EDM,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,20:29,3,4,4,50.0
39,2012-02-06,18-300,EDM,TOR,L,0,0,0,-3,0,0,0,0,0,,,,0,,19,15:03,1,3,5,37.5
40,2012-02-25,18-319,EDM,PHX,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,26,21:34,0,1,12,7.7
41,2012-02-27,18-321,EDM,WPG,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,20,16:22,0,1,6,14.3
42,2012-02-29,18-323,EDM,STL,L,1,0,1,-2,0,1,0,0,0,,,,4,25.0,21,16:42,0,5,5,50.0
43,2012-03-02,18-325,EDM,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,16:51,0,2,6,25.0
44,2012-03-05,18-328,EDM,ANA,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,19,16:38,2,1,3,25.0
45,2012-03-06,18-329,EDM,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,17:45,0,4,4,50.0
46,2012-03-08,18-331,EDM,MTL,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,22,18:24,1,7,3,70.0
47,2012-03-10,18-333,EDM,COL,L-SO,0,1,1,1,0,0,0,0,0,,,,1,0.0,25,20:19,0,2,9,18.2
48,2012-03-12,18-335,EDM,SJS,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,22,20:25,0,5,7,41.7
49,2012-03-14,18-337,EDM,CBJ,W,1,1,2,1,0,1,0,0,1,,,,3,33.3,19,16:52,0,7,6,53.8
50,2012-03-16,18-339,EDM,CGY,W,2,0,2,3,0,2,0,0,0,,,,6,33.3,26,21:32,2,7,5,58.3
51,2012-03-18,18-341,EDM,PHX,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,18:51,1,0,10,0.0
52,2012-03-20,18-343,EDM,NSH,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,17:41,0,13,6,68.4
53,2012-03-22,18-345,EDM,TBL,L-SO,0,1,1,0,0,0,0,0,0,,,,2,0.0,23,17:54,0,4,7,36.4
54,2012-03-23,18-346,EDM,FLA,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,22,18:33,1,4,9,30.8
55,2012-03-25,18-348,EDM,CBJ,W,0,2,2,2,0,0,0,0,0,,,,3,0.0,20,15:24,1,3,7,30.0
56,2012-03-28,18-351,EDM,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,17:41,0,6,8,42.9
57,2012-03-30,18-353,EDM,LAK,L,0,1,1,-2,2,0,0,0,0,,,,2,0.0,21,17:43,1,4,7,36.4
58,2012-04-01,18-355,EDM,ANA,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,20,15:47,2,1,7,12.5
59,2012-04-02,18-356,EDM,LAK,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,24,19:32,1,3,9,25.0
60,2012-04-05,18-359,EDM,ANA,L-OT,0,1,1,0,0,0,0,0,0,,,,3,0.0,23,19:30,0,7,12,36.8
61,2012-04-07,18-361,EDM,VAN,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,20,15:38,0,5,7,41.7
62,2013-01-20,19-283,EDM,VAN,W,0,0,0,1,0,0,0,0,0,,,,0,,28,21:56,0,7,7,50.0
63,2013-01-22,19-285,EDM,SJS,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,25,21:10,1,8,9,47.1
64,2013-01-24,19-287,EDM,LAK,W,0,1,1,1,0,0,0,0,0,,,,5,0.0,27,24:23,0,8,8,50.0
65,2013-01-26,19-289,EDM,CGY,L,0,1,1,-1,2,0,0,0,0,,,,2,0.0,25,22:35,0,5,11,31.3
66,2013-01-28,19-291,EDM,COL,W,0,1,1,-1,0,0,0,0,0,,,,2,0.0,20,18:27,0,4,4,50.0
67,2013-01-30,19-293,EDM,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,23,22:32,1,5,6,45.5
68,2013-01-31,19-294,EDM,SJS,L-SO,0,1,1,1,0,0,0,0,0,,,,3,0.0,23,19:28,0,6,8,42.9
69,2013-02-02,19-296,EDM,COL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,23,20:42,2,8,13,38.1
70,2013-02-04,19-298,EDM,VAN,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,25,20:13,0,6,13,31.6
71,2013-02-09,19-303,EDM,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,22:03,1,5,11,31.3
