,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-04-06,20-093,MTL,TOR,W,3,0,3,3,0,3,0,0,0,0,0,0,3,100.0,19,11:22,1,4,3,57.1
1,2019-11-05,20-306,MTL,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,9:20,2,1,5,16.7
2,2019-11-07,20-308,MTL,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:38,2,1,3,25.0
3,2019-11-09,20-310,MTL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:00,0,0,0,
4,2019-11-12,20-313,MTL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:50,1,0,0,
5,2019-12-11,20-342,MTL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:48,1,0,1,0.0
6,2019-12-14,20-345,MTL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:26,1,0,0,
7,2019-12-17,20-348,MTL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:44,1,0,0,
8,2019-12-19,20-350,MTL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:03,0,0,0,
9,2019-12-21,20-352,MTL,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:15,1,0,0,
10,2019-12-23,20-354,MTL,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:40,2,0,1,0.0
11,2019-12-28,20-359,MTL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:34,1,0,0,
12,2019-12-29,20-360,MTL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,7:44,2,0,0,
13,2019-12-31,20-362,MTL,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,15:52,4,0,0,
14,2020-01-02,20-364,MTL,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:09,2,0,0,
15,2020-01-04,21-001,MTL,PIT,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:06,4,0,0,
16,2020-01-06,21-003,MTL,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:55,2,0,0,
17,2020-01-07,21-004,MTL,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:05,1,0,0,
18,2020-01-09,21-006,MTL,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:58,0,0,0,
19,2020-01-11,21-008,MTL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:29,2,0,0,
20,2020-01-13,21-010,MTL,CGY,W,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,20,13:21,0,0,0,
21,2020-01-15,21-012,MTL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:00,2,0,1,0.0
22,2020-01-16,21-013,MTL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:24,0,0,1,0.0
23,2020-01-18,21-015,MTL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:38,1,0,0,
24,2020-01-27,21-024,MTL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:41,1,0,0,
25,2020-01-30,21-027,MTL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,8:33,0,0,0,
26,2020-02-02,21-030,MTL,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,7:04,2,0,0,
27,2020-02-04,21-032,MTL,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,9:56,3,1,0,100.0
28,2021-11-11,22-312,MTL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,8:13,1,5,2,71.4
29,2021-11-13,22-314,MTL,DET,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,16,12:35,1,2,2,50.0
30,2021-11-14,22-315,MTL,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:39,0,1,0,100.0
31,2021-11-16,22-317,MTL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:08,0,0,1,0.0
32,2021-11-18,22-319,MTL,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:38,0,0,3,0.0
33,2021-11-20,22-321,MTL,NSH,W,2,0,2,2,0,2,0,0,1,0,0,0,3,66.7,17,12:22,0,4,5,44.4
34,2021-11-24,22-325,MTL,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:13,0,3,5,37.5
35,2021-11-26,22-327,MTL,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:27,1,2,2,50.0
36,2021-11-27,22-328,MTL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:07,1,2,3,40.0
37,2021-11-29,22-330,MTL,VAN,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,11:31,1,4,5,44.4
38,2021-12-02,22-333,MTL,COL,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,22,15:36,1,9,5,64.3
39,2021-12-04,22-335,MTL,NSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,11:29,0,2,4,33.3
40,2021-12-07,22-338,MTL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:50,1,4,4,50.0
41,2021-12-09,22-340,MTL,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,17:25,1,2,1,66.7
42,2021-12-11,22-342,MTL,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,13:38,0,3,7,30.0
