,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-21,26-252,PIT,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:32,1,0,0,
1,2023-10-24,26-255,PIT,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:07,0,0,0,
2,2023-10-26,26-257,PIT,COL,W,0,0,0,3,2,0,0,0,0,0,0,0,2,0.0,20,13:59,1,0,0,
3,2023-10-28,26-259,PIT,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:05,0,0,0,
4,2023-10-30,26-261,PIT,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:07,0,0,0,
5,2023-11-04,26-266,PIT,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,16:00,1,0,0,
6,2023-11-07,26-269,PIT,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:46,0,0,0,
7,2023-11-09,26-271,PIT,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:29,2,0,0,
8,2023-11-11,26-273,PIT,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,13:30,2,0,0,
9,2023-11-14,26-276,PIT,CBJ,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,12,10:08,0,0,0,
10,2023-11-16,26-278,PIT,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:53,1,0,0,
11,2023-11-18,26-280,PIT,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:43,0,0,0,
12,2023-11-19,26-281,PIT,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:23,0,0,0,
13,2023-11-22,26-284,PIT,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:48,0,0,0,
14,2023-11-24,26-286,PIT,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:22,1,0,0,
15,2023-11-25,26-287,PIT,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:48,0,0,0,
16,2023-11-28,26-290,PIT,NSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:15,2,0,0,
17,2023-11-30,26-292,PIT,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,8:54,0,0,0,
18,2023-12-02,26-294,PIT,PHI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,11:56,2,0,0,
19,2023-12-04,26-296,PIT,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:28,0,0,0,
20,2023-12-06,26-298,PIT,TBL,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,14,14:31,2,0,0,
21,2023-12-08,26-300,PIT,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:26,1,0,0,
22,2024-04-01,27-050,PIT,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:09,0,0,0,
23,2024-04-02,27-051,PIT,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,15:55,0,0,0,
24,2024-04-04,27-053,PIT,WSH,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,20,13:12,3,0,0,
25,2024-04-06,27-055,PIT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:55,0,0,0,
26,2024-04-08,27-057,PIT,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,11:17,3,0,0,
27,2024-04-11,27-060,PIT,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,11:10,0,0,0,
28,2024-04-13,27-062,PIT,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:21,0,0,0,
29,2024-04-15,27-064,PIT,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:32,0,0,0,
30,2024-04-17,27-066,PIT,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:41,2,0,0,
