,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-12-14,20-156,NYI,MTL,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:42,0,5,6,45.5
1,2013-12-17,20-159,NYI,TBL,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,15:07,3,8,2,80.0
2,2013-12-20,20-162,NYI,NYR,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,14,13:50,1,4,4,50.0
3,2013-12-21,20-163,NYI,ANA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,11:39,2,6,7,46.2
4,2013-12-23,20-165,NYI,DET,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,13:13,2,4,9,30.8
5,2013-12-28,20-170,NYI,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,18,15:27,2,1,5,16.7
6,2013-12-29,20-171,NYI,MIN,W,0,1,1,1,0,0,0,0,0,,,,0,,14,12:30,1,2,5,28.6
7,2013-12-31,20-173,NYI,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:34,1,4,5,44.4
8,2014-01-02,20-175,NYI,CHI,W,0,0,0,0,0,0,0,0,0,,,,6,0.0,16,13:46,0,4,5,44.4
9,2014-01-04,20-177,NYI,CAR,L,0,1,1,0,0,0,0,0,0,,,,4,0.0,17,14:42,0,3,3,50.0
10,2014-01-06,20-179,NYI,DAL,W,1,0,1,0,0,0,1,0,0,,,,5,20.0,17,14:29,0,4,4,50.0
11,2014-01-07,20-180,NYI,TOR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,12:42,2,3,12,20.0
12,2014-01-10,20-183,NYI,COL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,14:33,0,4,7,36.4
13,2014-01-12,20-185,NYI,DAL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,11:18,2,3,5,37.5
14,2014-01-14,20-187,NYI,FLA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,16,13:10,0,5,1,83.3
15,2014-02-27,20-231,NYI,TOR,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,15,14:04,0,3,4,42.9
16,2014-03-01,20-233,NYI,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:50,2,6,4,60.0
17,2014-03-02,20-234,NYI,FLA,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,19,17:59,0,5,10,33.3
18,2014-03-04,20-236,NYI,WPG,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,22,15:52,1,3,4,42.9
19,2014-03-06,20-238,NYI,EDM,L-OT,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,19:49,0,6,3,66.7
20,2014-03-07,20-239,NYI,CGY,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,18,15:17,1,4,3,57.1
21,2014-03-10,20-242,NYI,VAN,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,20,13:55,0,5,4,55.6
22,2014-03-14,20-246,NYI,SJS,L,0,0,0,-3,0,0,0,0,0,,,,0,,18,14:45,1,5,8,38.5
23,2014-03-15,20-247,NYI,BUF,W,1,0,1,1,0,1,0,0,0,,,,6,16.7,17,12:13,2,9,5,64.3
24,2014-03-18,20-250,NYI,MIN,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,13:09,1,1,9,10.0
25,2014-03-23,20-255,NYI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,10:26,0,2,3,40.0
26,2014-03-25,20-257,NYI,CAR,W,0,2,2,4,0,0,0,0,0,,,,0,,23,13:25,0,3,9,25.0
27,2014-03-27,20-259,NYI,TBL,L-SO,1,0,1,1,0,1,0,0,0,,,,1,100.0,21,18:24,1,6,7,46.2
28,2014-03-29,20-261,NYI,NJD,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,21:05,0,11,8,57.9
29,2014-04-01,20-264,NYI,FLA,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,13:29,1,5,7,41.7
30,2014-04-02,20-265,NYI,OTT,W,0,2,2,0,2,0,0,0,0,,,,1,0.0,24,17:10,1,4,9,30.8
31,2014-04-05,20-268,NYI,WSH,L-SO,0,0,0,-1,2,0,0,0,0,,,,2,0.0,24,19:10,0,4,8,33.3
32,2014-04-06,20-269,NYI,CBJ,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,18:01,1,8,7,53.3
33,2014-04-08,20-271,NYI,OTT,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,22,18:59,0,4,10,28.6
34,2014-04-10,20-273,NYI,MTL,W,1,0,1,0,0,0,1,0,1,,,,3,33.3,22,18:12,0,1,3,25.0
35,2014-04-11,20-274,NYI,NJD,W,1,0,1,-1,0,0,1,0,0,,,,7,14.3,23,18:24,1,6,2,75.0
36,2014-04-13,20-276,NYI,BUF,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,20:40,0,4,2,66.7
37,2014-10-10,21-091,NYI,CAR,W,0,2,2,2,2,0,0,0,0,2,0,0,2,0.0,18,12:11,1,0,2,0.0
38,2014-10-11,21-092,NYI,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:56,1,0,2,0.0
39,2014-10-14,21-095,NYI,NYR,W,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,17,12:20,2,1,1,50.0
40,2014-10-16,21-097,NYI,SJS,W,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,17,13:47,0,1,1,50.0
41,2014-10-18,21-099,NYI,PIT,L,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,15,11:41,1,1,0,100.0
42,2014-10-21,21-102,NYI,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,16,11:38,1,1,0,100.0
43,2014-10-23,21-104,NYI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:53,1,1,0,100.0
44,2014-10-25,21-106,NYI,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,15,11:42,1,0,1,0.0
45,2014-10-28,21-109,NYI,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,12:44,0,1,1,50.0
46,2014-10-30,21-111,NYI,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,13:40,0,2,1,66.7
47,2014-11-01,21-113,NYI,SJS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,11:03,1,6,5,54.5
