,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2005-10-05,20-257,NSH,SJS,W,0,1,1,1,4,0,0,0,0,,,,2,0.0,19,12:49,,,,
1,2005-10-08,20-260,NSH,MDA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,14:34,,,,
2,2005-10-12,20-264,NSH,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,19,12:52,,,,
3,2005-10-13,20-265,NSH,PHX,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,16:00,,,,
4,2005-10-15,20-267,NSH,STL,W,0,2,2,2,0,0,0,0,0,,,,0,,26,17:15,,,,
5,2005-10-20,20-272,NSH,STL,W,0,0,0,2,0,0,0,0,0,,,,0,,23,19:11,,,,
6,2005-10-22,20-274,NSH,SJS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,18:29,,,,
7,2005-10-25,20-277,NSH,CHI,W,0,0,0,0,6,0,0,0,0,,,,2,0.0,27,18:39,,,,
8,2005-10-26,20-278,NSH,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,19:31,,,,
9,2005-10-29,20-281,NSH,EDM,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,19:36,,,,
10,2005-11-01,20-284,NSH,MDA,L,0,0,0,0,2,0,0,0,0,,,,4,0.0,21,18:25,,,,
11,2005-11-02,20-285,NSH,SJS,L-OT,0,0,0,-1,2,0,0,0,0,,,,2,0.0,17,13:28,,,,
12,2005-11-05,20-288,NSH,LAK,L-SO,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,20:20,,,,
13,2005-11-08,20-291,NSH,EDM,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,23,16:06,,,,
14,2005-11-10,20-293,NSH,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:58,,,,
15,2005-11-12,20-295,NSH,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,21,17:21,,,,
