,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-12-07,21-359,SEA,NJD,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,17:50,2,0,0,
1,2023-12-09,21-361,SEA,TBL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,20,16:57,4,0,0,
2,2023-12-10,21-362,SEA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:29,1,0,0,
3,2023-12-12,21-364,SEA,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,18:19,0,0,0,
4,2023-12-14,22-001,SEA,CHI,W,0,2,2,3,0,0,0,0,0,1,1,0,2,0.0,22,20:23,0,0,0,
5,2023-12-16,22-003,SEA,LAK,L-SO,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,23,18:51,1,0,0,
6,2023-12-18,22-005,SEA,DAL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,18:22,1,0,0,
7,2023-12-23,22-010,SEA,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:29,0,0,0,
8,2023-12-27,22-014,SEA,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:03,2,0,0,
9,2024-01-15,22-033,SEA,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,22:08,1,0,0,
10,2024-01-16,22-034,SEA,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,26,25:04,0,0,0,
11,2024-01-18,22-036,SEA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,22:53,4,0,0,
12,2024-01-21,22-039,SEA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,19:12,1,0,0,
13,2024-02-10,22-059,SEA,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:44,0,0,0,
14,2024-02-12,22-061,SEA,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,22:53,3,0,0,
15,2024-02-13,22-062,SEA,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:32,1,0,0,
16,2024-03-05,22-083,SEA,WPG,W,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,22,18:30,5,0,0,
17,2024-03-08,22-086,SEA,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:55,1,0,0,
18,2024-03-12,22-090,SEA,VEG,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,26,18:24,2,0,0,
19,2024-03-14,22-092,SEA,WSH,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,16:59,4,0,0,
20,2024-03-16,22-094,SEA,NSH,L,0,1,1,-1,2,0,0,0,0,0,1,0,0,,22,16:56,0,0,0,
21,2024-03-18,22-096,SEA,BUF,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,27,21:25,1,0,0,
22,2024-03-21,22-099,SEA,VEG,L,0,1,1,-2,2,0,0,0,0,0,1,0,0,,25,20:35,3,0,0,
23,2024-03-22,22-100,SEA,ARI,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,21:39,2,0,0,
24,2024-03-24,22-102,SEA,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2:22,0,0,0,
25,2024-03-28,22-106,SEA,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,18:17,3,0,0,
26,2024-03-30,22-108,SEA,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:42,0,0,0,
27,2024-04-01,22-110,SEA,SJS,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,19,18:28,1,0,0,
28,2024-04-03,22-112,SEA,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,23:02,0,0,0,
29,2024-04-05,22-114,SEA,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,18:43,1,0,0,
30,2024-04-09,22-118,SEA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,21:05,5,0,0,
31,2024-04-11,22-120,SEA,SJS,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,20:59,1,0,0,
32,2024-04-13,22-122,SEA,DAL,L,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,24,22:06,3,0,0,
33,2024-04-14,22-123,SEA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,22:18,3,0,0,
34,2024-04-16,22-125,SEA,WPG,L,0,1,1,1,4,0,0,0,0,1,0,0,0,,24,20:54,4,0,0,
35,2024-04-18,22-127,SEA,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,19:58,2,0,0,
