,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,18-337,BUF,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:37,0,4,11,26.7
1,2014-10-11,18-339,BUF,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,13:33,0,4,6,40.0
2,2014-10-13,18-341,BUF,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:12,0,0,11,0.0
3,2014-10-14,18-342,BUF,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:39,0,2,6,25.0
4,2014-10-17,18-345,BUF,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:09,0,3,2,60.0
5,2014-10-22,18-350,BUF,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,9:51,0,1,7,12.5
6,2014-10-25,18-353,BUF,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,10:49,2,2,7,22.2
7,2014-10-28,18-356,BUF,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:41,1,4,12,25.0
8,2014-10-30,18-358,BUF,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:45,0,1,3,25.0
9,2015-10-08,19-336,BUF,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:40,0,0,1,0.0
10,2015-10-10,19-338,BUF,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,15,10:15,1,4,4,50.0
11,2015-10-12,19-340,BUF,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:58,1,2,1,66.7
12,2015-10-15,19-343,BUF,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,12:27,0,1,4,20.0
13,2015-10-17,19-345,BUF,TBL,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,15:43,0,0,0,
14,2015-10-21,19-349,BUF,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:27,0,1,1,50.0
15,2015-10-23,19-351,BUF,MTL,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,14:28,0,0,0,
16,2015-10-24,19-352,BUF,NJD,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,19,15:18,0,0,0,
17,2015-10-27,19-355,BUF,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,13:23,0,0,0,
18,2015-10-29,19-357,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,12:59,2,0,0,
19,2015-10-30,19-358,BUF,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:54,0,0,0,
20,2015-11-01,19-360,BUF,NYI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,16,9:48,0,0,0,
21,2015-11-05,19-364,BUF,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,16:06,0,0,1,0.0
22,2015-11-07,20-001,BUF,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:48,0,2,1,66.7
23,2015-11-10,20-004,BUF,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:43,1,3,2,60.0
24,2015-11-12,20-006,BUF,FLA,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,17,13:40,1,1,3,25.0
25,2015-11-14,20-008,BUF,SJS,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,15:36,0,3,5,37.5
26,2015-11-17,20-011,BUF,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,15:09,0,0,0,
27,2015-11-19,20-013,BUF,STL,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,16:26,0,0,0,
28,2015-11-21,20-015,BUF,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:08,1,0,0,
29,2015-11-23,20-017,BUF,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,18:54,0,0,0,
30,2015-11-25,20-019,BUF,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,13:44,0,0,0,
31,2015-11-27,20-021,BUF,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,16:29,1,0,0,
32,2015-11-28,20-022,BUF,NSH,W,2,0,2,1,2,1,1,0,1,0,0,0,5,40.0,24,19:49,0,0,0,
33,2015-12-01,20-025,BUF,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,19:31,0,0,0,
34,2015-12-04,20-028,BUF,ARI,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,22,16:46,0,0,0,
35,2015-12-06,20-030,BUF,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,24,19:36,0,0,0,
36,2015-12-07,20-031,BUF,VAN,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,16:48,0,0,0,
37,2015-12-10,20-034,BUF,CGY,L,0,1,1,-1,2,0,0,0,0,0,1,0,3,0.0,24,21:00,0,0,0,
38,2015-12-12,20-036,BUF,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,19:16,0,0,0,
39,2015-12-14,20-038,BUF,DET,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,18:44,1,0,0,
40,2015-12-15,20-039,BUF,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,18:55,0,0,2,0.0
41,2015-12-17,20-041,BUF,ANA,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,22,18:56,0,0,0,
42,2015-12-19,20-043,BUF,CHI,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,20,17:34,1,0,0,
43,2015-12-26,20-050,BUF,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,23,17:57,0,0,0,
44,2015-12-28,20-052,BUF,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,20:57,0,0,0,
45,2015-12-30,20-054,BUF,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,19:10,0,0,0,
46,2015-12-31,20-055,BUF,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:17,0,0,0,
47,2016-01-02,20-057,BUF,DET,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,21,18:54,0,0,0,
48,2016-01-05,20-060,BUF,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,19:54,0,1,0,100.0
49,2016-01-08,20-063,BUF,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,20:23,0,1,0,100.0
50,2016-01-10,20-065,BUF,WPG,W,3,0,3,2,0,2,1,0,0,0,0,0,5,60.0,19,18:40,0,0,0,
51,2016-01-12,20-067,BUF,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,15:51,1,0,0,
52,2016-01-15,20-070,BUF,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:33,0,0,1,0.0
53,2016-01-16,20-071,BUF,WSH,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,20,17:05,0,0,0,
54,2016-01-18,20-073,BUF,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,22,18:58,2,1,3,25.0
55,2016-01-20,20-075,BUF,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:43,1,0,0,
56,2016-02-03,20-089,BUF,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:37,0,0,0,
57,2016-02-04,20-090,BUF,BOS,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,16:53,1,0,0,
58,2016-02-06,20-092,BUF,BOS,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,15:36,1,0,0,
59,2016-02-09,20-095,BUF,FLA,L,2,0,2,-3,0,0,2,0,0,0,0,0,3,66.7,22,17:44,0,1,6,14.3
60,2016-02-11,20-097,BUF,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,19:58,0,3,9,25.0
61,2016-02-12,20-098,BUF,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,19:48,1,1,0,100.0
62,2016-02-14,20-100,BUF,COL,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,19,15:40,0,0,0,
63,2016-02-16,20-102,BUF,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,19:12,2,0,1,0.0
64,2016-02-19,20-105,BUF,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:12,0,0,0,
