,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-12-10,23-186,MIN,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:54,0,0,0,
1,2022-12-12,23-188,MIN,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,10,9:05,0,0,0,
2,2022-12-14,23-190,MIN,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:32,2,0,0,
3,2022-12-16,23-192,MIN,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:07,0,0,0,
4,2022-12-27,23-203,MIN,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,12,11:12,0,0,0,
5,2022-12-29,23-205,MIN,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:08,0,0,0,
6,2023-03-15,23-281,MIN,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:57,0,0,0,
7,2023-03-18,23-284,MIN,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,11:22,0,0,0,
8,2023-04-13,23-310,MIN,NSH,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,13,12:07,0,0,0,
9,2023-10-19,24-134,MIN,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:44,0,0,1,0.0
10,2023-10-21,24-136,MIN,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,7:26,2,0,0,
11,2024-01-02,24-209,MIN,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,8:32,0,0,0,
12,2024-01-04,24-211,MIN,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:45,0,0,0,
