,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-01-19,18-234,PHI,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,12:14,4,2,4,33.3
1,2013-01-20,18-235,PHI,BUF,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,10:12,2,4,5,44.4
2,2013-01-22,18-237,PHI,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,9:00,0,4,5,44.4
3,2013-01-24,18-239,PHI,NYR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,17,11:12,2,4,4,50.0
4,2013-01-26,18-241,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:57,2,5,6,45.5
5,2014-11-19,20-173,PHI,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,7:00,1,2,3,40.0
6,2014-11-20,20-174,PHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:53,0,4,2,66.7
7,2014-11-22,20-176,PHI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,15:01,6,4,4,50.0
8,2014-11-24,20-178,PHI,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:20,2,3,4,42.9
9,2014-11-26,20-180,PHI,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,15:05,2,11,5,68.8
10,2014-11-28,20-182,PHI,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,17:00,1,4,5,44.4
11,2014-11-29,20-183,PHI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:30,1,6,2,75.0
12,2014-12-02,20-186,PHI,SJS,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,23,15:37,0,9,8,52.9
13,2014-12-03,20-187,PHI,ANA,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,13:15,2,4,6,40.0
14,2014-12-06,20-190,PHI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,12:28,1,0,5,0.0
