,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-04-06,21-174,NYI,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,17:04,4,0,0,
1,2014-04-08,21-176,NYI,OTT,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,27,15:29,0,0,0,
2,2014-04-10,21-178,NYI,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,19:35,2,0,0,
3,2014-04-11,21-179,NYI,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,20:35,1,0,0,
4,2014-04-13,21-181,NYI,BUF,W,0,0,0,-2,7,0,0,0,0,,,,0,,20,14:07,0,0,0,
5,2016-01-09,23-087,NYI,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:55,4,0,0,
6,2016-01-17,23-095,NYI,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:23,4,0,0,
7,2016-02-02,23-111,NYI,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,15:34,0,0,0,
8,2016-04-05,23-174,NYI,WSH,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,17,14:14,1,0,0,
9,2016-04-09,23-178,NYI,BUF,L-OT,1,0,1,-2,2,1,0,0,0,0,0,0,1,100.0,22,20:18,1,0,0,
10,2016-04-10,23-179,NYI,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,23:15,2,0,0,
11,2016-11-14,24-031,NYI,TBL,L,0,0,0,0,17,0,0,0,0,0,0,0,0,,8,6:49,0,0,0,
12,2016-11-30,24-047,NYI,PIT,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,14:22,0,0,0,
13,2016-12-06,24-053,NYI,NYR,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,20,13:35,0,0,0,
14,2017-01-14,24-092,NYI,CAR,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,19,18:31,3,0,0,
15,2017-01-19,24-097,NYI,DAL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,17,10:08,0,0,0,
16,2017-01-21,24-099,NYI,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,13:40,2,0,0,
17,2017-01-26,24-104,NYI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:16,1,0,0,
18,2017-01-31,24-109,NYI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:42,2,0,0,
19,2017-02-16,24-125,NYI,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:48,0,0,0,
20,2017-02-18,24-127,NYI,NJD,L,0,0,0,0,5,0,0,0,0,0,0,0,5,0.0,17,10:53,0,0,0,
21,2017-02-19,24-128,NYI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,17:04,1,0,0,
22,2017-02-21,24-130,NYI,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,17,15:20,2,0,0,
23,2017-02-23,24-132,NYI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:04,2,0,0,
24,2017-02-25,24-134,NYI,CBJ,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,19,15:42,0,0,0,
25,2017-03-02,24-139,NYI,DAL,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,14:55,5,0,0,
26,2017-03-05,24-142,NYI,CGY,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,21,16:25,1,0,0,
27,2017-03-11,24-148,NYI,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,19,17:48,6,0,0,
28,2017-03-18,24-155,NYI,CBJ,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,22,15:01,4,0,0,
29,2017-03-22,24-159,NYI,NYR,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,15,11:32,3,0,0,
30,2017-03-24,24-161,NYI,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:01,2,0,0,
31,2017-03-25,24-162,NYI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:08,0,0,0,
32,2017-04-04,24-172,NYI,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,16:23,1,0,0,
33,2017-04-06,24-174,NYI,CAR,W,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,19,13:52,0,0,0,
34,2017-04-08,24-176,NYI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:03,1,0,0,
35,2017-04-09,24-177,NYI,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,19:28,1,0,0,
36,2017-10-07,24-358,NYI,BUF,W,0,0,0,1,4,0,0,0,0,0,0,0,2,0.0,22,16:26,1,0,0,
37,2017-10-09,24-360,NYI,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:43,2,0,0,
38,2017-10-11,24-362,NYI,ANA,L,0,1,1,1,2,0,0,0,0,1,0,0,0,,20,15:11,2,0,0,
39,2017-10-14,25-000,NYI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,18:56,4,0,0,
40,2017-10-15,25-001,NYI,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:25,3,0,0,
41,2017-10-19,25-005,NYI,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,16:30,1,0,0,
42,2017-10-24,25-010,NYI,ARI,W,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,22,18:27,1,0,0,
43,2017-10-26,25-012,NYI,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,21,16:33,0,0,0,
44,2017-11-05,25-022,NYI,COL,W,1,1,2,0,7,1,0,0,0,1,0,0,3,33.3,21,15:33,1,0,0,
45,2017-11-07,25-024,NYI,EDM,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,18:02,3,0,0,
46,2017-11-10,25-027,NYI,DAL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,19:17,1,0,0,
47,2017-11-11,25-028,NYI,STL,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,16:54,0,0,0,
48,2017-11-22,25-039,NYI,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,14:07,0,0,0,
49,2017-11-24,25-041,NYI,PHI,W,0,2,2,3,0,0,0,0,0,2,0,0,2,0.0,19,14:30,1,0,0,
50,2017-11-25,25-042,NYI,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,16:46,0,0,0,
51,2017-11-28,25-045,NYI,VAN,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,20,14:58,0,0,0,
52,2017-12-05,25-052,NYI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,20:04,0,0,0,
53,2017-12-07,25-054,NYI,PIT,L-OT,0,1,1,2,2,0,0,0,0,1,0,0,0,,22,15:56,3,0,0,
54,2017-12-11,25-058,NYI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,19:09,4,0,0,
55,2017-12-13,25-060,NYI,DAL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,21,18:26,1,0,0,
56,2017-12-14,25-061,NYI,CBJ,L,0,1,1,2,0,0,0,0,0,1,0,0,0,,24,18:22,2,0,0,
57,2017-12-16,25-063,NYI,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,27,19:15,1,0,0,
58,2017-12-19,25-066,NYI,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,20:07,3,0,0,
59,2017-12-21,25-068,NYI,ANA,L-OT,0,1,1,-1,2,0,0,0,0,1,0,0,4,0.0,25,20:16,1,0,0,
60,2017-12-23,25-070,NYI,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,18:15,2,0,0,
61,2017-12-27,25-074,NYI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:44,3,0,0,
62,2017-12-29,25-076,NYI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:34,1,0,0,
63,2017-12-31,25-078,NYI,COL,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,25,20:47,0,0,0,
64,2018-01-02,25-080,NYI,BOS,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,24,21:15,1,0,0,
65,2018-01-04,25-082,NYI,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,17:56,1,0,0,
66,2018-01-05,25-083,NYI,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,20:36,3,0,0,
67,2018-01-07,25-085,NYI,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,28,22:26,1,0,0,
68,2018-01-13,25-091,NYI,NYR,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,26,22:11,3,0,0,
69,2018-01-15,25-093,NYI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:20,1,0,0,
70,2018-01-16,25-094,NYI,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,21:22,0,0,0,
71,2018-01-18,25-096,NYI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,20:51,4,0,0,
72,2018-01-20,25-098,NYI,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,19:25,2,0,0,
73,2018-01-22,25-100,NYI,ARI,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,23,20:30,1,0,0,
74,2018-01-25,25-103,NYI,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,25:16,2,0,0,
75,2018-01-30,25-108,NYI,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,21:00,4,0,0,
76,2018-01-31,25-109,NYI,TOR,L,0,0,0,-4,0,0,0,0,0,0,0,0,0,,23,20:18,2,0,0,
77,2018-02-03,25-112,NYI,CBJ,W,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,25,20:38,2,0,0,
78,2018-02-05,25-114,NYI,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,2:20,0,0,0,
79,2018-03-27,25-164,NYI,OTT,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,14:33,2,0,0,
80,2018-03-31,25-168,NYI,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:13,0,0,0,
81,2018-04-03,25-171,NYI,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,15:47,5,0,0,
82,2018-04-07,25-175,NYI,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,17:32,2,0,0,
83,2018-10-08,25-359,NYI,SJS,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,20,13:56,3,0,0,
84,2018-10-13,25-364,NYI,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,17:26,2,0,0,
85,2018-10-17,26-003,NYI,ANA,L,0,1,1,0,5,0,0,0,0,1,0,0,0,,24,18:13,1,0,0,
86,2018-10-18,26-004,NYI,LAK,W,0,3,3,5,0,0,0,0,0,3,0,0,1,0.0,26,20:04,1,0,0,
87,2018-10-20,26-006,NYI,SJS,L,0,0,0,-2,9,0,0,0,0,0,0,0,1,0.0,27,17:10,0,0,0,
88,2018-10-24,26-010,NYI,FLA,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,30,20:05,3,0,0,
89,2018-10-27,26-013,NYI,PHI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,26,19:05,2,0,0,
90,2018-10-28,26-014,NYI,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,19:14,1,0,0,
91,2018-10-30,26-016,NYI,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,18:55,1,0,0,
92,2018-11-01,26-018,NYI,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,19:06,1,0,0,
93,2018-11-03,26-020,NYI,NJD,W,1,0,1,1,0,0,0,1,0,0,0,0,1,100.0,26,21:55,0,0,0,
94,2018-11-05,26-022,NYI,MTL,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,22:04,0,0,0,
95,2018-11-08,26-025,NYI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,18:46,2,0,0,
