,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-10-06,18-303,PHI,BOS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,14:04,1,2,3,40.0
1,2011-10-08,18-305,PHI,NJD,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,14:00,0,5,9,35.7
2,2011-10-12,18-309,PHI,VAN,W,0,1,1,1,0,0,0,0,0,,,,0,,25,17:45,2,7,11,38.9
3,2011-10-15,18-312,PHI,LAK,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,17,14:13,1,1,4,20.0
4,2011-10-18,18-315,PHI,OTT,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,19,14:21,2,3,7,30.0
5,2011-10-20,18-317,PHI,WSH,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,15,10:09,1,4,2,66.7
6,2011-10-22,18-319,PHI,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:29,1,4,4,50.0
7,2011-10-24,18-321,PHI,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,12:26,2,5,7,41.7
8,2011-10-26,18-323,PHI,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,13:12,0,5,3,62.5
9,2011-10-27,18-324,PHI,WPG,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,11:29,1,3,6,33.3
10,2011-10-29,18-326,PHI,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,12:36,0,3,4,42.9
11,2011-11-02,18-330,PHI,BUF,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,22,15:43,0,5,6,45.5
12,2011-11-03,18-331,PHI,NJD,L-SO,0,1,1,1,0,0,0,0,0,,,,1,0.0,17,11:34,1,3,4,42.9
13,2011-11-05,18-333,PHI,CBJ,W,2,0,2,2,0,1,0,1,0,,,,2,100.0,21,16:35,1,7,6,53.8
14,2011-11-09,18-337,PHI,TBL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:18,1,2,1,66.7
15,2011-11-13,18-341,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,20,13:06,0,3,4,42.9
16,2011-11-14,18-342,PHI,CAR,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,18,9:59,2,4,5,44.4
17,2011-11-17,18-345,PHI,PHX,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:58,0,4,4,50.0
18,2011-11-19,18-347,PHI,WPG,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,12:23,2,6,4,60.0
19,2011-11-21,18-349,PHI,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,11,6:44,1,3,2,60.0
20,2011-11-23,18-351,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,20,13:55,3,4,2,66.7
21,2011-11-25,18-353,PHI,MTL,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,20,16:38,1,3,2,60.0
22,2011-11-26,18-354,PHI,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,13:56,2,6,4,60.0
23,2011-12-02,18-360,PHI,ANA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:28,2,1,2,33.3
24,2011-12-03,18-361,PHI,PHX,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,11:43,0,5,4,55.6
25,2011-12-07,19-000,PHI,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,11:52,1,2,5,28.6
26,2011-12-08,19-001,PHI,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,9:49,1,3,4,42.9
27,2011-12-10,19-003,PHI,TBL,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,22,16:42,2,4,8,33.3
28,2011-12-13,19-006,PHI,WSH,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,20,17:31,1,7,10,41.2
29,2011-12-15,19-008,PHI,MTL,W,0,1,1,1,6,0,0,0,0,,,,2,0.0,25,15:55,1,7,6,53.8
30,2011-12-17,19-010,PHI,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,8,5:31,1,3,5,37.5
31,2011-12-29,19-022,PHI,PIT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,20,12:55,0,1,6,14.3
32,2012-01-02,19-026,PHI,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,10,7:09,1,5,2,71.4
33,2012-01-05,19-029,PHI,CHI,W,0,1,1,-1,0,0,0,0,0,,,,3,0.0,10,7:37,0,4,1,80.0
34,2012-01-07,19-031,PHI,OTT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,11,9:05,1,2,1,66.7
35,2012-01-08,19-032,PHI,OTT,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,19,15:41,1,8,6,57.1
36,2012-01-10,19-034,PHI,CAR,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,13,9:58,0,4,4,50.0
37,2012-01-12,19-036,PHI,NYI,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,19,13:00,1,5,8,38.5
38,2012-01-14,19-038,PHI,NSH,L,1,1,2,2,0,1,0,0,0,,,,3,33.3,20,14:29,1,3,6,33.3
39,2012-01-17,19-041,PHI,MIN,W,1,0,1,1,0,0,0,1,1,,,,2,50.0,15,12:39,1,8,4,66.7
40,2012-01-19,19-043,PHI,NYI,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,19,13:58,3,6,1,85.7
41,2012-01-21,19-045,PHI,NJD,W,0,0,0,2,0,0,0,0,0,,,,0,,23,18:00,2,2,9,18.2
42,2012-01-22,19-046,PHI,BOS,L-SO,0,1,1,-3,2,0,0,0,0,,,,3,0.0,30,21:30,0,7,15,31.8
43,2012-01-24,19-048,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,23,19:25,1,4,3,57.1
44,2012-01-31,19-055,PHI,WPG,L-SO,0,0,0,0,0,0,0,0,0,,,,5,0.0,22,17:57,1,6,6,50.0
45,2012-02-02,19-057,PHI,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,17:51,0,7,8,46.7
46,2012-02-04,19-059,PHI,NJD,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,23,20:26,2,5,9,35.7
47,2012-02-05,19-060,PHI,NYR,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,20,17:45,0,6,8,42.9
48,2012-02-07,19-062,PHI,NYI,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,10:39,2,2,3,40.0
49,2012-02-09,19-064,PHI,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,16,12:23,0,4,3,57.1
50,2012-02-11,19-066,PHI,NYR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,15:27,1,5,3,62.5
51,2012-02-12,19-067,PHI,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,14,10:01,0,2,2,50.0
52,2012-02-16,19-071,PHI,BUF,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,25,19:59,2,10,8,55.6
53,2012-02-18,19-073,PHI,PIT,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,17,13:56,2,3,9,25.0
54,2012-02-21,19-076,PHI,WPG,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:13,0,9,4,69.2
55,2012-02-25,19-080,PHI,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,14,10:58,1,3,2,60.0
56,2012-02-28,19-083,PHI,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:11,1,1,5,16.7
57,2012-03-01,19-085,PHI,NYI,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,20,15:55,1,7,7,50.0
58,2012-03-04,19-088,PHI,WSH,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,12:07,2,7,3,70.0
59,2012-03-06,19-090,PHI,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:27,1,5,5,50.0
60,2012-03-08,19-092,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,13:55,1,4,6,40.0
61,2012-03-10,19-094,PHI,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,16:07,3,6,6,50.0
62,2012-03-11,19-095,PHI,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,18:04,1,3,3,50.0
63,2012-03-13,19-097,PHI,NJD,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,18,16:34,3,3,6,33.3
64,2012-03-15,19-099,PHI,NYI,W,0,1,1,1,0,0,0,0,0,,,,0,,27,19:33,1,8,6,57.1
65,2012-03-17,19-101,PHI,BOS,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,22,12:57,2,5,6,45.5
66,2012-03-18,19-102,PHI,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,20:45,0,6,5,54.5
67,2012-03-20,19-104,PHI,FLA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:32,0,5,6,45.5
68,2012-03-22,19-106,PHI,WSH,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,17:42,1,10,12,45.5
69,2012-03-24,19-108,PHI,MTL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,23,16:55,1,9,11,45.0
70,2012-03-26,19-110,PHI,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,17:06,1,12,12,50.0
71,2012-03-29,19-113,PHI,TOR,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,27,18:44,0,8,11,42.1
72,2012-03-31,19-115,PHI,OTT,L-SO,1,0,1,1,0,1,0,0,0,,,,1,100.0,25,19:52,3,8,9,47.1
73,2012-04-01,19-116,PHI,PIT,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,26,18:05,0,9,8,52.9
74,2012-04-03,19-118,PHI,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,14:06,0,5,6,45.5
75,2012-04-05,19-120,PHI,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,17:24,1,4,6,40.0
76,2012-04-07,19-122,PHI,PIT,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,24,17:37,2,8,8,50.0
77,2013-01-19,20-043,PHI,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,20,17:43,1,10,13,43.5
78,2013-01-20,20-044,PHI,BUF,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,23,19:11,0,8,11,42.1
79,2013-01-22,20-046,PHI,NJD,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,19:24,1,6,10,37.5
80,2013-01-24,20-048,PHI,NYR,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,23,19:20,0,10,8,55.6
81,2013-01-26,20-050,PHI,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:21,0,6,7,46.2
82,2013-01-27,20-051,PHI,TBL,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,24,17:45,0,7,9,43.8
83,2013-01-29,20-053,PHI,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,19:55,0,6,13,31.6
84,2013-02-01,20-056,PHI,WSH,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,20:18,4,11,6,64.7
85,2013-02-02,20-057,PHI,CAR,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,26,18:52,2,9,10,47.4
86,2013-02-05,20-060,PHI,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,22,19:25,0,4,6,40.0
87,2013-02-07,20-062,PHI,FLA,L-SO,0,1,1,1,0,0,0,0,0,,,,2,0.0,24,18:46,0,6,6,50.0
88,2013-02-09,20-064,PHI,CAR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,18:50,0,6,15,28.6
89,2013-02-15,20-070,PHI,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,17,12:07,0,6,3,66.7
90,2013-02-16,20-071,PHI,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:21,0,5,8,38.5
91,2013-02-18,20-073,PHI,NYI,W,0,1,1,0,0,0,0,0,0,,,,0,,19,17:47,0,4,6,40.0
92,2013-02-20,20-075,PHI,PIT,W,0,1,1,0,4,0,0,0,0,,,,6,0.0,26,21:52,0,3,9,25.0
93,2013-02-21,20-076,PHI,FLA,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,22,17:33,1,4,7,36.4
94,2013-02-23,20-078,PHI,WPG,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,26,18:28,0,3,9,25.0
95,2013-02-25,20-080,PHI,TOR,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,25,14:54,0,7,9,43.8
96,2013-02-27,20-082,PHI,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,17:46,0,5,7,41.7
97,2013-03-02,20-085,PHI,OTT,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,22,14:58,1,4,8,33.3
98,2013-03-05,20-088,PHI,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,20,15:05,1,4,4,50.0
99,2013-03-07,20-090,PHI,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,10:41,0,4,3,57.1
100,2013-03-09,20-092,PHI,BOS,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:40,2,3,4,42.9
101,2013-03-10,20-093,PHI,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,14:41,0,2,2,50.0
102,2013-03-13,20-096,PHI,NJD,L,0,0,0,-2,0,0,0,0,0,,,,0,,14,11:25,1,2,3,40.0
103,2013-03-15,20-098,PHI,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:08,1,4,3,57.1
104,2013-03-18,20-101,PHI,TBL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,11,8:10,0,4,6,40.0
105,2013-03-24,20-107,PHI,PIT,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:47,1,6,2,75.0
106,2013-03-26,20-109,PHI,NYR,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,15,10:14,1,3,6,33.3
107,2013-03-28,20-111,PHI,NYI,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,15:32,3,9,7,56.3
108,2013-03-30,20-113,PHI,BOS,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,13:46,0,1,3,25.0
109,2013-03-31,20-114,PHI,WSH,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,22,16:09,0,0,9,0.0
110,2013-04-03,20-117,PHI,MTL,W,1,0,1,0,0,1,0,0,0,,,,4,25.0,21,15:33,2,7,6,53.8
111,2013-04-04,20-118,PHI,TOR,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,21,13:14,2,2,4,33.3
112,2013-04-06,20-120,PHI,WPG,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,12:59,2,7,3,70.0
113,2013-04-09,20-123,PHI,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,15,10:16,1,2,2,50.0
114,2013-04-11,20-125,PHI,OTT,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,15:49,0,5,3,62.5
115,2013-04-13,20-127,PHI,BUF,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,16:17,0,5,11,31.3
116,2013-04-15,20-129,PHI,MTL,W,1,0,1,1,4,1,0,0,0,,,,3,33.3,26,16:06,0,4,5,44.4
117,2013-04-16,20-130,PHI,NYR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,27,22:16,0,6,9,40.0
118,2013-04-18,20-132,PHI,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,22,16:38,0,4,9,30.8
119,2013-04-20,20-134,PHI,CAR,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,21,16:55,0,11,5,68.8
120,2013-04-23,20-137,PHI,BOS,W,0,0,0,2,0,0,0,0,0,,,,3,0.0,23,17:48,2,5,8,38.5
121,2013-04-25,20-139,PHI,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,20,16:45,1,7,5,58.3
122,2013-04-27,20-141,PHI,OTT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,20,14:24,1,6,8,42.9
123,2013-10-02,20-299,PHI,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,11:23,0,8,3,72.7
124,2013-10-05,20-302,PHI,MTL,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,22,15:19,2,9,7,56.3
125,2013-10-06,20-303,PHI,CAR,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,23,15:56,1,6,8,42.9
126,2013-10-08,20-305,PHI,FLA,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,24,18:31,0,9,6,60.0
127,2013-10-11,20-308,PHI,PHX,L,0,1,1,1,0,0,0,0,0,,,,5,0.0,26,18:13,1,10,7,58.8
128,2013-10-12,20-309,PHI,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,17:53,0,8,9,47.1
129,2013-10-15,20-312,PHI,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,18:01,1,4,10,28.6
130,2013-10-17,20-314,PHI,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,18:29,2,13,8,61.9
131,2013-10-24,20-321,PHI,NYR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,27,20:07,0,8,7,53.3
132,2013-10-26,20-323,PHI,NYI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,27,20:03,0,13,9,59.1
133,2013-10-29,20-326,PHI,ANA,L,0,0,0,1,0,0,0,0,0,,,,0,,22,17:41,0,9,8,52.9
134,2013-11-01,20-329,PHI,WSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,18:37,2,9,11,45.0
135,2013-11-02,20-330,PHI,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,21:50,1,11,6,64.7
136,2013-11-05,20-333,PHI,CAR,L-OT,0,0,0,-1,2,0,0,0,0,,,,0,,27,21:27,0,10,12,45.5
137,2013-11-07,20-335,PHI,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,19:43,0,7,6,53.8
138,2013-11-09,20-337,PHI,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,19:16,0,8,8,50.0
139,2013-11-12,20-340,PHI,OTT,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,22,19:18,1,7,8,46.7
140,2013-11-13,20-341,PHI,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,32,22:38,2,11,17,39.3
141,2013-11-15,20-343,PHI,WPG,L-SO,0,0,0,0,2,0,0,0,0,,,,2,0.0,30,20:59,1,5,10,33.3
142,2013-11-19,20-347,PHI,OTT,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,25,18:23,1,7,10,41.2
143,2013-11-21,20-349,PHI,BUF,W,0,2,2,2,0,0,0,0,0,,,,5,0.0,27,19:03,0,6,10,37.5
144,2013-11-23,20-351,PHI,NYI,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,27,21:11,3,8,7,53.3
145,2013-11-25,20-353,PHI,FLA,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,24,19:15,1,10,4,71.4
146,2013-11-27,20-355,PHI,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,17:36,2,8,9,47.1
147,2013-11-29,20-357,PHI,WPG,W,1,0,1,1,0,0,0,1,1,,,,6,16.7,30,22:57,2,11,10,52.4
148,2013-11-30,20-358,PHI,NSH,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,28,20:02,0,9,10,47.4
149,2013-12-02,20-360,PHI,MIN,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,19:54,1,5,6,45.5
150,2013-12-04,20-362,PHI,DET,W,2,2,4,3,2,2,0,0,1,,,,3,66.7,30,20:57,0,11,10,52.4
151,2013-12-07,21-000,PHI,DAL,L,0,0,0,-2,12,0,0,0,0,,,,4,0.0,24,18:23,0,5,12,29.4
152,2013-12-09,21-002,PHI,OTT,L-SO,0,1,1,-2,5,0,0,0,0,,,,0,,25,17:51,0,5,11,31.3
153,2013-12-11,21-004,PHI,CHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,20:17,0,7,12,36.8
154,2013-12-12,21-005,PHI,MTL,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,24,18:12,1,7,9,43.8
155,2013-12-15,21-008,PHI,WSH,L-SO,1,0,1,-2,0,1,0,0,0,,,,5,20.0,32,25:43,0,8,20,28.6
156,2013-12-17,21-010,PHI,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,23:33,2,3,9,25.0
157,2013-12-19,21-012,PHI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:09,0,6,7,46.2
158,2013-12-21,21-014,PHI,CBJ,L,1,0,1,-2,0,1,0,0,0,,,,4,25.0,25,17:54,0,7,6,53.8
159,2013-12-23,21-016,PHI,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,19:29,0,4,10,28.6
160,2013-12-28,21-021,PHI,EDM,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,29,21:35,2,15,14,51.7
161,2013-12-30,21-023,PHI,VAN,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,30,22:09,1,10,8,55.6
162,2013-12-31,21-024,PHI,CGY,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,20,21:18,0,8,10,44.4
163,2014-01-02,21-026,PHI,COL,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,27,19:31,0,7,9,43.8
164,2014-01-04,21-028,PHI,PHX,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,18:41,1,3,9,25.0
165,2014-01-07,21-031,PHI,NJD,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,18:33,0,11,6,64.7
166,2014-01-08,21-032,PHI,MTL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,26,22:38,0,9,6,60.0
167,2014-01-11,21-035,PHI,TBL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,24,18:00,1,10,4,71.4
168,2014-01-12,21-036,PHI,NYR,L,0,1,1,-1,0,0,0,0,0,,,,4,0.0,23,18:02,1,6,8,42.9
169,2014-01-14,21-038,PHI,BUF,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,23,17:24,0,8,7,53.3
170,2014-01-16,21-040,PHI,NSH,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,19:50,0,7,9,43.8
171,2014-01-18,21-042,PHI,NYI,W,0,1,1,0,0,0,0,0,0,,,,0,,22,17:55,1,9,5,64.3
172,2014-01-20,21-044,PHI,NYI,L-SO,0,1,1,2,0,0,0,0,0,,,,3,0.0,24,21:03,1,10,11,47.6
173,2014-01-22,21-046,PHI,CAR,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,23,17:54,0,7,4,63.6
174,2014-01-23,21-047,PHI,CBJ,L,0,0,0,0,0,0,0,0,0,,,,0,,23,19:07,0,5,10,33.3
175,2014-01-25,21-049,PHI,BOS,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,23,15:41,2,7,11,38.9
176,2014-01-28,21-052,PHI,DET,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,27,18:22,0,6,11,35.3
177,2014-01-30,21-054,PHI,ANA,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,26,16:59,0,11,8,57.9
178,2014-02-01,21-056,PHI,LAK,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,27,19:34,1,12,13,48.0
179,2014-02-03,21-058,PHI,SJS,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,30,18:01,1,14,10,58.3
180,2014-02-06,21-061,PHI,COL,W,0,2,2,2,2,0,0,0,0,,,,2,0.0,27,19:39,3,4,11,26.7
181,2014-02-08,21-063,PHI,CGY,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,17:24,1,10,4,71.4
