,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-11-24,23-034,LAK,TOR,L,1,1,2,-2,0,0,1,0,0,0,1,0,1,100.0,19,15:52,0,0,0,
1,2021-11-27,23-037,LAK,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,18,17:27,2,0,0,
2,2021-11-30,23-040,LAK,ANA,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,18,18:18,3,0,0,
3,2021-12-02,23-042,LAK,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:48,3,0,0,
4,2021-12-05,23-045,LAK,EDM,W,0,1,1,1,2,0,0,0,0,0,1,0,1,0.0,20,15:19,1,0,0,
5,2021-12-06,23-046,LAK,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:11,1,0,0,
6,2021-12-09,23-049,LAK,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:40,0,0,0,
7,2021-12-11,23-051,LAK,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,19,17:45,1,0,0,
8,2021-12-14,23-054,LAK,TBL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,18:55,0,0,0,
9,2021-12-16,23-056,LAK,FLA,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,27,23:09,1,0,0,
10,2021-12-18,23-058,LAK,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,25,22:10,0,0,0,
11,2021-12-19,23-059,LAK,WSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,24:12,3,0,0,
12,2021-12-28,23-068,LAK,VEG,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,24,18:43,0,0,0,
13,2021-12-30,23-070,LAK,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,17:36,2,0,0,
14,2022-01-01,23-072,LAK,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,13:55,2,0,0,
15,2022-01-06,23-077,LAK,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,19:38,2,0,0,
16,2022-01-08,23-079,LAK,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,18:48,1,0,0,
17,2022-01-10,23-081,LAK,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,16:40,1,0,0,
18,2022-01-13,23-084,LAK,PIT,W,1,2,3,0,0,1,0,0,0,1,1,0,2,50.0,21,17:17,1,0,0,
19,2022-01-15,23-086,LAK,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:57,1,0,0,
20,2022-01-17,23-088,LAK,SJS,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,18:30,1,0,0,
21,2022-01-18,23-089,LAK,TBL,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,21,16:46,2,0,0,
