,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-03,18-356,CGY,WSH,L-SO,0,1,1,0,0,0,0,0,0,,,,2,0.0,17,11:40,1,4,5,44.4
1,2013-10-04,18-357,CGY,CBJ,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,18,13:20,0,5,7,41.7
2,2013-10-06,18-359,CGY,VAN,L-OT,1,0,1,-3,0,1,0,0,0,,,,5,20.0,21,13:42,0,5,10,33.3
3,2013-10-09,18-362,CGY,MTL,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,20,15:41,0,4,9,30.8
4,2013-10-11,18-364,CGY,NJD,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,21,16:31,0,9,7,56.3
5,2013-10-16,19-004,CGY,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,15:18,0,5,6,45.5
6,2013-10-19,19-007,CGY,SJS,L,1,1,2,0,0,0,1,0,0,,,,3,33.3,21,15:10,0,6,7,46.2
7,2013-10-21,19-009,CGY,LAK,W,1,0,1,-1,0,0,1,0,0,,,,3,33.3,24,21:11,1,7,14,33.3
8,2013-10-22,19-010,CGY,PHX,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,19:26,1,7,10,41.2
9,2013-10-24,19-012,CGY,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,14:51,3,12,7,63.2
10,2013-10-26,19-014,CGY,WSH,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,21,16:07,0,4,10,28.6
11,2013-10-30,19-018,CGY,TOR,L,0,0,0,-3,0,0,0,0,0,,,,6,0.0,28,17:11,1,5,10,33.3
12,2013-11-01,19-020,CGY,DET,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,21,16:58,0,7,7,50.0
13,2013-11-03,19-022,CGY,CHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,13:32,0,8,12,40.0
14,2013-11-05,19-024,CGY,MIN,L,0,0,0,0,0,0,0,0,0,,,,0,,24,14:17,0,7,5,58.3
15,2013-11-07,19-026,CGY,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,15:35,0,6,8,42.9
16,2013-11-08,19-027,CGY,COL,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,14:57,0,5,7,41.7
17,2013-11-12,19-031,CGY,SJS,L-OT,0,1,1,0,0,0,0,0,0,,,,0,,26,18:29,0,10,7,58.8
18,2013-11-14,19-033,CGY,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,16:07,2,7,7,50.0
19,2013-11-16,19-035,CGY,EDM,L,1,0,1,0,0,1,0,0,0,,,,5,20.0,30,19:52,1,12,7,63.2
20,2013-11-18,19-037,CGY,WPG,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,31,18:50,3,8,15,34.8
21,2013-11-20,19-039,CGY,CBJ,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,23,16:58,2,4,7,36.4
22,2013-11-22,19-041,CGY,FLA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,25,17:12,0,6,6,50.0
23,2013-11-27,19-046,CGY,CHI,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,22,14:33,1,8,9,47.1
24,2013-12-14,19-063,CGY,BUF,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:20,0,3,7,30.0
25,2013-12-15,19-064,CGY,NYR,L-SO,1,0,1,2,0,1,0,0,0,,,,1,100.0,20,14:11,0,4,7,36.4
26,2013-12-17,19-066,CGY,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,14:51,1,4,6,40.0
27,2013-12-19,19-068,CGY,DET,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,12,9:37,0,4,3,57.1
28,2013-12-21,19-070,CGY,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,14,9:24,0,3,5,37.5
29,2013-12-23,19-072,CGY,STL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,11:17,0,6,6,50.0
30,2013-12-27,19-076,CGY,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,14,10:26,1,2,4,33.3
31,2013-12-29,19-078,CGY,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:57,1,6,7,46.2
32,2013-12-31,19-080,CGY,PHI,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,21,15:46,0,6,7,46.2
33,2014-01-03,19-083,CGY,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,13:59,0,5,4,55.6
34,2014-01-06,19-086,CGY,COL,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,20,13:32,2,3,6,33.3
35,2014-01-07,19-087,CGY,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,22,16:37,1,10,11,47.6
36,2014-01-09,19-089,CGY,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,14:31,0,6,8,42.9
37,2014-01-11,19-091,CGY,PIT,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,24,18:06,0,9,2,81.8
38,2014-01-13,19-093,CGY,CAR,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,20,13:45,0,3,6,33.3
39,2014-01-14,19-094,CGY,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,12:57,0,6,5,54.5
40,2014-01-16,19-096,CGY,WPG,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,21,14:26,1,6,5,54.5
41,2014-01-18,19-098,CGY,VAN,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,29,18:18,0,4,3,57.1
42,2014-01-20,19-100,CGY,SJS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,23,15:28,1,2,8,20.0
43,2014-01-22,19-102,CGY,PHX,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,22,15:07,1,4,7,36.4
44,2014-01-24,19-104,CGY,NSH,W,0,0,0,-3,0,0,0,0,0,,,,3,0.0,20,14:58,1,5,5,50.0
45,2014-01-28,19-108,CGY,CHI,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,22,14:32,2,6,4,60.0
46,2014-01-30,19-110,CGY,SJS,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,25,16:42,1,8,9,47.1
47,2014-02-01,19-112,CGY,MIN,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,24,15:10,0,11,5,68.8
48,2014-02-04,19-115,CGY,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,17:55,1,5,9,35.7
49,2014-02-06,19-117,CGY,NYI,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,20,12:55,0,9,6,60.0
50,2014-02-08,19-119,CGY,PHI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,20,15:29,0,3,7,30.0
51,2014-02-27,19-138,CGY,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,24,14:41,0,5,13,27.8
52,2014-03-01,19-140,CGY,EDM,W,2,0,2,1,0,2,0,0,1,,,,2,100.0,25,16:00,0,5,9,35.7
53,2014-03-03,19-142,CGY,MIN,L,0,0,0,0,0,0,0,0,0,,,,0,,26,17:32,2,8,7,53.3
54,2014-03-05,19-144,CGY,OTT,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,29,14:49,0,6,6,50.0
55,2014-03-07,19-146,CGY,NYI,W,1,0,1,1,2,1,0,0,0,,,,3,33.3,23,14:42,0,9,8,52.9
56,2014-03-08,19-147,CGY,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,22,20:59,0,6,8,42.9
57,2014-03-10,19-149,CGY,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,28,21:50,0,5,9,35.7
