,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-31,19-272,CAR,ARI,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,16,10:01,0,0,0,
1,2021-11-03,19-275,CAR,CHI,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,14,9:14,1,1,0,100.0
2,2021-11-06,19-278,CAR,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,15:28,0,0,0,
3,2021-11-09,19-281,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:49,0,0,0,
4,2021-11-12,19-284,CAR,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:41,0,0,0,
5,2021-11-13,19-285,CAR,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:43,1,0,1,0.0
6,2021-11-16,19-288,CAR,VEG,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,21,14:12,0,0,0,
7,2021-11-18,19-290,CAR,ANA,W,1,0,1,1,0,1,0,0,1,0,0,0,6,16.7,22,16:54,1,0,0,
8,2021-11-20,19-292,CAR,LAK,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,21,15:32,2,0,1,0.0
9,2021-11-22,19-294,CAR,SJS,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,15:55,0,0,0,
10,2021-11-24,19-296,CAR,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:27,0,0,0,
11,2021-11-26,19-298,CAR,PHI,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,19,14:54,1,1,0,100.0
12,2021-11-28,19-300,CAR,WSH,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,15,10:19,0,1,1,50.0
13,2021-11-30,19-302,CAR,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,12:58,1,2,1,66.7
14,2021-12-02,19-304,CAR,OTT,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,12:33,5,0,1,0.0
15,2021-12-04,19-306,CAR,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,13:44,1,0,0,
16,2021-12-07,19-309,CAR,WPG,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,13,10:24,1,0,0,
17,2021-12-09,19-311,CAR,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:03,0,0,0,
18,2021-12-11,19-313,CAR,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:04,0,0,0,
19,2021-12-12,19-314,CAR,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,17:05,0,0,0,
20,2021-12-30,19-332,CAR,MTL,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,16,14:00,1,0,0,
21,2022-01-01,19-334,CAR,CBJ,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,14:21,3,0,0,
22,2022-01-07,19-340,CAR,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:48,1,0,0,
23,2022-01-08,19-341,CAR,FLA,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,14:46,1,0,0,
24,2022-01-13,19-346,CAR,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:55,1,0,0,
25,2022-01-15,19-348,CAR,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:42,1,0,1,0.0
26,2022-01-18,19-351,CAR,BOS,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,19,15:19,1,0,0,
27,2022-01-21,19-354,CAR,NYR,W,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,21,15:02,1,0,0,
28,2022-01-22,19-355,CAR,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,15:40,2,0,0,
29,2022-01-25,19-358,CAR,VEG,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,13:55,3,0,0,
30,2022-01-27,19-360,CAR,OTT,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,16:47,1,0,0,
31,2022-01-29,19-362,CAR,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,14:00,2,1,0,100.0
32,2022-01-30,19-363,CAR,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,15:33,2,0,2,0.0
33,2022-02-07,20-006,CAR,TOR,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,16:11,0,0,0,
34,2022-02-08,20-007,CAR,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:36,1,1,0,100.0
35,2022-02-10,20-009,CAR,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,12:14,1,1,1,50.0
36,2022-02-12,20-011,CAR,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,15:00,0,0,1,0.0
37,2022-02-16,20-015,CAR,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:29,0,0,0,
38,2022-02-18,20-017,CAR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,10:25,1,1,0,100.0
39,2022-02-20,20-019,CAR,PIT,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,13,9:22,0,0,0,
40,2022-02-25,20-024,CAR,CBJ,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,15,10:57,1,0,0,
41,2022-02-27,20-026,CAR,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:12,0,0,0,
42,2022-03-01,20-028,CAR,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:57,2,0,0,
43,2022-03-04,20-031,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:07,0,0,0,
44,2022-03-06,20-033,CAR,SEA,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,14,10:14,0,0,0,
45,2022-03-10,20-037,CAR,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:02,1,0,0,
46,2022-03-18,20-045,CAR,WSH,L-SO,2,0,2,2,2,2,0,0,0,0,0,0,2,100.0,23,16:54,2,0,0,
47,2022-03-20,20-047,CAR,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,18:04,1,0,0,
48,2022-03-22,20-049,CAR,TBL,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,20,14:45,2,0,0,
49,2022-03-24,20-051,CAR,DAL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,13:17,1,0,0,
