,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-04-17,20-156,OTT,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,9:24,1,4,2,66.7
1,2021-04-19,20-158,OTT,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:49,1,2,3,40.0
2,2021-04-22,20-161,OTT,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,14:58,1,4,13,23.5
3,2021-04-24,20-163,OTT,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:38,1,4,2,66.7
4,2021-04-26,20-165,OTT,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:37,2,2,5,28.6
5,2021-04-28,20-167,OTT,VAN,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,18,11:53,0,0,8,0.0
6,2021-05-01,20-170,OTT,MTL,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,18,13:59,1,2,8,20.0
7,2021-05-03,20-172,OTT,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:06,1,4,4,50.0
8,2021-05-05,20-174,OTT,MTL,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,19,15:46,1,7,7,50.0
9,2021-05-08,20-177,OTT,WPG,W,0,2,2,3,0,0,0,0,0,2,0,0,0,,21,15:07,0,6,2,75.0
10,2021-05-09,20-178,OTT,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:07,0,4,6,40.0
11,2021-05-12,20-181,OTT,TOR,W,0,1,1,1,6,0,0,0,0,1,0,0,0,,22,13:51,2,6,5,54.5
12,2021-10-14,20-336,OTT,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,24,19:11,0,8,8,50.0
13,2021-10-16,20-338,OTT,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,18:12,0,3,9,25.0
14,2021-10-17,20-339,OTT,DAL,W,0,1,1,1,2,0,0,0,0,0,1,0,0,,25,21:12,0,6,14,30.0
15,2021-10-21,20-343,OTT,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,2,1:20,0,0,2,0.0
16,2021-11-13,21-001,OTT,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:51,0,0,2,0.0
17,2022-10-13,21-335,OTT,BUF,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,18,13:12,1,1,5,16.7
18,2022-10-15,21-337,OTT,TOR,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,23,15:28,2,7,4,63.6
19,2022-10-18,21-340,OTT,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,20,13:30,0,9,5,64.3
20,2022-10-20,21-342,OTT,WSH,W,1,0,1,2,0,1,0,0,1,0,0,0,4,25.0,21,14:28,1,6,3,66.7
21,2022-10-22,21-344,OTT,ARI,W,1,1,2,1,2,1,0,0,0,1,0,0,1,100.0,20,16:36,0,7,4,63.6
22,2022-10-24,21-346,OTT,DAL,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,18,13:51,0,6,2,75.0
23,2022-10-27,21-349,OTT,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:36,1,3,4,42.9
