,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-10-12,18-280,SEA,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:14,0,1,2,33.3
1,2022-10-17,18-285,SEA,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:50,0,0,0,
2,2022-10-19,18-287,SEA,STL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,11,6:36,0,2,3,40.0
3,2022-10-21,18-289,SEA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:42,1,1,3,25.0
4,2022-10-23,18-291,SEA,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,5:51,0,1,4,20.0
5,2022-11-03,18-302,SEA,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,13:45,0,2,2,50.0
6,2022-11-05,18-304,SEA,PIT,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,14,8:42,0,0,2,0.0
7,2022-12-06,18-335,SEA,MTL,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,17,11:12,0,3,5,37.5
8,2023-11-09,19-308,SEA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:34,0,1,1,50.0
9,2023-11-11,19-310,SEA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:55,0,4,0,100.0
10,2023-11-13,19-312,SEA,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:54,1,3,2,60.0
11,2024-04-01,20-087,SEA,SJS,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,20,15:14,0,10,8,55.6
12,2024-04-03,20-089,SEA,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,16:02,0,3,7,30.0
13,2024-04-05,20-091,SEA,ANA,W,2,1,3,1,0,2,0,0,1,0,1,0,5,40.0,20,16:01,0,3,7,30.0
14,2024-04-09,20-095,SEA,ARI,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,20,15:51,0,11,5,68.8
15,2024-04-11,20-097,SEA,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:46,0,6,10,37.5
