,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-25,21-188,PHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:27,0,0,0,
1,2014-10-28,21-191,PHI,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:40,0,0,0,
2,2015-11-14,22-208,PHI,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,17:21,0,0,0,
3,2015-11-17,22-211,PHI,LAK,L-SO,1,0,1,0,0,0,1,0,0,0,0,0,4,25.0,25,19:40,0,0,0,
4,2015-11-19,22-213,PHI,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,17:02,0,0,0,
5,2015-11-21,22-215,PHI,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,19:26,0,0,0,
6,2015-11-23,22-217,PHI,CAR,W,1,0,1,-1,0,0,1,0,1,0,0,0,2,50.0,25,16:56,0,0,0,
7,2015-11-25,22-219,PHI,NYI,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,24,20:04,0,0,0,
8,2015-11-27,22-221,PHI,NSH,W,1,0,1,1,0,0,1,0,1,0,0,0,4,25.0,25,18:43,0,0,0,
9,2015-11-28,22-222,PHI,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,26,18:02,0,1,0,100.0
10,2015-12-01,22-225,PHI,OTT,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,24,17:11,0,0,0,
11,2015-12-04,22-228,PHI,NJD,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,22,17:17,0,0,0,
12,2015-12-05,22-229,PHI,CBJ,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,26,19:43,1,0,0,
13,2015-12-08,22-232,PHI,NYI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,19:15,2,0,0,
14,2015-12-10,22-234,PHI,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:33,0,0,0,
15,2015-12-11,22-235,PHI,DAL,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,24,18:46,1,0,0,
16,2015-12-15,22-239,PHI,CAR,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,21,16:58,1,0,0,
17,2015-12-17,22-241,PHI,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:16,0,0,0,
18,2015-12-19,22-243,PHI,CBJ,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,19:42,0,0,0,
19,2015-12-21,22-245,PHI,STL,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,25,19:50,1,0,0,
20,2015-12-27,22-251,PHI,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,21:35,0,0,0,
21,2015-12-30,22-254,PHI,SJS,L,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,25,19:45,0,0,0,
22,2016-01-02,22-257,PHI,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,18:13,1,0,0,
23,2016-01-05,22-260,PHI,MTL,W,1,1,2,0,0,1,0,0,0,0,1,0,2,50.0,26,14:52,0,0,0,
24,2016-01-07,22-262,PHI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,7:31,0,0,0,
25,2016-01-16,22-271,PHI,NYR,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,6,0.0,21,20:59,0,0,0,
26,2016-01-17,22-272,PHI,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,22,18:52,0,0,0,
27,2016-01-19,22-274,PHI,TOR,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,23,18:44,0,0,0,
28,2016-01-21,22-276,PHI,PIT,L,0,2,2,0,0,0,0,0,0,0,2,0,2,0.0,26,21:43,1,0,0,
29,2016-01-25,22-280,PHI,BOS,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,23,21:20,2,0,0,
30,2016-01-27,22-282,PHI,WSH,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,26,22:25,1,0,0,
31,2016-02-02,22-288,PHI,MTL,W,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,23,18:05,1,0,0,
32,2016-02-04,22-290,PHI,NSH,W,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,22,17:33,0,0,0,
33,2016-02-06,22-292,PHI,NYR,L-SO,1,1,2,0,0,0,1,0,0,1,0,0,5,20.0,26,23:01,0,0,0,
34,2016-02-07,22-293,PHI,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,23,22:49,1,0,0,
35,2016-02-09,22-295,PHI,ANA,L,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,27,25:01,1,0,0,
36,2016-02-11,22-297,PHI,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,18:20,0,0,0,
37,2016-02-13,22-299,PHI,NJD,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,29,24:30,1,0,0,
38,2016-02-14,22-300,PHI,NYR,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,21,22:12,1,0,0,
39,2016-02-16,22-302,PHI,NJD,W,1,0,1,-1,2,1,0,0,0,0,0,0,2,50.0,28,20:37,2,0,0,
40,2016-02-19,22-305,PHI,MTL,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,27,22:53,1,0,0,
41,2016-02-20,22-306,PHI,TOR,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,27,21:12,0,0,0,
42,2016-02-23,22-309,PHI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,25:17,0,0,0,
43,2016-02-25,22-311,PHI,MIN,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,27,21:30,1,0,0,
44,2016-02-27,22-313,PHI,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,25,20:30,0,0,0,
45,2016-02-29,22-315,PHI,CGY,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,25,18:27,3,0,0,
46,2016-03-03,22-318,PHI,EDM,L,0,0,0,-3,0,0,0,0,0,0,0,0,6,0.0,28,24:01,0,0,0,
47,2016-03-05,22-320,PHI,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,25,20:44,0,0,0,
48,2016-03-07,22-322,PHI,TBL,W,2,0,2,1,0,1,1,0,0,0,0,0,3,66.7,21,17:43,1,0,0,
49,2016-03-11,22-326,PHI,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,19:47,0,0,0,
50,2016-03-12,22-327,PHI,FLA,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,22:42,0,0,0,
51,2016-03-15,22-330,PHI,DET,W,1,0,1,2,0,1,0,0,1,0,0,0,6,16.7,24,20:21,0,0,0,
52,2016-03-16,22-331,PHI,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,20:25,0,0,0,
53,2016-03-19,22-334,PHI,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,28,23:22,0,0,0,
54,2016-03-21,22-336,PHI,NYI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,22,18:49,1,0,0,
55,2016-03-22,22-337,PHI,CBJ,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,27,22:02,0,0,0,
56,2016-03-24,22-339,PHI,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,27,20:40,1,0,0,
57,2016-03-26,22-341,PHI,ARI,L,0,1,1,0,0,0,0,0,0,0,1,0,5,0.0,27,24:10,0,0,0,
58,2016-03-28,22-343,PHI,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,29,22:31,0,0,0,
59,2016-03-30,22-345,PHI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,29,21:48,0,0,0,
60,2016-04-02,22-348,PHI,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,18:34,0,0,0,
61,2016-04-03,22-349,PHI,PIT,L,0,1,1,-1,2,0,0,0,0,1,0,0,0,,29,22:28,0,0,0,
62,2016-04-06,22-352,PHI,DET,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,20,20:23,1,0,0,
63,2016-04-07,22-353,PHI,TOR,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,29,24:49,0,0,0,
64,2016-04-09,22-355,PHI,PIT,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,27,22:21,0,0,0,
65,2016-04-10,22-356,PHI,NYI,W,1,0,1,1,2,0,1,0,0,0,0,0,4,25.0,25,21:26,0,0,0,
66,2016-10-14,23-177,PHI,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,29,20:57,1,0,0,
67,2016-10-15,23-178,PHI,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,26,23:29,1,0,0,
68,2016-10-18,23-181,PHI,CHI,L,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,28,23:16,2,0,0,
69,2016-10-20,23-183,PHI,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,22:58,0,0,0,
70,2016-10-22,23-185,PHI,CAR,W,1,1,2,2,0,1,0,0,1,0,1,0,3,33.3,24,16:45,0,0,0,
71,2016-10-24,23-187,PHI,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,21:27,1,0,0,
72,2016-10-25,23-188,PHI,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,30,22:18,1,0,0,
73,2016-10-27,23-190,PHI,ARI,L,0,1,1,-3,0,0,0,0,0,0,1,0,3,0.0,26,22:18,0,0,0,
74,2016-10-29,23-192,PHI,PIT,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,28,22:35,1,0,0,
75,2016-10-30,23-193,PHI,CAR,W,1,0,1,0,2,0,1,0,0,0,0,0,3,33.3,21,16:30,0,0,0,
76,2016-11-02,23-196,PHI,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,28,19:55,0,0,0,
77,2016-11-03,23-197,PHI,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,28,21:49,0,0,0,
78,2016-11-05,23-199,PHI,MTL,L,1,1,2,-2,0,1,0,0,0,0,1,0,3,33.3,25,24:24,0,0,0,
79,2016-11-08,23-202,PHI,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,21:36,0,0,0,
80,2016-11-11,23-205,PHI,TOR,L,0,1,1,-2,2,0,0,0,0,0,1,0,1,0.0,23,19:25,0,0,0,
81,2016-11-12,23-206,PHI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,16:06,0,0,0,
82,2016-11-15,23-209,PHI,OTT,L-SO,0,0,0,2,0,0,0,0,0,0,0,0,0,,28,21:49,0,0,0,
83,2016-11-19,23-213,PHI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,23:32,1,0,0,
84,2016-11-22,23-216,PHI,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,16:10,0,0,0,
85,2016-11-23,23-217,PHI,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,25,21:00,0,0,0,
86,2016-11-25,23-219,PHI,NYR,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,26,21:16,0,0,0,
87,2016-11-27,23-221,PHI,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,20:17,0,0,0,
88,2016-11-29,23-223,PHI,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:30,0,0,0,
89,2016-12-01,23-225,PHI,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,20:05,0,0,0,
90,2016-12-03,23-227,PHI,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,19:08,0,0,0,
91,2016-12-04,23-228,PHI,NSH,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,22,18:47,0,0,0,
92,2016-12-06,23-230,PHI,FLA,W,0,1,1,1,2,0,0,0,0,0,1,0,2,0.0,29,19:28,0,0,0,
93,2016-12-08,23-232,PHI,EDM,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,25,19:53,0,0,0,
94,2016-12-10,23-234,PHI,DAL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,21,15:57,0,0,0,
95,2016-12-14,23-238,PHI,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:57,1,0,0,
96,2016-12-17,23-241,PHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,19:05,1,0,0,
97,2016-12-19,23-243,PHI,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:43,0,0,0,
98,2016-12-21,23-245,PHI,WSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,20:42,1,0,0,
99,2016-12-22,23-246,PHI,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,19:22,2,0,0,
100,2016-12-28,23-252,PHI,STL,L,0,1,1,0,0,0,0,0,0,0,1,0,0,,26,20:19,0,0,0,
101,2016-12-30,23-254,PHI,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,19:36,1,0,0,
102,2017-01-01,23-256,PHI,ANA,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,5,0.0,26,20:45,1,0,0,
103,2017-01-04,23-259,PHI,NYR,L,0,1,1,-3,2,0,0,0,0,0,1,0,4,0.0,26,19:37,0,0,0,
104,2017-01-07,23-262,PHI,TBL,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,21,13:33,0,0,0,
105,2017-01-08,23-263,PHI,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,18:46,0,0,0,
106,2017-01-10,23-265,PHI,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,27,21:34,0,0,0,
107,2017-01-12,23-267,PHI,VAN,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,16:28,0,0,0,
108,2017-01-15,23-270,PHI,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,21:22,1,0,0,
