,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-18,23-072,LAK,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:06,0,0,0,
1,2018-10-20,23-074,LAK,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:06,0,0,0,
2,2018-10-23,23-077,LAK,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:07,0,0,0,
3,2018-11-27,23-112,LAK,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:45,0,0,0,
4,2018-11-29,23-114,LAK,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:20,0,0,0,
5,2018-11-30,23-115,LAK,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:41,0,0,0,
6,2018-12-02,23-117,LAK,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:05,0,0,0,
7,2021-01-28,25-174,CAR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:58,0,0,1,0.0
8,2021-01-30,25-176,CAR,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:18,0,0,0,
9,2021-01-31,25-177,CAR,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:37,0,0,0,
10,2022-03-13,26-218,VAN,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,9,9:11,0,0,0,
11,2022-12-31,27-146,VEG,NSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,12,7:44,0,0,0,
12,2024-01-18,28-164,VEG,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:18,0,0,0,
13,2024-01-23,28-169,VEG,NYI,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,13,7:58,0,0,0,
14,2024-01-26,28-172,VEG,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,12:01,0,0,0,
15,2024-01-27,28-173,VEG,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:05,0,0,0,
16,2024-02-12,28-189,VEG,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,9:07,0,0,0,
17,2024-02-22,28-199,VEG,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:23,0,0,0,
18,2024-02-24,28-201,VEG,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,13,9:44,0,0,0,
19,2024-02-27,28-204,VEG,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,18,10:39,0,0,0,
20,2024-02-29,28-206,VEG,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,9:30,0,0,0,
