,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-04-28,22-221,ANA,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:46,4,0,0,
1,2021-04-30,22-223,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,15:02,2,0,0,
2,2021-05-01,22-224,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:31,6,0,0,
3,2021-05-03,22-226,ANA,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:58,3,0,0,
4,2021-05-05,22-228,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,18:34,3,0,0,
5,2021-05-08,22-231,ANA,MIN,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,0,,22,16:20,2,0,0,
6,2021-10-26,23-037,ANA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,14:41,1,0,0,
7,2021-10-28,23-039,ANA,BUF,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,16,14:05,3,0,0,
8,2021-10-29,23-040,ANA,VEG,L-SO,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,14:05,7,0,0,
9,2021-10-31,23-042,ANA,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:12,2,0,0,
10,2021-11-07,23-049,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:57,5,0,0,
11,2021-11-09,23-051,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:04,2,0,0,
12,2021-11-14,23-056,ANA,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:12,5,0,0,
13,2021-11-16,23-058,ANA,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,14:36,7,0,0,
14,2021-11-24,23-066,ANA,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,21,14:59,2,0,0,
15,2021-11-26,23-068,ANA,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:34,3,0,0,
16,2021-11-28,23-070,ANA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,16:03,2,0,0,
17,2021-11-30,23-072,ANA,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:33,3,0,0,
18,2021-12-03,23-075,ANA,CGY,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:33,6,0,0,
19,2021-12-06,23-078,ANA,WSH,L-SO,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,16,11:45,1,0,0,
20,2021-12-09,23-081,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:07,4,0,0,
21,2021-12-12,23-084,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:59,2,0,0,
22,2021-12-15,23-087,ANA,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,12:47,7,0,0,
23,2021-12-17,23-089,ANA,ARI,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,11:14,2,0,0,
24,2021-12-29,23-101,ANA,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:44,2,0,0,
25,2021-12-31,23-103,ANA,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,18:00,4,0,0,
26,2022-01-02,23-105,ANA,COL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,10:03,3,0,0,
27,2022-01-04,23-107,ANA,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:48,1,0,0,
28,2022-01-08,23-111,ANA,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:25,2,0,0,
29,2022-01-09,23-112,ANA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:03,3,0,0,
30,2022-01-11,23-114,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:07,4,0,0,
31,2022-01-26,23-129,ANA,TOR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,10:08,3,0,0,
32,2022-01-27,23-130,ANA,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,12:15,3,0,0,
33,2022-01-29,23-132,ANA,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:00,7,0,0,
34,2022-01-31,23-134,ANA,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:39,1,0,0,
35,2022-02-11,23-145,ANA,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:11,4,0,0,
36,2022-02-16,23-150,ANA,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,12:49,1,0,0,
37,2022-02-19,23-153,ANA,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,17:03,4,0,0,
38,2022-02-22,23-156,ANA,SJS,W,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,17,11:52,2,0,0,
39,2022-02-25,23-159,ANA,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,12:52,3,0,0,
40,2022-02-27,23-161,ANA,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,12:01,2,0,0,
41,2022-03-01,23-163,ANA,BOS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,12:29,3,0,0,
42,2022-03-04,23-166,ANA,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:11,3,0,0,
43,2022-03-06,23-168,ANA,SJS,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,18,13:41,2,0,0,
44,2022-03-08,23-170,ANA,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,16:50,4,0,0,
45,2022-03-15,23-177,ANA,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:37,1,0,0,
46,2022-03-18,23-180,ANA,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,19:00,4,0,0,
47,2022-03-21,23-183,ANA,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,16:21,2,0,0,
48,2022-03-23,23-185,ANA,CHI,L,0,0,0,1,5,0,0,0,0,0,0,0,1,0.0,22,16:10,5,0,0,
49,2022-03-26,23-188,ANA,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:01,3,0,0,
50,2022-03-29,23-191,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,17:42,3,0,0,
51,2022-03-31,23-193,ANA,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:47,3,0,0,
52,2022-04-06,23-199,ANA,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:55,3,0,0,
