,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2008-10-04,18-240,TBL,NYR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,13,8:25,2,3,3,50.0
1,2008-10-05,18-241,TBL,NYR,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,18,14:53,2,6,2,75.0
2,2008-10-11,18-247,TBL,CAR,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,9,6:05,1,3,1,75.0
3,2008-10-16,18-252,TBL,NYI,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,9:22,2,3,3,50.0
4,2008-10-18,18-254,TBL,MIN,L-SO,0,0,0,0,0,0,0,0,0,,,,4,0.0,18,13:56,2,4,4,50.0
5,2008-10-21,18-257,TBL,ATL,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,14,11:30,2,6,7,46.2
6,2008-10-25,18-261,TBL,SJS,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,19,13:57,4,0,2,0.0
7,2008-10-28,18-264,TBL,TOR,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,17,12:58,0,4,2,66.7
8,2008-10-30,18-266,TBL,BUF,W,2,1,3,2,2,1,1,0,0,,,,4,50.0,17,13:47,2,1,3,25.0
9,2008-11-01,18-268,TBL,OTT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,17,13:54,0,3,5,37.5
10,2008-11-05,18-272,TBL,NJD,L-SO,0,0,0,-1,0,0,0,0,0,,,,3,0.0,17,13:52,0,2,2,50.0
11,2008-11-06,18-273,TBL,NYR,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,20,14:13,2,2,3,40.0
12,2008-11-08,18-275,TBL,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:39,1,4,5,44.4
13,2008-11-10,18-277,TBL,WSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,14,11:24,0,5,6,45.5
14,2008-11-12,18-279,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,10:59,2,3,4,42.9
15,2008-11-13,18-280,TBL,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,9:51,1,2,3,40.0
16,2008-11-16,18-283,TBL,CAR,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,15:10,3,3,5,37.5
17,2008-11-18,18-285,TBL,FLA,L-SO,0,1,1,1,0,0,0,0,0,,,,9,0.0,23,17:57,1,6,4,60.0
18,2008-11-21,18-288,TBL,NSH,W,0,2,2,1,4,0,0,0,0,,,,3,0.0,18,11:58,0,0,3,0.0
19,2008-11-23,18-290,TBL,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,13:58,1,2,2,50.0
20,2008-11-26,18-293,TBL,NYR,L-SO,0,0,0,0,5,0,0,0,0,,,,1,0.0,23,16:06,3,1,5,16.7
21,2008-11-28,18-295,TBL,MIN,L,0,1,1,-2,2,0,0,0,0,,,,3,0.0,26,20:32,2,3,6,33.3
22,2008-11-29,18-296,TBL,COL,L,1,1,2,-1,2,0,1,0,0,,,,2,50.0,27,21:42,1,4,4,50.0
23,2008-12-02,18-299,TBL,PHI,L-OT,0,1,1,0,0,0,0,0,0,,,,4,0.0,25,16:22,0,3,2,60.0
24,2008-12-04,18-301,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,15:17,1,1,5,16.7
25,2008-12-06,18-303,TBL,BUF,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,19,19:28,0,2,1,66.7
26,2008-12-08,18-305,TBL,BOS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,12:27,1,1,5,16.7
