,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-04,19-339,STL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:26,0,0,0,
1,2017-10-07,19-342,STL,DAL,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,13,8:15,2,0,0,
2,2017-10-09,19-344,STL,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:34,2,0,0,
3,2017-10-10,19-345,STL,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,10:03,1,0,0,
4,2017-12-20,20-051,STL,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,20,14:20,2,0,0,
5,2017-12-21,20-052,STL,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,14:19,1,0,0,
6,2017-12-23,20-054,STL,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,15:31,0,0,0,
7,2017-12-27,20-058,STL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:27,1,0,0,
8,2017-12-29,20-060,STL,DAL,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,22,15:33,0,0,0,
9,2017-12-30,20-061,STL,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,12:51,0,0,0,
10,2018-01-02,20-064,STL,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,17,14:16,0,0,0,
11,2018-01-04,20-066,STL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:10,0,0,0,
12,2018-01-06,20-068,STL,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:05,0,0,0,
13,2018-01-07,20-069,STL,WSH,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,12:17,1,0,0,
14,2018-01-09,20-071,STL,FLA,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,18,13:49,1,0,0,
15,2018-01-16,20-078,STL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:30,0,0,0,
16,2018-01-18,20-080,STL,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,13:51,0,0,0,
17,2018-01-20,20-082,STL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:14,1,0,0,
18,2018-01-23,20-085,STL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,14:17,3,0,0,
19,2018-01-25,20-087,STL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:11,0,0,0,
20,2018-01-30,20-092,STL,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,13,11:33,1,0,0,
21,2018-02-01,20-094,STL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:32,1,0,0,
22,2018-02-03,20-096,STL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,7:54,1,0,0,
23,2018-02-08,20-101,STL,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,14,11:09,0,0,0,
24,2018-02-25,20-118,STL,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,11:29,1,0,0,
25,2018-02-27,20-120,STL,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,10:15,0,0,0,
26,2018-02-28,20-121,STL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:11,1,0,0,
27,2018-03-03,20-124,STL,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,6:54,1,1,0,100.0
28,2018-03-08,20-129,STL,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:58,0,,,
29,2018-03-10,20-131,STL,LAK,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,11:55,2,0,2,0.0
30,2018-03-12,20-133,STL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:37,1,0,1,0.0
31,2018-03-15,20-136,STL,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:09,2,0,0,
32,2018-03-17,20-138,STL,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:59,2,0,1,0.0
33,2018-03-18,20-139,STL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:58,2,0,1,0.0
34,2018-03-21,20-142,STL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:18,3,0,0,
35,2018-03-23,20-144,STL,VAN,W,0,1,1,1,4,0,0,0,0,1,0,0,1,0.0,19,11:44,2,0,1,0.0
36,2018-03-24,20-145,STL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:22,0,0,0,
37,2018-03-27,20-148,STL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:19,1,0,0,
38,2018-04-02,20-154,STL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,12:38,0,0,0,
39,2018-04-04,20-156,STL,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,15,9:59,0,0,2,0.0
40,2018-04-06,20-158,STL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:02,3,0,1,0.0
41,2018-10-04,20-339,BUF,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:22,1,1,1,50.0
42,2018-10-06,20-341,BUF,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:48,0,0,0,
