,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-03-02,23-277,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:28,0,0,0,
1,2021-04-11,23-317,NSH,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:31,4,0,0,
2,2021-04-13,23-319,NSH,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,11:41,5,0,0,
3,2021-04-15,23-321,NSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:07,7,0,0,
4,2021-04-17,23-323,NSH,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,12:30,2,0,0,
5,2021-04-19,23-325,NSH,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,12,9:35,3,0,0,
6,2021-04-21,23-327,NSH,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:19,4,0,0,
7,2021-04-23,23-329,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:15,4,0,0,
8,2021-04-26,23-332,NSH,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,13:46,3,0,0,
9,2021-04-27,23-333,NSH,FLA,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,19,14:38,1,0,0,
10,2021-05-01,23-337,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13:09,4,0,0,
11,2021-05-03,23-339,NSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:31,3,0,1,0.0
12,2021-05-05,23-341,NSH,CBJ,L,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,19,13:57,5,0,0,
13,2021-05-08,23-344,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,14:54,4,0,1,0.0
14,2021-05-10,23-346,NSH,CAR,W,1,1,2,2,0,0,0,1,0,0,0,1,3,33.3,18,15:36,4,1,0,100.0
15,2021-10-14,24-138,NSH,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:57,1,0,0,
16,2021-10-16,24-140,NSH,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,12:05,2,0,1,0.0
17,2021-10-19,24-143,NSH,LAK,W,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,17,13:30,4,0,0,
18,2021-10-21,24-145,NSH,NYR,L,0,0,0,-1,4,0,0,0,0,0,0,0,3,0.0,19,13:15,2,0,0,
