,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-01-30,24-168,PIT,TBL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,10,6:22,1,1,4,20.0
1,2019-02-01,24-170,PIT,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,10:42,5,1,2,33.3
2,2019-02-02,24-171,PIT,TOR,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,9:08,0,0,1,0.0
3,2019-02-05,24-174,PIT,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:49,4,0,0,
4,2019-02-07,24-176,PIT,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:05,1,3,2,60.0
5,2019-02-09,24-178,PIT,TBL,L,0,1,1,0,5,0,0,0,0,1,0,0,1,0.0,13,6:55,1,0,0,
6,2019-02-13,24-182,PIT,EDM,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,18,13:42,4,1,0,100.0
7,2019-02-16,24-185,PIT,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,10:56,4,0,0,
8,2019-02-17,24-186,PIT,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,13:18,5,0,0,
9,2019-03-01,24-198,PIT,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:25,0,1,0,100.0
10,2019-03-02,24-199,PIT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,10:33,2,0,0,
11,2019-03-05,24-202,PIT,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:46,0,0,0,
12,2019-03-07,24-204,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:18,4,0,0,
13,2019-03-09,24-206,PIT,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:30,0,1,0,100.0
14,2019-03-10,24-207,PIT,BOS,W,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,24,15:29,4,0,1,0.0
15,2019-03-12,24-209,PIT,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,15:15,2,0,0,
16,2019-03-14,24-211,PIT,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,20,14:09,2,0,0,
17,2019-03-16,24-213,PIT,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:02,2,0,0,
18,2019-03-17,24-214,PIT,PHI,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,11:26,1,4,1,80.0
19,2019-03-19,24-216,PIT,CAR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,15:11,2,8,6,57.1
20,2019-03-21,24-218,PIT,NSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,13:01,0,1,10,9.1
21,2019-03-23,24-220,PIT,DAL,W,0,1,1,2,0,0,0,0,0,0,0,1,0,,21,16:58,1,6,5,54.5
22,2019-03-25,24-222,PIT,NYR,W,2,0,2,2,0,1,0,1,0,0,0,0,3,66.7,21,14:42,2,5,6,45.5
23,2019-03-29,24-226,PIT,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,8:49,0,3,5,37.5
24,2019-03-31,24-228,PIT,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,13:40,2,3,7,30.0
25,2019-04-02,24-230,PIT,DET,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,9:28,0,2,1,66.7
26,2019-04-04,24-232,PIT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:09,2,0,0,
27,2019-04-06,24-234,PIT,NYR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:48,1,1,0,100.0
28,2019-10-03,25-049,PIT,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:19,1,7,6,53.8
29,2019-10-05,25-051,PIT,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,13:25,1,5,3,62.5
30,2019-10-08,25-054,PIT,WPG,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,23,16:50,3,8,3,72.7
