,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-19,24-174,NSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:29,0,1,2,33.3
1,2021-10-21,24-176,NSH,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:06,0,5,2,71.4
2,2021-10-23,24-178,NSH,WPG,L,0,3,3,0,0,0,0,0,0,1,2,0,1,0.0,15,12:50,0,2,9,18.2
3,2021-10-24,24-179,NSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:10,0,2,3,40.0
4,2021-10-26,24-181,NSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:03,0,2,0,100.0
5,2021-10-30,24-185,NSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:39,0,2,4,33.3
6,2021-11-02,24-188,NSH,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:03,1,1,1,50.0
7,2021-11-03,24-189,NSH,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:53,1,4,3,57.1
8,2021-11-05,24-191,NSH,VAN,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,12,10:06,0,1,1,50.0
9,2021-11-07,24-193,NSH,CHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,11:10,0,0,3,0.0
10,2021-11-10,24-196,NSH,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,9:55,0,0,2,0.0
11,2021-11-11,24-197,NSH,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:54,0,1,2,33.3
12,2021-11-13,24-199,NSH,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,10:39,0,2,3,40.0
13,2021-11-16,24-202,NSH,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:15,0,0,3,0.0
14,2021-11-22,24-208,NSH,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,13:22,0,2,2,50.0
15,2021-11-24,24-210,NSH,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,15:25,0,7,2,77.8
16,2021-11-26,24-212,NSH,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:09,0,2,4,33.3
17,2021-11-27,24-213,NSH,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,18,14:29,0,2,4,33.3
18,2021-11-30,24-216,NSH,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,14:33,0,6,2,75.0
19,2021-12-02,24-218,NSH,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:57,0,3,3,50.0
20,2021-12-04,24-220,NSH,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,14:00,0,1,5,16.7
21,2021-12-07,24-223,NSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:49,0,3,4,42.9
22,2021-12-09,24-225,NSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:41,0,3,0,100.0
23,2021-12-10,24-226,NSH,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:41,1,2,3,40.0
24,2021-12-12,24-228,NSH,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:07,1,2,2,50.0
25,2021-12-16,24-232,NSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:06,0,3,6,33.3
26,2021-12-17,24-233,NSH,CHI,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,19,12:55,0,3,4,42.9
27,2022-12-19,25-235,NSH,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,13:50,0,4,7,36.4
28,2022-12-21,25-237,NSH,CHI,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,14,12:04,0,0,5,0.0
29,2022-12-23,25-239,NSH,COL,L-OT,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,18,13:08,0,1,8,11.1
30,2022-12-27,25-243,NSH,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,8:37,0,1,1,50.0
31,2022-12-30,25-246,NSH,ANA,W,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,16,12:31,1,0,3,0.0
32,2022-12-31,25-247,NSH,VEG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,15,11:16,0,2,5,28.6
33,2023-01-03,25-250,NSH,MTL,W,1,1,2,2,0,1,0,0,1,1,0,0,4,25.0,16,12:48,0,4,4,50.0
34,2023-01-05,25-252,NSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:52,0,2,7,22.2
