,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-15,19-000,OTT,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:11,1,0,0,
1,2021-01-16,19-001,OTT,TOR,L,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,19,14:52,0,0,0,
2,2021-01-25,19-010,OTT,VAN,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,16,12:37,1,0,0,
3,2021-01-27,19-012,OTT,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,12:29,2,1,0,100.0
4,2021-01-28,19-013,OTT,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:42,0,0,1,0.0
5,2021-01-31,19-016,OTT,EDM,L,1,0,1,-2,0,0,1,0,0,0,0,0,2,50.0,21,13:01,2,0,0,
6,2021-02-02,19-018,OTT,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,15:08,0,0,0,
7,2021-02-04,19-020,OTT,MTL,W,1,2,3,1,0,0,1,0,0,2,0,0,1,100.0,22,14:51,2,0,0,
8,2021-02-06,19-022,OTT,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,17:37,0,0,0,
9,2021-02-08,19-024,OTT,EDM,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,20,17:25,0,0,0,
10,2021-02-09,19-025,OTT,EDM,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,17:28,1,0,0,
11,2021-02-11,19-027,OTT,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:09,1,0,0,
12,2021-02-13,19-029,OTT,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,15:56,0,0,1,0.0
13,2021-02-15,19-031,OTT,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,21,19:41,1,0,0,
14,2021-02-17,19-033,OTT,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:27,0,0,0,
15,2021-02-18,19-034,OTT,TOR,L,1,1,2,-2,0,1,0,0,0,1,0,0,4,25.0,21,15:32,1,0,0,
16,2021-02-21,19-037,OTT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,22,17:50,1,0,0,
17,2021-02-23,19-039,OTT,MTL,W,0,1,1,-1,0,0,0,0,0,0,1,0,6,0.0,20,17:03,1,0,0,
18,2021-02-25,19-041,OTT,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,14:54,0,0,1,0.0
19,2021-02-27,19-043,OTT,CGY,L,0,1,1,-2,0,0,0,0,0,0,1,0,5,0.0,21,18:22,1,1,0,100.0
20,2021-03-01,19-045,OTT,CGY,W,0,2,2,2,2,0,0,0,0,2,0,0,1,0.0,20,13:55,2,0,0,
21,2021-03-02,19-046,OTT,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,19:19,1,1,1,50.0
22,2021-03-04,19-048,OTT,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:41,0,0,0,
23,2021-03-07,19-051,OTT,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,12:16,0,0,1,0.0
24,2021-03-08,19-052,OTT,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,20,17:39,3,0,1,0.0
25,2021-03-10,19-054,OTT,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:25,2,0,2,0.0
26,2021-03-12,19-056,OTT,EDM,L,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,19,14:36,1,0,0,
27,2021-03-14,19-058,OTT,TOR,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,17,15:58,1,1,0,100.0
28,2021-03-15,19-059,OTT,VAN,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,24,19:20,1,1,1,50.0
29,2021-03-17,19-061,OTT,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:20,1,0,0,
30,2021-03-22,19-066,OTT,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,15:29,2,0,0,
31,2021-03-24,19-068,OTT,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,18,16:52,3,0,0,
32,2021-03-25,19-069,OTT,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,16:09,0,0,0,
33,2021-04-01,19-076,OTT,MTL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,18,13:50,0,0,0,
34,2021-04-03,19-078,OTT,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,14:35,1,0,0,
35,2021-04-05,19-080,OTT,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,15:10,0,0,0,
36,2021-04-07,19-082,OTT,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,15:32,0,1,1,50.0
37,2021-04-08,19-083,OTT,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,20,18:23,2,0,0,
38,2021-04-10,19-085,OTT,TOR,L,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,20,16:32,1,0,0,
39,2021-04-12,19-087,OTT,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,12:25,1,0,0,
40,2021-04-14,19-089,OTT,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,17:18,1,0,1,0.0
41,2021-04-17,19-092,OTT,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,15:28,0,0,0,
42,2021-04-19,19-094,OTT,CGY,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,16,13:07,0,0,1,0.0
