,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-12-16,20-069,SJS,MTL,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,18,10:03,2,0,0,
1,2016-12-18,20-071,SJS,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,21,14:38,1,0,0,
2,2016-12-20,20-073,SJS,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,12:44,4,0,0,
3,2016-12-23,20-076,SJS,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,10:16,3,0,0,
4,2016-12-27,20-080,SJS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,12:33,2,0,0,
5,2016-12-30,20-083,SJS,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:47,2,0,0,
6,2016-12-31,20-084,SJS,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:42,4,0,0,
7,2017-01-03,20-087,SJS,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:59,7,0,1,0.0
8,2017-01-05,20-089,SJS,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,16:04,3,0,0,
9,2017-01-07,20-091,SJS,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,15:30,1,0,0,
10,2017-01-10,20-094,SJS,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,13:18,1,0,0,
11,2017-01-11,20-095,SJS,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:57,2,0,0,
12,2017-01-14,20-098,SJS,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:25,4,0,0,
13,2017-01-16,20-100,SJS,WPG,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,17,14:13,1,0,0,
14,2017-01-18,20-102,SJS,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,12:09,4,0,0,
15,2017-01-23,20-107,SJS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,11:46,1,0,1,0.0
16,2017-01-24,20-108,SJS,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:13,0,0,0,
17,2017-01-26,20-110,SJS,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,11:51,3,0,0,
18,2017-01-31,20-115,SJS,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:02,3,1,1,50.0
19,2017-02-02,20-117,SJS,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:03,1,0,0,
20,2017-02-04,20-119,SJS,ARI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,10:59,1,0,0,
21,2017-02-07,20-122,SJS,BUF,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,21,14:22,2,0,0,
22,2017-02-09,20-124,SJS,BOS,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,12:08,1,0,0,
23,2017-02-11,20-126,SJS,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:09,1,0,1,0.0
24,2017-02-12,20-127,SJS,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:51,1,0,0,
25,2017-02-15,20-130,SJS,FLA,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,14,10:08,1,0,0,
