,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-01-18,20-263,TOR,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:40,0,0,0,
1,2020-02-07,20-283,TOR,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:03,1,0,0,
2,2020-02-08,20-284,TOR,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:04,0,0,0,
3,2020-02-11,20-287,TOR,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:45,1,0,0,
4,2020-02-13,20-289,TOR,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:56,2,0,0,
5,2020-02-15,20-291,TOR,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,16,11:40,1,0,0,
6,2020-02-16,20-292,TOR,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:07,0,0,0,
7,2020-02-25,20-301,TOR,TBL,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,11:16,0,0,0,
8,2020-02-27,20-303,TOR,FLA,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,6,5:21,0,0,0,
9,2020-03-03,20-308,TOR,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:55,1,0,0,
10,2020-03-05,20-310,TOR,LAK,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,10:27,2,0,0,
11,2021-04-29,21-364,TOR,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,15:35,3,0,0,
12,2021-05-03,22-003,TOR,MTL,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,14:36,0,0,0,
13,2021-10-16,22-169,TOR,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,14:52,0,0,0,
14,2021-10-23,22-176,TOR,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:59,1,0,0,
15,2021-10-30,22-183,TOR,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:19,1,0,0,
16,2021-11-02,22-186,TOR,VEG,W,0,0,0,2,2,0,0,0,0,0,0,0,2,0.0,25,17:49,1,0,0,
17,2021-11-04,22-188,TOR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:07,1,0,0,
18,2021-11-06,22-190,TOR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:03,3,0,0,
19,2021-11-08,22-192,TOR,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,18:35,3,0,0,
20,2021-11-10,22-194,TOR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:42,1,0,0,
21,2021-11-12,22-196,TOR,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,13:09,2,0,0,
22,2021-11-13,22-197,TOR,BUF,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,15:04,0,0,0,
23,2021-11-20,22-204,TOR,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:17,1,0,0,
24,2021-11-21,22-205,TOR,NYI,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,13:38,0,0,0,
25,2021-11-24,22-208,TOR,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,17:44,1,0,0,
26,2021-11-26,22-210,TOR,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,12:51,0,0,0,
27,2021-12-05,22-219,TOR,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,15:57,0,0,0,
28,2021-12-07,22-221,TOR,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:57,1,0,0,
