,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-01,19-186,WSH,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:40,1,0,0,
1,2013-10-03,19-188,WSH,CGY,W,0,0,0,0,5,0,0,0,0,,,,2,0.0,9,5:52,2,0,0,
2,2013-10-05,19-190,WSH,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,9,6:18,3,0,0,
3,2013-10-10,19-195,WSH,CAR,L,0,0,0,-2,2,0,0,0,0,,,,0,,10,6:38,4,0,0,
4,2013-10-12,19-197,WSH,COL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,7:57,4,0,0,
5,2013-10-14,19-199,WSH,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,11,8:02,3,0,0,
6,2013-10-16,19-201,WSH,NYR,L,0,0,0,0,7,0,0,0,0,,,,0,,9,5:26,1,0,0,
7,2013-10-19,19-204,WSH,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,8:44,4,0,0,
8,2013-10-22,19-207,WSH,WPG,W,0,0,0,0,7,0,0,0,0,,,,0,,12,8:30,4,0,0,
9,2013-10-24,19-209,WSH,EDM,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,17,11:36,1,0,0,
10,2013-10-26,19-211,WSH,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,6,4:40,0,0,0,
11,2013-10-28,19-213,WSH,VAN,L,0,0,0,0,2,0,0,0,0,,,,0,,9,4:41,2,0,0,
12,2013-11-01,19-217,WSH,PHI,W,0,0,0,0,5,0,0,0,0,,,,3,0.0,14,9:03,3,0,0,
13,2013-11-02,19-218,WSH,FLA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,7,6:05,1,0,0,
14,2013-11-05,19-221,WSH,NYI,W,1,1,2,1,12,0,1,0,0,,,,4,25.0,16,10:05,1,0,0,
15,2013-11-07,19-223,WSH,MIN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,10,6:30,1,0,0,
16,2013-11-09,19-225,WSH,PHX,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,9,7:30,3,0,0,
17,2013-11-10,19-226,WSH,COL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,11,6:39,0,0,0,
18,2013-11-12,19-228,WSH,CBJ,W,0,0,0,1,0,0,0,0,0,,,,0,,9,5:27,1,0,0,
19,2013-11-15,19-231,WSH,DET,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,10,6:51,4,0,0,
20,2013-11-17,19-233,WSH,STL,W,0,0,0,0,7,0,0,0,0,,,,1,0.0,12,8:49,0,0,0,
21,2013-11-20,19-236,WSH,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:21,3,0,0,
22,2013-11-22,19-238,WSH,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,9,5:40,2,0,0,
23,2013-11-23,19-239,WSH,TOR,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,7,4:59,1,0,0,
24,2013-11-27,19-243,WSH,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,9,6:17,0,0,1,0.0
25,2013-11-29,19-245,WSH,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,10,6:30,5,0,0,
26,2013-11-30,19-246,WSH,NYI,W,0,1,1,1,0,0,0,0,0,,,,0,,13,7:48,6,0,0,
27,2013-12-03,19-249,WSH,CAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,10:44,5,0,0,
28,2013-12-07,19-253,WSH,NSH,W,0,0,0,0,5,0,0,0,0,,,,0,,11,8:44,2,0,0,
29,2013-12-08,19-254,WSH,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,13,6:54,2,0,0,
30,2013-12-10,19-256,WSH,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,5,3:17,2,0,0,
31,2013-12-13,19-259,WSH,FLA,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,7,5:10,3,0,0,
32,2013-12-15,19-261,WSH,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:33,1,0,0,
33,2013-12-17,19-263,WSH,PHI,L,0,0,0,0,20,0,0,0,0,,,,0,,6,3:56,2,0,1,0.0
34,2013-12-20,19-266,WSH,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,10,7:12,2,0,0,
35,2013-12-21,19-267,WSH,NJD,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,11,10:02,4,0,0,
36,2013-12-23,19-269,WSH,ANA,L,0,0,0,0,0,0,0,0,0,,,,0,,10,6:26,3,0,0,
37,2013-12-27,19-273,WSH,NYR,W,0,0,0,1,0,0,0,0,0,,,,0,,10,7:57,3,0,0,
38,2013-12-29,19-275,WSH,BUF,L-SO,0,0,0,0,5,0,0,0,0,,,,2,0.0,11,8:24,1,0,0,
39,2013-12-30,19-276,WSH,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,10,6:41,1,0,0,
40,2014-01-02,19-279,WSH,CAR,L-OT,0,0,0,1,0,0,0,0,0,,,,0,,9,6:40,3,0,0,
41,2014-01-04,19-281,WSH,MIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,3:46,1,0,0,
42,2014-01-09,19-286,WSH,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,11,6:23,2,0,0,
43,2014-01-10,19-287,WSH,TOR,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,8,5:36,1,0,0,
44,2014-01-12,19-289,WSH,BUF,L-SO,0,0,0,0,2,0,0,0,0,,,,0,,10,7:01,2,0,0,
45,2014-01-14,19-291,WSH,SJS,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,9:05,3,0,0,
46,2014-01-15,19-292,WSH,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,9,7:41,1,0,0,
47,2014-01-17,19-294,WSH,CBJ,L,0,0,0,0,2,0,0,0,0,,,,0,,10,8:32,4,0,0,
48,2014-01-19,19-296,WSH,NYR,L,0,0,0,0,2,0,0,0,0,,,,0,,11,9:14,6,0,0,
49,2014-01-21,19-298,WSH,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,11,7:58,1,0,0,
50,2014-01-24,19-301,WSH,NJD,L,0,1,1,0,4,0,0,0,0,,,,1,0.0,14,8:32,0,0,0,
51,2014-01-25,19-302,WSH,MTL,W,0,1,1,1,5,0,0,0,0,,,,2,0.0,14,10:06,1,0,0,
52,2014-01-28,19-305,WSH,BUF,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:11,1,0,0,
53,2014-01-30,19-307,WSH,CBJ,L,0,1,1,1,5,0,0,0,0,,,,0,,13,7:14,4,0,0,
54,2014-01-31,19-308,WSH,DET,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,7,6:51,1,0,0,
55,2014-02-02,19-310,WSH,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,7:01,3,0,0,
56,2014-02-04,19-312,WSH,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:37,2,0,0,
57,2014-02-06,19-314,WSH,WPG,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,11,8:07,3,0,0,
58,2014-02-08,19-316,WSH,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,5,5:29,2,0,0,
59,2014-02-27,19-335,WSH,FLA,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,11,8:12,0,0,0,
60,2014-03-01,19-337,WSH,BOS,W,0,0,0,0,2,0,0,0,0,,,,0,,10,6:06,2,0,0,
61,2014-03-02,19-338,WSH,PHI,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,9,8:59,1,0,0,
62,2014-03-05,19-341,WSH,PHI,L,0,0,0,-1,17,0,0,0,0,,,,1,0.0,8,5:23,2,0,0,
