,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-03,19-325,SJS,VAN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,25,16:14,2,1,1,50.0
1,2013-10-05,19-327,SJS,PHX,W,2,0,2,1,0,1,1,0,1,,,,4,50.0,25,16:40,1,3,0,100.0
2,2013-10-08,19-330,SJS,NYR,W,4,0,4,3,0,3,1,0,0,,,,7,57.1,16,11:12,1,1,0,100.0
3,2013-10-10,19-332,SJS,VAN,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,25,16:37,2,0,0,
4,2013-10-12,19-334,SJS,OTT,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,17,11:09,1,0,0,
5,2013-10-15,19-337,SJS,STL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,24,15:17,0,0,1,0.0
6,2013-10-17,19-339,SJS,DAL,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,16:29,1,2,0,100.0
7,2013-10-19,19-341,SJS,CGY,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,13:33,1,2,0,100.0
8,2013-10-21,19-343,SJS,DET,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,22,16:16,0,1,0,100.0
9,2013-10-24,19-346,SJS,BOS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,26,15:51,4,0,0,
10,2013-10-26,19-348,SJS,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,10:19,0,0,0,
11,2013-10-27,19-349,SJS,OTT,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,20,15:18,0,0,2,0.0
12,2013-10-30,19-352,SJS,LAK,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,16:26,1,1,0,100.0
13,2013-11-02,19-355,SJS,PHX,L-SO,0,0,0,-1,0,0,0,0,0,,,,4,0.0,21,17:32,0,2,2,50.0
14,2013-11-05,19-358,SJS,BUF,L-SO,1,1,2,1,0,1,0,0,0,,,,6,16.7,25,19:38,3,2,0,100.0
15,2013-11-07,19-360,SJS,VAN,L,0,1,1,-1,0,0,0,0,0,,,,0,,19,15:41,2,0,2,0.0
16,2013-11-10,19-363,SJS,WPG,L-SO,1,1,2,0,0,1,0,0,0,,,,3,33.3,26,17:39,2,4,2,66.7
17,2013-11-12,20-000,SJS,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,17:27,0,1,1,50.0
18,2013-11-14,20-002,SJS,VAN,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,24,17:40,0,0,0,
19,2013-11-15,20-003,SJS,EDM,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,20,14:38,0,2,1,66.7
20,2013-11-17,20-005,SJS,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,21,17:29,1,2,0,100.0
21,2013-11-21,20-009,SJS,TBL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,16:01,0,0,0,
22,2013-11-23,20-011,SJS,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,14:25,0,1,2,33.3
23,2013-11-27,20-015,SJS,LAK,W,0,1,1,0,0,0,0,0,0,,,,4,0.0,21,14:33,0,0,4,0.0
24,2013-11-29,20-017,SJS,STL,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,23,13:12,0,0,0,
25,2013-11-30,20-018,SJS,ANA,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,24,17:16,2,1,0,100.0
26,2013-12-03,20-021,SJS,TOR,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,26,16:01,2,2,0,100.0
27,2013-12-05,20-023,SJS,PIT,L,1,0,1,0,0,1,0,0,0,,,,6,16.7,22,17:05,1,0,0,
28,2013-12-06,20-024,SJS,CAR,L,0,1,1,0,0,0,0,0,0,,,,0,,27,17:41,3,0,0,
29,2013-12-08,20-026,SJS,MIN,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,27,18:00,1,0,1,0.0
30,2013-12-10,20-028,SJS,NYI,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,14:20,0,1,2,33.3
31,2013-12-12,20-030,SJS,MIN,W,1,0,1,0,2,0,1,0,1,,,,2,50.0,21,12:03,1,0,1,0.0
32,2013-12-14,20-032,SJS,NSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,17:49,0,0,0,
33,2013-12-17,20-035,SJS,STL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,13:44,1,0,0,
34,2013-12-19,20-037,SJS,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,5:14,0,0,0,
35,2014-04-11,20-150,SJS,COL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,19,15:00,0,0,0,
36,2014-04-12,20-151,SJS,PHX,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,15:40,6,0,0,
37,2014-10-08,20-330,SJS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:33,2,0,0,
38,2014-10-11,20-333,SJS,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,15:36,0,0,1,0.0
39,2014-10-14,20-336,SJS,WSH,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,31,17:41,0,1,0,100.0
40,2014-10-16,20-338,SJS,NYI,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,25,19:58,0,0,0,
41,2014-10-18,20-340,SJS,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,17:08,1,0,1,0.0
42,2014-10-19,20-341,SJS,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:03,2,0,0,
43,2014-10-21,20-343,SJS,BOS,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,21,13:05,4,0,0,
44,2014-10-23,20-345,SJS,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:22,0,0,1,0.0
45,2014-10-25,20-347,SJS,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:38,1,0,0,
46,2014-10-26,20-348,SJS,ANA,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,20,14:59,2,1,0,100.0
47,2014-10-28,20-350,SJS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,15:33,0,0,1,0.0
48,2014-10-30,20-352,SJS,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:29,1,0,1,0.0
49,2014-11-01,20-354,SJS,NYI,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,16,9:30,1,0,0,
50,2014-11-06,20-359,SJS,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,23,13:58,2,0,1,0.0
51,2014-11-08,20-361,SJS,DAL,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,10:34,1,0,0,
52,2014-11-09,20-362,SJS,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:25,1,0,0,
53,2014-11-11,20-364,SJS,FLA,L,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,18,13:38,1,0,0,
54,2014-11-13,21-001,SJS,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:06,2,0,0,
55,2014-11-15,21-003,SJS,CBJ,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,22,15:40,0,0,1,0.0
56,2014-11-16,21-004,SJS,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,22,16:34,0,0,0,
