,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-12-04,24-081,WSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:10,0,0,0,
1,2017-12-06,24-083,WSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:16,0,0,0,
2,2018-03-10,24-177,WSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:54,0,2,2,50.0
3,2018-03-16,24-183,WSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:51,0,4,4,50.0
4,2018-03-18,24-185,WSH,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,11:35,0,4,4,50.0
5,2018-03-20,24-187,WSH,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,8:54,2,3,2,60.0
6,2018-03-22,24-189,WSH,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,12,7:28,0,1,3,25.0
7,2018-04-05,24-203,WSH,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:28,0,4,3,57.1
8,2018-11-05,25-052,WSH,EDM,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,15,9:14,0,4,5,44.4
9,2018-11-07,25-054,WSH,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,7:31,0,1,2,33.3
10,2018-11-09,25-056,WSH,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,7:10,0,3,0,100.0
11,2018-11-11,25-058,WSH,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:10,0,3,0,100.0
12,2018-11-13,25-060,WSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:20,0,3,5,37.5
13,2018-11-16,25-063,WSH,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,16,11:44,1,2,7,22.2
14,2018-11-19,25-066,WSH,MTL,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,10:49,0,5,7,41.7
15,2018-11-21,25-068,WSH,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,18,10:04,0,6,3,66.7
16,2018-11-23,25-070,WSH,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:49,1,8,2,80.0
17,2018-11-24,25-071,WSH,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:26,0,1,4,20.0
18,2018-11-26,25-073,WSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:46,0,1,3,25.0
19,2018-12-06,25-083,WSH,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,16,11:31,1,3,1,75.0
20,2018-12-08,25-085,WSH,CBJ,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,17,13:34,0,2,3,40.0
21,2018-12-11,25-088,WSH,DET,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,15,12:01,0,1,3,25.0
22,2018-12-14,25-091,WSH,CAR,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,14,8:57,0,0,3,0.0
23,2018-12-15,25-092,WSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:30,0,0,0,
24,2018-12-19,25-096,WSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:42,0,0,0,
25,2018-12-22,25-099,WSH,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,10:37,1,0,0,
26,2018-12-27,25-104,WSH,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,11:38,1,4,5,44.4
27,2018-12-31,25-108,WSH,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,9:14,0,0,6,0.0
28,2019-01-04,25-112,WSH,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:55,0,1,4,20.0
29,2019-01-06,25-114,WSH,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,9:15,0,3,5,37.5
30,2019-01-08,25-116,WSH,PHI,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,16,10:56,0,2,11,15.4
31,2019-01-10,25-118,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:28,0,0,3,0.0
32,2019-01-12,25-120,WSH,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:41,0,2,0,100.0
33,2019-01-14,25-122,WSH,STL,L,0,1,1,0,0,0,0,0,0,0,1,0,0,,15,12:31,2,4,5,44.4
34,2019-01-15,25-123,WSH,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,12:51,1,0,0,
35,2019-01-20,25-128,WSH,CHI,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,11:02,0,3,10,23.1
36,2019-01-22,25-130,WSH,SJS,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,0,,16,10:22,0,2,3,40.0
37,2019-01-23,25-131,WSH,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:25,0,2,8,20.0
38,2019-02-03,25-142,WSH,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:41,0,2,6,25.0
39,2019-02-05,25-144,WSH,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:24,0,2,4,33.3
40,2019-02-07,25-146,WSH,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:37,0,3,3,50.0
41,2019-02-09,25-148,WSH,FLA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:10,0,0,1,0.0
42,2019-02-18,25-157,WSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:20,1,0,0,
43,2019-02-21,25-160,WSH,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:38,1,0,0,
44,2019-02-24,25-163,WSH,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,7:23,2,0,1,0.0
