,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2010-11-24,20-100,NYI,CBJ,L-OT,0,0,0,-1,2,0,0,0,0,,,,1,0.0,24,19:40,2,0,0,
1,2010-11-26,20-102,NYI,NJD,W,0,0,0,1,0,0,0,0,0,,,,0,,23,17:53,2,0,0,
2,2010-12-02,20-108,NYI,NYR,L,0,1,1,1,2,0,0,0,0,,,,2,0.0,26,19:04,5,0,0,
3,2010-12-03,20-109,NYI,NYR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,19:59,3,0,0,
4,2010-12-05,20-111,NYI,PHI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,21:40,0,0,0,
5,2010-12-09,20-115,NYI,BOS,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,27,19:36,2,0,0,
6,2010-12-11,20-117,NYI,ATL,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,27,21:07,0,,,
7,2010-12-13,20-119,NYI,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,27,22:04,1,0,0,
8,2010-12-16,20-122,NYI,ANA,W,0,0,0,1,0,0,0,0,0,,,,0,,30,23:38,4,0,0,
9,2010-12-18,20-124,NYI,PHX,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,31,24:34,2,0,0,
10,2010-12-22,20-128,NYI,TBL,W,0,0,0,1,2,0,0,0,0,,,,4,0.0,30,20:53,2,0,0,
11,2010-12-23,20-129,NYI,NJD,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,26,20:18,1,0,0,
12,2010-12-26,20-132,NYI,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,20:42,1,0,0,
13,2010-12-27,20-133,NYI,NYR,L,0,0,0,-3,2,0,0,0,0,,,,0,,24,19:55,2,0,0,
14,2010-12-29,20-135,NYI,PIT,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,29,25:08,3,0,0,
15,2010-12-31,20-137,NYI,DET,W,0,0,0,-2,0,0,0,0,0,,,,2,0.0,31,21:33,2,0,0,
16,2011-01-03,20-140,NYI,CGY,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,25,17:26,0,0,0,
17,2011-01-06,20-143,NYI,EDM,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,28,21:15,2,0,0,
18,2011-01-08,20-145,NYI,COL,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,30,23:57,0,0,0,
19,2011-01-09,20-146,NYI,CHI,L,0,0,0,-1,6,0,0,0,0,,,,0,,27,19:04,2,0,0,
20,2011-01-11,20-148,NYI,VAN,L-SO,0,0,0,-2,0,0,0,0,0,,,,1,0.0,28,22:57,2,0,0,
21,2011-01-13,20-150,NYI,OTT,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,22,18:27,1,0,0,
22,2011-01-15,20-152,NYI,BUF,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,27,20:40,1,0,0,
23,2011-01-17,20-154,NYI,NJD,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,28,21:12,2,0,0,
24,2011-01-20,20-157,NYI,WSH,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,20:48,1,0,0,
25,2011-01-21,20-158,NYI,BUF,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,26,22:41,1,0,0,
26,2011-01-23,20-160,NYI,BUF,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,20:03,2,0,0,
27,2011-01-25,20-162,NYI,PIT,L,0,0,0,0,5,0,0,0,0,,,,0,,25,20:28,2,0,0,
28,2011-01-26,20-163,NYI,CAR,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,27,21:58,0,0,0,
29,2011-02-01,20-169,NYI,ATL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,26,19:41,1,0,0,
30,2011-02-02,20-170,NYI,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,19:31,0,0,0,
31,2011-02-05,20-173,NYI,OTT,W,0,2,2,1,0,0,0,0,0,,,,3,0.0,23,22:10,6,0,0,
32,2011-02-08,20-176,NYI,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,27,21:06,3,0,0,
33,2011-02-10,20-178,NYI,MTL,W,0,0,0,-2,0,0,0,0,0,,,,2,0.0,33,27:54,6,0,0,
34,2011-02-11,20-179,NYI,PIT,W,1,2,3,2,17,1,0,0,0,,,,1,100.0,12,9:31,3,0,0,
35,2011-02-13,20-181,NYI,BUF,W,0,1,1,2,12,0,0,0,0,,,,3,0.0,24,18:28,0,0,0,
36,2011-02-15,20-183,NYI,OTT,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,31,26:40,2,0,0,
37,2011-02-17,20-185,NYI,BOS,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,25,19:32,0,0,0,
38,2011-02-19,20-187,NYI,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,25,22:13,2,0,0,
