,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-01-29,20-352,BOS,WPG,L-SO,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,13,8:29,2,4,3,57.1
1,2019-01-31,20-354,BOS,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:57,0,4,1,80.0
2,2019-02-03,20-357,BOS,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:19,1,6,1,85.7
3,2019-02-05,20-359,BOS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:31,2,2,4,33.3
4,2019-02-06,20-360,BOS,NYR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:31,1,2,2,50.0
5,2019-02-10,20-364,BOS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:31,2,1,3,25.0
6,2019-02-12,21-001,BOS,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,13,10:22,2,4,1,80.0
7,2019-02-15,21-004,BOS,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:46,2,3,3,50.0
8,2019-02-16,21-005,BOS,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:34,2,1,3,25.0
9,2019-02-18,21-007,BOS,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:01,0,1,1,50.0
10,2019-02-20,21-009,BOS,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,11:11,2,1,2,33.3
11,2019-03-12,21-029,BOS,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,6,4:34,0,0,2,0.0
12,2019-03-14,21-031,BOS,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:53,0,4,5,44.4
13,2019-04-04,21-052,BOS,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:05,2,5,6,45.5
14,2019-04-06,21-054,BOS,TBL,L,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,17,12:16,0,3,3,50.0
15,2019-11-15,21-277,BOS,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:35,6,0,0,
16,2019-11-16,21-278,BOS,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,4:16,2,0,0,
17,2021-01-14,22-338,BOS,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,10:44,0,0,0,
18,2021-01-16,22-340,BOS,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:11,1,0,0,
19,2021-01-18,22-342,BOS,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:30,2,0,0,
20,2021-01-21,22-345,BOS,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:56,1,0,0,
21,2021-01-23,22-347,BOS,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,20,14:31,2,1,4,20.0
22,2021-01-26,22-350,BOS,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:13,1,0,0,
23,2021-01-28,22-352,BOS,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:08,2,1,0,100.0
24,2021-01-30,22-354,BOS,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:20,2,1,1,50.0
25,2021-02-01,22-356,BOS,WSH,W,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,14,9:05,0,0,0,
26,2021-02-03,22-358,BOS,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:38,1,0,0,
27,2021-02-05,22-360,BOS,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:39,2,1,0,100.0
28,2021-02-10,22-365,BOS,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:45,0,0,0,
29,2021-02-12,23-001,BOS,NYR,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,11,7:29,1,0,0,
30,2021-02-13,23-002,BOS,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:56,3,0,0,
31,2021-02-18,23-007,BOS,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:49,1,1,1,50.0
32,2021-02-21,23-010,BOS,PHI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,14,12:20,2,0,0,
33,2021-02-25,23-014,BOS,NYI,L,0,0,0,-2,12,0,0,0,0,0,0,0,3,0.0,15,10:23,2,0,0,
34,2021-02-26,23-015,BOS,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,13:26,3,4,2,66.7
35,2021-02-28,23-017,BOS,NYR,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,18,14:30,3,2,2,50.0
36,2021-03-03,23-020,BOS,WSH,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,12:13,4,2,2,50.0
37,2021-03-05,23-022,BOS,WSH,W,1,0,1,1,17,1,0,0,1,0,0,0,1,100.0,15,10:41,2,0,2,0.0
38,2021-03-07,23-024,BOS,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,14:24,1,2,0,100.0
39,2021-03-09,23-026,BOS,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:28,0,2,1,66.7
40,2021-03-11,23-028,BOS,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:31,0,1,0,100.0
41,2021-03-13,23-030,BOS,NYR,L,0,0,0,-2,10,0,0,0,0,0,0,0,2,0.0,17,11:53,1,1,2,33.3
42,2021-03-15,23-032,BOS,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,9:48,0,1,0,100.0
43,2021-03-16,23-033,BOS,PIT,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,14,9:06,3,0,0,
44,2021-03-18,23-035,BOS,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,6,5:28,0,0,1,0.0
45,2021-03-25,23-042,BOS,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:47,1,0,2,0.0
46,2021-03-27,23-044,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,17:30,1,1,0,100.0
47,2021-03-28,23-045,BOS,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:59,3,0,1,0.0
48,2021-03-30,23-047,BOS,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,15,8:40,1,3,1,75.0
49,2021-04-01,23-049,BOS,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:03,2,6,5,54.5
50,2021-04-03,23-051,BOS,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:19,2,1,3,25.0
51,2021-04-05,23-053,BOS,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:16,0,0,0,
52,2021-04-06,23-054,BOS,PHI,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,10:05,0,0,0,
53,2021-04-27,23-075,BOS,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:47,5,0,0,
54,2021-04-29,23-077,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:54,1,0,0,
55,2021-05-04,23-082,BOS,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:10,1,0,1,0.0
56,2021-05-06,23-084,BOS,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:10,0,2,0,100.0
57,2021-05-08,23-086,BOS,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,9:41,1,2,1,66.7
58,2021-05-11,23-089,BOS,WSH,L,0,0,0,-1,10,0,0,0,0,0,0,0,1,0.0,13,10:17,3,2,1,66.7
59,2021-10-16,23-247,BOS,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:23,1,0,0,
60,2021-10-20,23-251,BOS,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,13,10:09,8,0,0,
61,2021-10-22,23-253,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:24,1,2,2,50.0
62,2021-10-24,23-255,BOS,SJS,W,0,0,0,-2,5,0,0,0,0,0,0,0,2,0.0,13,10:23,2,2,0,100.0
63,2021-10-27,23-258,BOS,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:02,2,0,0,
64,2021-10-28,23-259,BOS,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:33,3,0,0,
65,2021-10-30,23-261,BOS,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:25,1,0,0,
66,2021-11-04,23-266,BOS,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:58,1,0,1,0.0
67,2021-11-06,23-268,BOS,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,11:45,2,0,1,0.0
68,2021-11-09,23-271,BOS,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:07,2,0,0,
69,2021-11-28,23-290,BOS,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:50,3,1,6,14.3
70,2021-11-30,23-292,BOS,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:43,2,5,4,55.6
71,2021-12-02,23-294,BOS,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,7:13,1,1,2,33.3
72,2021-12-04,23-296,BOS,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:09,4,4,6,40.0
73,2021-12-08,23-300,BOS,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:18,2,3,5,37.5
74,2021-12-09,23-301,BOS,EDM,W,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,12,8:55,0,5,1,83.3
75,2021-12-11,23-303,BOS,CGY,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,13,9:06,2,1,3,25.0
76,2021-12-14,23-306,BOS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:38,1,3,5,37.5
77,2022-01-01,23-324,BOS,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:08,0,0,0,
78,2022-01-02,23-325,BOS,DET,W,1,0,1,2,2,1,0,0,0,0,0,0,3,33.3,17,12:21,1,1,0,100.0
79,2022-01-04,23-327,BOS,NJD,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,19,12:01,2,0,3,0.0
80,2022-01-06,23-329,BOS,MIN,L,0,0,0,0,16,0,0,0,0,0,0,0,0,,13,7:02,2,0,1,0.0
81,2022-01-08,23-331,BOS,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:27,3,2,4,33.3
82,2022-01-10,23-333,BOS,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:57,1,0,0,
83,2022-02-10,23-364,BOS,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,18,11:55,6,0,0,
84,2022-02-12,24-001,BOS,OTT,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,17,13:25,1,0,0,
85,2022-02-15,24-004,BOS,NYR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,12:10,0,2,3,40.0
86,2022-02-17,24-006,BOS,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:16,0,0,0,
87,2022-02-19,24-008,BOS,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,12:59,1,0,1,0.0
88,2022-02-21,24-010,BOS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,13:42,2,2,1,66.7
89,2022-02-24,24-013,BOS,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:09,2,0,0,
90,2022-02-26,24-015,BOS,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:29,1,0,0,
91,2022-02-28,24-017,BOS,LAK,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,19,15:05,3,0,0,
92,2022-03-01,24-018,BOS,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:44,1,0,0,
93,2022-03-03,24-020,BOS,VEG,W,0,3,3,3,0,0,0,0,0,3,0,0,3,0.0,21,15:09,4,0,1,0.0
94,2022-03-05,24-022,BOS,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:59,0,0,0,
95,2022-03-07,24-024,BOS,LAK,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,20,13:41,3,0,0,
96,2022-03-10,24-027,BOS,CHI,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,18,14:07,2,0,0,
