,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,23-077,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,11:43,0,0,0,
1,2014-10-11,23-079,CHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:01,0,0,0,
2,2014-10-15,23-083,CHI,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:43,0,0,0,
3,2014-10-18,23-086,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:43,0,0,0,
4,2014-10-21,23-089,CHI,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,16:45,0,0,0,
5,2014-10-23,23-091,CHI,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,13:27,0,0,0,
6,2014-10-25,23-093,CHI,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,12:28,1,0,0,
7,2014-10-26,23-094,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,7:16,0,0,0,
8,2014-10-28,23-096,CHI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:32,0,0,0,
9,2014-10-30,23-098,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:44,1,0,0,
10,2014-11-01,23-100,CHI,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,19:21,1,0,0,
11,2014-11-02,23-101,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:38,0,0,0,
12,2014-11-04,23-103,CHI,MTL,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,19,13:23,1,0,0,
13,2014-11-07,23-106,CHI,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:49,0,0,0,
14,2014-11-09,23-108,CHI,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,21,16:46,0,0,0,
15,2014-11-11,23-110,CHI,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:57,0,0,0,
