,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-22,20-185,DAL,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,15:32,2,4,5,44.4
1,2021-01-24,20-187,DAL,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:16,1,5,2,71.4
2,2021-01-26,20-189,DAL,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,28,18:54,2,6,6,50.0
3,2021-01-28,20-191,DAL,DET,W,1,1,2,1,2,0,1,0,0,1,0,0,1,100.0,23,12:29,1,6,3,66.7
4,2021-01-30,20-193,DAL,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,16:21,3,3,7,30.0
5,2021-01-31,20-194,DAL,CAR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:31,1,3,4,42.9
6,2021-02-07,20-201,DAL,CHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,19,14:12,0,1,0,100.0
7,2021-02-09,20-203,DAL,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:23,3,0,0,
8,2021-02-11,20-205,DAL,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,8:43,1,2,5,28.6
9,2021-02-13,20-207,DAL,CAR,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,18,12:15,1,1,1,50.0
10,2021-02-22,20-216,DAL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:34,0,1,3,25.0
11,2021-03-06,20-228,DAL,CBJ,W,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,21,12:20,2,1,1,50.0
12,2021-03-07,20-229,DAL,NSH,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,10:39,1,0,3,0.0
13,2021-03-09,20-231,DAL,CHI,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,20,14:46,1,5,3,62.5
14,2021-03-11,20-233,DAL,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:04,3,1,1,50.0
15,2021-03-18,20-240,DAL,DET,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,10:56,1,0,1,0.0
