,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-12,22-165,SEA,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,12,8:44,2,0,0,
1,2023-10-14,22-167,SEA,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,7:41,0,0,0,
2,2023-10-17,22-170,SEA,COL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,12:23,1,0,0,
3,2023-10-19,22-172,SEA,CAR,W,1,0,1,1,7,1,0,0,0,0,0,0,4,25.0,17,10:28,2,0,0,
4,2023-10-21,22-174,SEA,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:34,4,0,0,
5,2023-10-24,22-177,SEA,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,20,13:47,4,0,0,
6,2023-10-26,22-179,SEA,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,16:21,1,0,0,
7,2023-10-28,22-181,SEA,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,22,17:28,1,0,0,
8,2023-10-30,22-183,SEA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:40,3,0,0,
9,2023-11-02,22-186,SEA,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,16,10:54,2,0,0,
10,2023-11-04,22-188,SEA,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,14:39,2,0,1,0.0
11,2023-11-07,22-191,SEA,ARI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:35,3,0,0,
12,2023-11-09,22-193,SEA,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,13:13,3,0,0,
13,2023-11-11,22-195,SEA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:10,3,0,0,
14,2023-11-13,22-197,SEA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:12,3,0,1,0.0
15,2023-11-15,22-199,SEA,EDM,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,0,,13,9:17,3,0,0,
16,2023-11-16,22-200,SEA,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:30,3,0,0,
17,2023-11-18,22-202,SEA,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,8:20,1,1,0,100.0
18,2023-11-20,22-204,SEA,CGY,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:23,6,0,0,
19,2023-11-22,22-206,SEA,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:51,5,0,0,
20,2023-11-24,22-208,SEA,VAN,L,1,0,1,1,12,1,0,0,0,0,0,0,3,33.3,19,13:30,5,0,0,
21,2023-11-28,22-212,SEA,CHI,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,14:11,1,0,0,
22,2023-11-30,22-214,SEA,TOR,L-SO,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,14,12:32,1,0,0,
23,2023-12-02,22-216,SEA,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:15,4,0,0,
24,2023-12-04,22-218,SEA,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:56,7,0,1,0.0
25,2023-12-07,22-221,SEA,NJD,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,20,14:12,3,0,0,
26,2023-12-09,22-223,SEA,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,14:40,1,0,0,
27,2023-12-10,22-224,SEA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,15:04,1,0,0,
28,2023-12-12,22-226,SEA,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,18:43,4,0,0,
29,2023-12-14,22-228,SEA,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,16,14:36,1,0,0,
30,2023-12-16,22-230,SEA,LAK,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:10,3,0,0,
31,2023-12-18,22-232,SEA,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:48,1,0,0,
32,2023-12-20,22-234,SEA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:15,2,0,0,
33,2023-12-23,22-237,SEA,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:30,2,0,0,
34,2023-12-27,22-241,SEA,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,10:08,4,0,0,
35,2023-12-29,22-243,SEA,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:14,0,2,0,100.0
36,2024-01-01,22-246,SEA,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:07,2,2,3,40.0
37,2024-01-04,22-249,SEA,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:05,1,2,0,100.0
38,2024-01-09,22-254,SEA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,12:51,4,3,4,42.9
39,2024-01-11,22-256,SEA,WSH,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,18,12:37,1,1,1,50.0
40,2024-01-13,22-258,SEA,CBJ,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,16,10:58,5,0,1,0.0
41,2024-01-15,22-260,SEA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:01,4,1,0,100.0
42,2024-01-16,22-261,SEA,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,11:21,5,1,2,33.3
43,2024-01-18,22-263,SEA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,9:37,3,1,0,100.0
44,2024-01-21,22-266,SEA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:26,4,4,7,36.4
45,2024-01-24,22-269,SEA,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,17,11:57,0,2,2,50.0
46,2024-01-26,22-271,SEA,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:17,2,1,0,100.0
47,2024-01-28,22-273,SEA,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,13:12,0,0,1,0.0
48,2024-01-30,22-275,SEA,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:08,3,0,0,
49,2024-02-13,22-289,SEA,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:51,1,2,5,28.6
50,2024-02-15,22-291,SEA,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,9:33,6,3,1,75.0
51,2024-02-22,22-298,SEA,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:26,1,2,5,28.6
52,2024-02-24,22-300,SEA,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:04,3,3,4,42.9
53,2024-02-29,22-305,SEA,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:55,2,0,0,
54,2024-03-02,22-307,SEA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:34,2,0,0,
55,2024-03-04,22-309,SEA,CGY,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,14,7:03,2,1,1,50.0
56,2024-03-05,22-310,SEA,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,10:27,2,0,0,
57,2024-03-08,22-313,SEA,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:36,3,0,0,
58,2024-03-12,22-317,SEA,VEG,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,11:22,3,0,0,
59,2024-03-14,22-319,SEA,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:11,1,0,0,
60,2024-03-16,22-321,SEA,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:23,5,0,0,
61,2024-03-18,22-323,SEA,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,10:58,7,0,0,
62,2024-03-21,22-326,SEA,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,13:17,4,1,1,50.0
63,2024-03-22,22-327,SEA,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,10:14,1,1,0,100.0
64,2024-03-24,22-329,SEA,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:28,6,0,1,0.0
65,2024-03-26,22-331,SEA,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:18,5,2,0,100.0
66,2024-03-28,22-333,SEA,ANA,W,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,20,12:38,3,1,1,50.0
67,2024-03-30,22-335,SEA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:38,6,1,0,100.0
68,2024-04-01,22-337,SEA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:12,4,0,0,
