,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-11-08,21-258,DET,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,9:57,2,0,0,
1,2016-11-10,21-260,DET,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,7:44,1,0,0,
2,2016-11-12,21-262,DET,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:12,2,1,0,100.0
3,2016-11-18,21-268,DET,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:58,1,0,0,
4,2016-11-23,21-273,DET,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:31,1,0,0,
5,2016-11-25,21-275,DET,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:28,4,0,0,
6,2016-11-26,21-276,DET,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,7:55,1,0,1,0.0
7,2017-12-09,22-288,DET,STL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,13,9:13,0,0,0,
8,2017-12-23,22-302,DET,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,17:58,2,0,0,
9,2017-12-27,22-306,DET,NJD,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,12:23,1,0,0,
10,2017-12-29,22-308,DET,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,14:52,1,0,0,
11,2017-12-31,22-310,DET,PIT,W,0,2,2,2,4,0,0,0,0,2,0,0,3,0.0,23,16:40,3,0,2,0.0
12,2018-01-03,22-313,DET,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:15,0,0,0,
13,2018-01-05,22-315,DET,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:35,2,0,0,
14,2018-01-07,22-317,DET,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,25,18:06,2,0,0,
15,2018-01-13,22-323,DET,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:53,1,0,0,
16,2018-01-14,22-324,DET,CHI,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,21,16:09,2,0,0,
17,2018-01-16,22-326,DET,DAL,L,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,20,17:33,4,0,0,
18,2018-01-20,22-330,DET,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,18:45,2,0,0,
19,2018-01-22,22-332,DET,NJD,W,1,0,1,2,0,1,0,0,1,0,0,0,4,25.0,22,16:28,0,0,1,0.0
20,2018-01-23,22-333,DET,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,17:05,1,0,0,
21,2018-01-25,22-335,DET,CHI,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,18,15:32,0,0,0,
22,2018-01-31,22-341,DET,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:42,0,0,0,
23,2018-02-02,22-343,DET,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:35,1,0,0,
24,2018-02-03,22-344,DET,FLA,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,18,12:28,1,0,0,
25,2018-02-06,22-347,DET,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,11,7:54,1,0,0,
26,2018-02-09,22-350,DET,NYI,L-OT,0,1,1,-1,10,0,0,0,0,1,0,0,0,,10,6:58,0,1,0,100.0
27,2018-02-13,22-354,DET,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,7:45,2,0,1,0.0
28,2018-02-15,22-356,DET,TBL,L,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,23,16:59,1,0,0,
29,2018-02-17,22-358,DET,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,8:19,0,0,0,
30,2018-02-18,22-359,DET,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:44,0,0,0,
31,2018-02-20,22-361,DET,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,10,7:51,0,0,1,0.0
32,2018-02-22,22-363,DET,BUF,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:35,1,0,1,0.0
33,2018-02-24,23-000,DET,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,6:48,1,0,0,
34,2018-02-25,23-001,DET,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:43,1,0,0,
35,2018-02-28,23-004,DET,STL,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,14:36,0,0,0,
36,2018-03-02,23-006,DET,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,14:07,0,0,0,
37,2018-03-04,23-008,DET,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:11,2,0,1,0.0
38,2018-03-06,23-010,DET,BOS,L-OT,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,23,16:50,3,0,0,
39,2018-03-08,23-012,DET,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:25,2,0,0,
40,2018-03-09,23-013,DET,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,18:51,0,0,0,
41,2018-03-12,23-016,DET,SJS,L,0,3,3,1,0,0,0,0,0,3,0,0,2,0.0,21,19:27,1,0,0,
42,2018-03-15,23-019,DET,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,19,15:40,1,0,0,
43,2018-03-16,23-020,DET,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,18:48,1,0,0,
44,2018-03-18,23-022,DET,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,14:01,0,0,0,
