,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-03-14,22-228,TBL,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:39,0,2,4,33.3
1,2013-03-16,22-230,TBL,CAR,W,1,1,2,2,0,1,0,0,0,,,,2,50.0,16,8:56,2,6,0,100.0
2,2013-03-18,22-232,TBL,PHI,W,0,1,1,2,0,0,0,0,0,,,,0,,18,12:12,2,8,0,100.0
3,2013-03-20,22-234,TBL,TOR,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,15:26,3,4,5,44.4
4,2013-03-23,22-237,TBL,OTT,L,2,0,2,1,0,2,0,0,0,,,,3,66.7,21,16:10,2,7,3,70.0
5,2013-03-24,22-238,TBL,WPG,L,0,0,0,0,2,0,0,0,0,,,,0,,19,14:47,1,7,8,46.7
6,2013-03-26,22-240,TBL,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,24,14:50,0,8,4,66.7
7,2013-03-29,22-243,TBL,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,14:26,0,6,3,66.7
8,2013-04-02,22-247,TBL,FLA,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,16:53,1,7,5,58.3
9,2013-04-04,22-249,TBL,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,17,10:42,3,4,6,40.0
10,2013-04-06,22-251,TBL,NYI,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,11:28,2,2,2,50.0
11,2013-04-07,22-252,TBL,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:15,1,7,5,58.3
12,2013-04-09,22-254,TBL,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,11:49,0,3,1,75.0
13,2013-04-11,22-256,TBL,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,12:29,1,1,3,25.0
14,2013-10-03,23-066,TBL,BOS,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,21,15:46,0,11,7,61.1
15,2013-10-05,23-068,TBL,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,25,15:03,0,7,3,70.0
16,2013-10-08,23-071,TBL,BUF,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,21,14:29,0,8,5,61.5
17,2013-10-10,23-073,TBL,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,13:59,2,5,3,62.5
18,2013-10-12,23-075,TBL,PIT,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,24,14:04,1,8,10,44.4
19,2013-10-15,23-078,TBL,LAK,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,21,14:07,1,7,4,63.6
20,2013-10-17,23-080,TBL,MIN,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,21,17:34,0,9,4,69.2
21,2013-10-19,23-082,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,25,19:17,1,5,9,35.7
22,2013-10-24,23-087,TBL,CHI,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,16:59,1,10,7,58.8
23,2013-10-26,23-089,TBL,BUF,W,1,1,2,0,0,0,1,0,0,,,,3,33.3,22,21:09,1,6,5,54.5
24,2013-10-27,23-090,TBL,FLA,W,0,0,0,-2,0,0,0,0,0,,,,0,,25,18:07,2,7,6,53.8
25,2013-10-29,23-092,TBL,NJD,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,23,16:30,0,7,10,41.2
26,2013-11-01,23-095,TBL,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,15:26,0,3,7,30.0
27,2013-11-02,23-096,TBL,STL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,14:20,1,3,4,42.9
28,2013-11-07,23-101,TBL,EDM,W,1,0,1,0,0,1,0,0,1,,,,2,50.0,22,17:43,1,5,6,45.5
29,2013-11-09,23-103,TBL,DET,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,23,18:06,0,4,6,40.0
30,2013-11-11,23-105,TBL,BOS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,20:12,2,6,8,42.9
31,2013-11-12,23-106,TBL,MTL,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,29,20:46,1,8,8,50.0
32,2013-11-14,23-108,TBL,ANA,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,19,14:12,0,10,7,58.8
33,2013-11-16,23-110,TBL,PHX,L,0,1,1,1,0,0,0,0,0,,,,0,,22,16:38,1,7,11,38.9
34,2013-11-19,23-113,TBL,LAK,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,24,17:56,0,7,11,38.9
35,2013-11-21,23-115,TBL,SJS,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,22,16:54,2,4,8,33.3
36,2013-11-22,23-116,TBL,ANA,L-OT,0,0,0,0,2,0,0,0,0,,,,3,0.0,24,19:42,0,9,12,42.9
37,2013-11-25,23-119,TBL,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,18:38,0,9,3,75.0
38,2013-11-27,23-121,TBL,PHI,W,1,1,2,3,0,1,0,0,0,,,,3,33.3,24,18:28,1,8,6,57.1
39,2013-11-29,23-123,TBL,PIT,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,23,18:58,0,8,5,61.5
40,2013-12-03,23-127,TBL,CBJ,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:19,1,8,7,53.3
41,2013-12-05,23-129,TBL,OTT,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,27,19:46,0,7,12,36.8
42,2013-12-07,23-131,TBL,WPG,L-OT,0,0,0,-1,0,0,0,0,0,,,,2,0.0,24,19:05,2,7,11,38.9
43,2013-12-10,23-134,TBL,WSH,L-SO,1,2,3,2,0,1,0,0,0,,,,3,33.3,28,20:50,0,8,11,42.1
44,2013-12-12,23-136,TBL,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,29,23:33,2,11,13,45.8
45,2013-12-14,23-138,TBL,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,19:33,0,5,11,31.3
46,2013-12-15,23-139,TBL,DET,W,1,0,1,1,4,1,0,0,1,,,,3,33.3,24,19:36,0,3,10,23.1
47,2013-12-17,23-141,TBL,NYI,W,0,0,0,0,2,0,0,0,0,,,,5,0.0,30,20:39,2,8,10,44.4
48,2013-12-19,23-143,TBL,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,20:40,0,8,10,44.4
49,2013-12-21,23-145,TBL,CAR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,19:08,0,4,9,30.8
50,2013-12-23,23-147,TBL,FLA,W,1,0,1,2,0,1,0,0,1,,,,3,33.3,23,18:16,0,7,6,53.8
51,2013-12-28,23-152,TBL,MTL,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,29,20:51,0,10,9,52.6
52,2013-12-29,23-153,TBL,NYR,L,1,0,1,1,0,0,1,0,0,,,,4,25.0,25,20:43,0,9,8,52.9
53,2014-01-01,23-156,TBL,VAN,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,25,20:14,1,4,13,23.5
54,2014-01-03,23-158,TBL,CGY,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,25,20:26,0,6,11,35.3
55,2014-01-05,23-160,TBL,EDM,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,26,21:04,3,7,12,36.8
56,2014-01-07,23-162,TBL,WPG,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,30,23:51,0,19,14,57.6
57,2014-01-09,23-164,TBL,WSH,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,23,16:29,0,7,6,53.8
58,2014-01-11,23-166,TBL,PHI,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,26,21:36,0,11,7,61.1
59,2014-01-13,23-168,TBL,CBJ,L,0,1,1,1,2,0,0,0,0,,,,0,,22,17:57,1,7,9,43.8
60,2014-01-14,23-169,TBL,NYR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,24,20:06,1,7,13,35.0
61,2014-01-16,23-171,TBL,NYI,L-SO,0,1,1,0,0,0,0,0,0,,,,2,0.0,28,21:28,0,6,10,37.5
62,2014-01-18,23-173,TBL,SJS,L,0,2,2,1,0,0,0,0,0,,,,2,0.0,25,19:35,0,14,15,48.3
63,2014-01-19,23-174,TBL,CAR,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,25,20:09,0,12,13,48.0
64,2014-01-23,23-178,TBL,OTT,W,1,0,1,2,0,0,0,1,0,,,,6,16.7,30,21:55,1,12,10,54.5
65,2014-01-25,23-180,TBL,COL,W,3,0,3,3,2,3,0,0,0,,,,3,100.0,25,21:32,0,6,9,40.0
66,2014-01-28,23-183,TBL,TOR,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,25,25:24,3,9,10,47.4
67,2014-01-30,23-185,TBL,OTT,L,1,0,1,0,0,0,0,1,0,,,,3,33.3,25,21:14,1,5,11,31.3
68,2014-02-01,23-187,TBL,MTL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,29,24:18,2,14,12,53.8
69,2014-02-04,23-190,TBL,MIN,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,24,21:33,0,14,6,70.0
70,2014-02-06,23-192,TBL,TOR,L,0,1,1,0,0,0,0,0,0,,,,0,,23,19:05,0,14,6,70.0
71,2014-02-08,23-194,TBL,DET,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,25,19:38,0,7,16,30.4
72,2014-02-27,23-213,TBL,NSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,28,21:53,0,8,12,40.0
73,2014-03-01,23-215,TBL,DAL,W,0,0,0,1,0,0,0,0,0,,,,0,,25,19:39,2,11,9,55.0
74,2014-03-02,23-216,TBL,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,25,19:29,1,7,11,38.9
75,2014-03-04,23-218,TBL,STL,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,24,20:34,0,7,10,41.2
76,2014-03-06,23-220,TBL,BUF,L,1,0,1,1,0,0,0,1,0,,,,3,33.3,21,15:41,2,8,4,66.7
