,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2009-10-03,19-244,BUF,MTL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,16:13,3,0,0,
1,2009-10-08,19-249,BUF,PHX,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,19:49,1,0,0,
2,2009-10-10,19-251,BUF,NSH,W,0,0,0,0,0,0,0,0,0,,,,0,,28,24:56,2,0,0,
3,2009-10-13,19-254,BUF,DET,W,0,1,1,3,0,0,0,0,0,,,,1,0.0,28,22:08,1,0,0,
4,2009-10-16,19-257,BUF,NYI,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,24,18:28,0,0,0,
5,2009-10-17,19-258,BUF,ATL,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,17:04,1,0,0,
6,2009-10-21,19-262,BUF,FLA,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,31,20:44,0,0,0,
7,2009-10-24,19-265,BUF,TBL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,30,21:42,0,0,0,
8,2009-10-28,19-269,BUF,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,29,22:03,2,0,0,
9,2009-10-30,19-271,BUF,TOR,W,0,0,0,1,4,0,0,0,0,,,,1,0.0,29,22:36,1,0,0,
10,2009-10-31,19-272,BUF,NYI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,27,22:25,0,0,0,
11,2009-11-04,19-276,BUF,NYI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,26,21:13,0,0,0,
12,2009-11-06,19-278,BUF,PHI,L,1,0,1,-3,2,0,1,0,0,,,,1,100.0,30,21:10,1,0,0,
13,2009-11-07,19-279,BUF,BOS,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,29,22:02,0,0,0,
14,2009-11-11,19-283,BUF,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,26,22:20,0,0,0,
15,2009-11-13,19-285,BUF,CGY,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,32,25:55,1,0,0,
16,2009-11-14,19-286,BUF,PHI,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,27,21:31,1,0,0,
17,2009-11-18,19-290,BUF,FLA,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,27,21:38,2,0,0,
18,2009-11-20,19-292,BUF,BOS,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,25:10,2,0,0,
19,2009-11-21,19-293,BUF,OTT,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,30,26:03,2,0,0,
20,2009-11-25,19-297,BUF,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,25,20:30,3,0,0,
21,2009-11-27,19-299,BUF,PHI,W,0,1,1,0,0,0,0,0,0,,,,0,,32,24:26,1,0,0,
22,2009-11-28,19-300,BUF,CAR,W,0,3,3,0,0,0,0,0,0,,,,1,0.0,23,20:50,0,0,0,
23,2009-11-30,19-302,BUF,TOR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,24:13,2,0,0,
24,2009-12-03,19-305,BUF,MTL,W,0,1,1,3,0,0,0,0,0,,,,1,0.0,28,23:06,0,0,0,
25,2009-12-05,19-307,BUF,NYR,L,0,1,1,0,0,0,0,0,0,,,,0,,26,23:49,0,0,0,
26,2009-12-07,19-309,BUF,NJD,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,25:04,1,0,0,
27,2009-12-09,19-311,BUF,WSH,W,0,0,0,1,0,0,0,0,0,,,,0,,25,25:47,0,0,0,
28,2009-12-11,19-313,BUF,CHI,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,28,24:23,0,0,0,
29,2009-12-12,19-314,BUF,NYR,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,29,24:39,2,0,0,
30,2009-12-14,19-316,BUF,MTL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,29,28:07,0,0,0,
31,2009-12-16,19-318,BUF,OTT,L,0,0,0,-1,0,0,0,0,0,,,,0,,27,28:32,0,0,0,
32,2009-12-18,19-320,BUF,TOR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,25,22:24,1,0,0,
33,2009-12-19,19-321,BUF,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,30,25:24,4,0,0,
34,2009-12-21,19-323,BUF,TOR,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,26,22:58,1,0,0,
35,2009-12-23,19-325,BUF,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,20:59,4,0,0,
36,2009-12-26,19-328,BUF,OTT,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,31,27:00,1,0,0,
37,2009-12-27,19-329,BUF,STL,W,0,1,1,2,0,0,0,0,0,,,,0,,29,25:49,2,0,0,
