,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-22,21-355,EDM,MTL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,11:58,3,1,0,100.0
1,2013-10-24,21-357,EDM,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,17,11:51,2,0,1,0.0
2,2013-10-26,21-359,EDM,PHX,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,10,6:08,3,0,1,0.0
3,2014-03-20,22-139,EDM,BUF,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,10:05,3,0,0,
4,2014-03-22,22-141,EDM,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:26,4,0,0,
5,2014-03-25,22-144,EDM,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:06,3,0,0,
6,2014-03-28,22-147,EDM,ANA,W,0,0,0,0,0,0,0,0,0,,,,0,,12,7:53,1,0,0,
7,2014-03-30,22-149,EDM,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,9,6:38,2,0,0,
8,2014-04-10,22-160,EDM,LAK,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,9,5:23,3,0,0,
9,2014-04-12,22-162,EDM,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,8:15,2,0,0,
10,2014-12-01,23-030,EDM,ARI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,9:57,3,0,0,
11,2014-12-03,23-032,EDM,WPG,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,18:07,6,0,0,
12,2014-12-07,23-036,EDM,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,14:55,4,0,0,
13,2014-12-09,23-038,EDM,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:14,3,0,0,
14,2014-12-10,23-039,EDM,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:14,3,0,0,
15,2014-12-12,23-041,EDM,ANA,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,18,12:38,3,3,4,42.9
16,2014-12-14,23-043,EDM,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:58,3,2,0,100.0
17,2014-12-16,23-045,EDM,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:27,7,0,0,
18,2014-12-18,23-047,EDM,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:47,2,0,0,
19,2014-12-21,23-050,EDM,DAL,L-SO,0,0,0,-2,2,0,0,0,0,0,0,0,0,,18,11:29,6,0,0,
20,2014-12-23,23-052,EDM,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:01,3,0,0,
21,2014-12-27,23-056,EDM,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,10:37,1,0,0,
22,2014-12-30,23-059,EDM,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:17,3,0,0,
23,2014-12-31,23-060,EDM,CGY,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,9:27,2,0,0,
24,2015-04-07,23-157,EDM,LAK,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,18,12:27,3,0,0,
25,2015-04-09,23-159,EDM,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:09,2,0,0,
26,2015-04-11,23-161,EDM,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:48,1,0,0,
27,2016-10-12,24-346,EDM,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,9:44,3,0,0,
28,2016-10-14,24-348,EDM,CGY,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,8:26,0,,,
29,2016-10-16,24-350,EDM,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,8:08,2,0,0,
30,2016-10-18,24-352,EDM,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,11,8:24,2,0,0,
31,2016-10-20,24-354,EDM,STL,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,13,6:47,2,0,0,
32,2016-10-23,24-357,EDM,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:49,2,0,0,
33,2016-10-26,24-360,EDM,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:06,5,1,0,100.0
34,2016-10-28,24-362,EDM,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:11,2,0,0,
35,2016-10-30,24-364,EDM,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:40,4,0,0,
36,2016-11-01,25-000,EDM,TOR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,9:18,3,0,0,
37,2016-11-03,25-002,EDM,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,10:02,1,0,0,
38,2016-11-05,25-004,EDM,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,14:30,1,0,0,
39,2016-11-06,25-005,EDM,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,19,15:11,3,0,0,
40,2016-11-08,25-007,EDM,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,12:09,3,0,0,
41,2016-11-11,25-010,EDM,DAL,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,21,13:59,6,0,0,
42,2016-11-13,25-012,EDM,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,15:47,2,1,1,50.0
43,2016-11-15,25-014,EDM,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,7:42,0,0,0,
44,2016-11-17,25-016,EDM,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:23,1,0,0,
45,2016-11-19,25-018,EDM,DAL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,7:58,1,0,0,
46,2016-11-21,25-020,EDM,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:03,2,1,1,50.0
47,2016-11-23,25-022,EDM,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,9:07,3,0,0,
