,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2010-10-09,18-251,BOS,PHX,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,17,14:56,0,7,7,50.0
1,2010-10-10,18-252,BOS,PHX,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,16,12:49,0,4,10,28.6
2,2010-10-16,18-258,BOS,NJD,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,16,13:17,1,1,4,20.0
3,2010-10-19,18-261,BOS,WSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,14:33,0,9,4,69.2
4,2010-10-21,18-263,BOS,WSH,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,17,11:15,1,5,4,55.6
5,2010-10-23,18-265,BOS,NYR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,13:43,0,4,3,57.1
6,2010-10-28,18-270,BOS,TOR,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,17,11:41,0,3,2,60.0
7,2010-10-30,18-272,BOS,OTT,W,1,0,1,0,0,0,1,0,0,,,,1,100.0,17,12:52,0,6,3,66.7
8,2010-11-03,18-276,BOS,BUF,W,0,0,0,2,2,0,0,0,0,,,,2,0.0,16,17:22,1,3,6,33.3
9,2010-11-05,18-278,BOS,WSH,L,0,0,0,0,2,0,0,0,0,,,,0,,20,12:21,0,4,7,36.4
10,2010-11-06,18-279,BOS,STL,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,15,9:49,1,4,4,50.0
11,2010-11-10,18-283,BOS,PIT,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,15,12:32,0,5,6,45.5
12,2010-11-11,18-284,BOS,MTL,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,16,13:18,0,4,4,50.0
13,2010-11-13,18-286,BOS,OTT,L,0,0,0,-2,0,0,0,0,0,,,,0,,13,12:02,1,1,3,25.0
14,2010-11-15,18-288,BOS,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,12:53,1,3,0,100.0
15,2010-11-17,18-290,BOS,NYR,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,16,11:15,0,3,1,75.0
16,2010-11-18,18-291,BOS,FLA,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,11:36,0,3,3,50.0
17,2010-11-20,18-293,BOS,LAK,L-SO,0,1,1,0,0,0,0,0,0,,,,0,,15,10:40,0,2,0,100.0
18,2010-11-22,18-295,BOS,TBL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,16,13:55,0,0,0,
19,2010-11-24,18-297,BOS,FLA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,13:24,0,0,0,
20,2010-11-26,18-299,BOS,CAR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,11:43,0,5,3,62.5
21,2010-11-28,18-301,BOS,ATL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,15,14:05,0,3,8,27.3
22,2010-12-01,18-304,BOS,PHI,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,15,9:28,0,3,4,42.9
23,2010-12-02,18-305,BOS,TBL,W,0,0,0,1,0,0,0,0,0,,,,0,,16,13:17,0,2,1,66.7
24,2010-12-04,18-307,BOS,TOR,L-SO,0,1,1,1,0,0,0,0,0,,,,2,0.0,17,11:32,0,0,0,
25,2010-12-07,18-310,BOS,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,15,13:15,0,0,1,0.0
26,2010-12-09,18-312,BOS,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,9:59,0,0,2,0.0
27,2010-12-16,18-319,BOS,MTL,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,15,10:42,1,2,1,66.7
28,2010-12-18,18-321,BOS,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,12:01,1,2,1,66.7
29,2010-12-20,18-323,BOS,ANA,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,16,14:56,0,0,1,0.0
30,2010-12-23,18-326,BOS,ATL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,13:19,0,0,0,
31,2010-12-27,18-330,BOS,FLA,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,17,15:10,1,0,0,
32,2010-12-28,18-331,BOS,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,15,10:28,0,0,0,
33,2010-12-30,18-333,BOS,ATL,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,8,6:30,0,4,1,80.0
34,2011-01-01,18-335,BOS,BUF,L-SO,1,1,2,2,0,1,0,0,0,,,,6,16.7,15,11:16,0,7,3,70.0
35,2011-01-03,18-337,BOS,TOR,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,14:21,0,2,5,28.6
36,2011-01-06,18-340,BOS,MIN,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,17,13:27,0,4,7,36.4
37,2011-01-08,18-342,BOS,MTL,L-OT,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,14:53,0,0,0,
38,2011-01-10,18-344,BOS,PIT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,12:27,0,1,1,50.0
39,2011-01-11,18-345,BOS,OTT,W,1,1,2,2,2,1,0,0,0,,,,3,33.3,17,11:51,0,2,2,50.0
40,2011-01-13,18-347,BOS,PHI,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,22,17:15,0,0,0,
41,2011-01-15,18-349,BOS,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,15:34,0,0,0,
42,2011-01-17,18-351,BOS,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:54,0,2,1,66.7
43,2011-01-18,18-352,BOS,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:05,0,0,0,
44,2011-01-20,18-354,BOS,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:40,0,0,0,
45,2011-01-22,18-356,BOS,COL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,19,12:38,0,2,2,50.0
46,2011-01-24,18-358,BOS,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,16,14:09,0,5,7,41.7
47,2011-01-26,18-360,BOS,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:26,0,2,4,33.3
48,2011-02-01,19-001,BOS,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,6:37,0,0,0,
49,2011-02-03,19-003,BOS,DAL,W,1,0,1,0,0,1,0,0,0,,,,4,25.0,11,7:35,0,0,0,
50,2011-02-05,19-005,BOS,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,13,8:57,0,0,0,
51,2011-02-13,19-013,BOS,DET,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,19,13:16,1,1,12,7.7
52,2011-02-15,19-015,BOS,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,13,12:12,0,5,2,71.4
53,2011-02-17,19-017,BOS,NYI,W,1,1,2,0,0,1,0,0,0,,,,2,50.0,17,14:04,0,7,3,70.0
54,2011-02-18,19-018,BOS,OTT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,13,11:08,0,0,1,0.0
55,2011-02-22,19-022,BOS,CGY,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,10:26,0,3,1,75.0
56,2011-02-26,19-026,BOS,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,6:16,0,3,1,75.0
57,2011-02-27,19-027,BOS,EDM,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,14,9:32,0,1,0,100.0
58,2011-03-01,19-029,BOS,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,12,10:04,1,0,2,0.0
