,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-12,27-072,FLA,MIN,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,20,12:30,2,0,0,
1,2023-10-14,27-074,FLA,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:40,1,0,0,
2,2023-10-16,27-076,FLA,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:12,1,0,0,
3,2023-10-19,27-079,FLA,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,12:10,3,0,0,
4,2023-10-21,27-081,FLA,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:49,3,0,0,
5,2023-10-24,27-084,FLA,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,17:06,1,0,0,
6,2023-10-28,27-088,FLA,SEA,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,14:45,0,0,0,
7,2023-10-30,27-090,FLA,BOS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,14:47,5,0,0,
8,2023-11-02,27-093,FLA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:47,0,0,0,
9,2023-11-04,27-095,FLA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:19,1,0,0,
10,2023-11-10,27-101,FLA,CAR,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,20,13:50,1,0,0,
11,2023-11-12,27-103,FLA,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:49,2,0,0,
12,2023-11-14,27-105,FLA,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,11:47,1,0,0,
13,2023-11-16,27-107,FLA,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,14:09,3,0,0,
14,2023-11-24,27-115,FLA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:00,0,0,0,
15,2023-12-10,27-131,FLA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:31,1,0,0,
16,2023-12-12,27-133,FLA,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:48,0,0,0,
17,2023-12-14,27-135,FLA,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,8:23,1,0,0,
18,2024-03-21,27-233,FLA,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,15:25,1,0,0,
19,2024-03-23,27-235,FLA,NYR,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,20:19,0,0,0,
20,2024-03-24,27-236,FLA,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:28,1,0,0,
21,2024-03-26,27-238,FLA,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:53,0,0,0,
22,2024-04-09,27-252,FLA,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,11:22,1,0,0,
23,2024-04-11,27-254,FLA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:37,2,0,0,
24,2024-04-13,27-256,FLA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:21,2,0,0,
25,2024-04-16,27-259,FLA,TOR,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,10:51,0,0,0,
