,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-22,19-331,ARI,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,15:18,0,0,0,
1,2021-01-24,19-333,ARI,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:04,2,0,0,
2,2021-05-07,20-070,ARI,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,17:21,0,0,0,
3,2021-05-08,20-071,ARI,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,23,20:31,2,0,0,
4,2021-10-14,20-230,ARI,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:34,1,0,0,
5,2021-10-16,20-232,ARI,BUF,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,18:27,0,0,0,
6,2021-10-18,20-234,ARI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:36,0,0,0,
7,2021-10-23,20-239,ARI,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:23,1,0,0,
8,2021-10-25,20-241,ARI,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,20:08,0,0,0,
9,2021-10-28,20-244,ARI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:21,0,0,0,
10,2021-10-29,20-245,ARI,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:55,0,0,0,
11,2021-10-31,20-247,ARI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:37,1,0,0,
12,2021-11-02,20-249,ARI,PHI,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,23,13:52,1,0,0,
13,2022-01-12,20-320,ARI,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,11:45,0,0,0,
14,2022-01-14,20-322,ARI,COL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,14:43,0,0,0,
15,2022-01-15,20-323,ARI,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,16:33,2,0,0,
16,2022-01-17,20-325,ARI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:05,3,0,0,
17,2022-04-26,21-059,ARI,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:31,0,0,0,
18,2022-04-27,21-060,ARI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:17,3,0,0,
19,2022-04-29,21-062,ARI,NSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,15:21,2,0,0,
20,2023-02-11,21-350,ARI,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:52,0,0,0,
21,2023-02-13,21-352,ARI,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,9:11,0,0,0,
22,2023-02-15,21-354,ARI,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:30,0,0,0,
23,2023-02-18,21-357,ARI,LAK,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,0,,20,12:43,0,0,0,
24,2023-02-19,21-358,ARI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,10:22,1,0,0,
25,2023-02-22,21-361,ARI,CGY,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:06,0,0,0,
26,2023-02-26,22-000,ARI,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:25,0,0,0,
27,2023-02-28,22-002,ARI,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,17:53,0,0,0,
28,2023-03-01,22-003,ARI,DAL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,12:33,1,0,0,
29,2023-03-03,22-005,ARI,CAR,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,20,16:24,2,0,0,
30,2023-03-05,22-007,ARI,NJD,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,21,14:38,1,0,0,
31,2023-03-07,22-009,ARI,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,17:38,1,0,0,
32,2023-03-09,22-011,ARI,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,21,15:04,0,0,0,
33,2023-03-11,22-013,ARI,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,17:26,0,0,0,
34,2023-03-12,22-014,ARI,MIN,W,0,1,1,-2,2,0,0,0,0,1,0,0,1,0.0,27,17:44,1,0,0,
35,2023-03-14,22-016,ARI,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,22:54,3,0,0,
36,2023-03-16,22-018,ARI,VAN,W,0,1,1,0,4,0,0,0,0,0,1,0,2,0.0,23,15:19,0,0,0,
37,2023-03-18,22-020,ARI,CHI,W,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,23,17:25,1,0,0,
38,2023-03-21,22-023,ARI,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,16:19,0,0,0,
39,2023-03-22,22-024,ARI,EDM,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,13:04,1,0,0,
40,2023-03-24,22-026,ARI,COL,L,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,23,21:19,0,0,0,
41,2023-03-26,22-028,ARI,COL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,20:59,2,0,0,
42,2023-03-27,22-029,ARI,EDM,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,25,15:42,0,0,0,
43,2023-03-31,22-033,ARI,DAL,L,0,0,0,1,4,0,0,0,0,0,0,0,0,,21,15:32,2,0,0,
44,2023-04-01,22-034,ARI,SJS,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,28,19:49,0,0,0,
45,2023-04-03,22-036,ARI,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,17:51,0,0,0,
46,2023-04-06,22-039,ARI,SEA,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,18:07,0,0,0,
47,2023-04-08,22-041,ARI,ANA,W,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,26,19:14,0,0,0,
48,2023-04-10,22-043,ARI,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:26,1,0,0,
49,2023-04-13,22-046,ARI,VAN,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,0,,24,17:40,0,0,0,
50,2024-01-27,22-335,ARI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:20,1,0,0,
51,2024-03-08,23-011,ARI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:58,0,0,0,
52,2024-03-10,23-013,ARI,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,13:16,2,0,0,
