,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-12-29,22-326,NYR,DET,L-SO,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,16,10:43,0,0,0,
1,2018-01-06,22-334,NYR,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,14:22,4,1,0,100.0
2,2018-01-07,22-335,NYR,VEG,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,13:28,1,0,0,
3,2018-01-13,22-341,NYR,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,12:32,2,1,2,33.3
4,2018-01-14,22-342,NYR,PIT,L,0,1,1,-2,0,0,0,0,0,1,0,0,0,,20,11:27,2,0,0,
5,2018-01-16,22-344,NYR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:24,3,0,0,
6,2018-01-18,22-346,NYR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:54,2,0,0,
7,2018-01-20,22-348,NYR,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,18,12:14,1,0,0,
8,2018-01-21,22-349,NYR,LAK,L,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,17,13:26,0,0,0,
9,2018-01-23,22-351,NYR,ANA,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,17,12:22,1,0,2,0.0
10,2018-02-05,22-364,NYR,DAL,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,19,13:53,1,0,1,0.0
11,2018-02-07,23-001,NYR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,17:26,1,0,0,
12,2018-02-09,23-003,NYR,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,9:43,0,0,0,
13,2018-02-11,23-005,NYR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:47,1,0,0,
14,2018-02-13,23-007,NYR,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:52,0,0,0,
15,2018-02-15,23-009,NYR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:44,2,0,0,
16,2018-02-22,23-016,NYR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,7:21,0,1,0,100.0
17,2018-02-23,23-017,NYR,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:42,1,2,2,50.0
18,2018-02-25,23-019,NYR,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:44,0,0,0,
19,2018-10-04,23-240,NYR,NSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,16,10:45,3,0,0,
20,2018-10-06,23-242,NYR,BUF,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,13,7:53,2,0,0,
21,2018-10-11,23-247,NYR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:58,1,1,0,100.0
22,2018-10-13,23-249,NYR,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:46,1,1,0,100.0
23,2018-10-16,23-252,NYR,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:11,0,1,0,100.0
24,2018-10-17,23-253,NYR,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:46,1,0,0,
25,2018-10-21,23-257,NYR,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:32,5,1,0,100.0
26,2018-10-30,23-266,NYR,SJS,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,13,10:56,1,0,0,
27,2018-11-01,23-268,NYR,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:04,0,0,1,0.0
28,2018-11-04,23-271,NYR,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,10:52,1,2,1,66.7
29,2018-11-09,23-276,NYR,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:37,0,0,0,
30,2018-11-12,23-279,NYR,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:18,0,0,0,
31,2018-11-15,23-282,NYR,NYI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,11,7:24,0,0,1,0.0
32,2018-11-17,23-284,NYR,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,9,4:29,0,0,0,
33,2018-12-01,23-298,NYR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:23,0,0,0,
34,2018-12-02,23-299,NYR,WPG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:31,1,0,0,
35,2019-02-06,24-000,NYR,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,8,7:12,2,0,0,
36,2019-02-08,24-002,NYR,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,8,5:51,2,0,1,0.0
37,2019-03-19,24-041,NYR,DET,L,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,13:02,3,0,0,
38,2019-03-23,24-045,NYR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:31,0,0,0,
39,2019-03-25,24-047,NYR,PIT,L,1,0,1,-1,0,0,1,0,0,0,0,0,5,20.0,21,19:13,1,0,0,
40,2019-03-27,24-049,NYR,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:48,4,0,1,0.0
41,2019-03-29,24-051,NYR,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,12:54,3,0,0,
42,2019-03-31,24-053,NYR,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:07,1,1,0,100.0
43,2019-04-01,24-054,NYR,NJD,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,13,11:39,1,0,0,
44,2019-04-03,24-056,NYR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:51,2,0,0,
45,2019-04-05,24-058,NYR,CBJ,L-SO,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,18,14:39,6,0,1,0.0
46,2021-01-26,25-355,ANA,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,13:45,4,0,0,
47,2021-02-24,26-018,ANA,ARI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,8:45,2,0,3,0.0
48,2021-03-10,26-032,ANA,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,14:57,3,0,0,
49,2021-03-12,26-034,ANA,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,15:31,0,1,0,100.0
50,2021-03-13,26-035,ANA,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,13,10:38,0,1,0,100.0
51,2021-10-31,26-267,ANA,MTL,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,21,14:44,2,0,0,
52,2021-11-02,26-269,ANA,NJD,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,17,13:53,2,0,0,
53,2021-11-05,26-272,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:43,3,0,0,
54,2021-12-01,26-298,ANA,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,11:29,2,0,0,
55,2021-12-03,26-300,ANA,CGY,L-SO,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,12,7:32,2,0,0,
56,2021-12-06,26-303,ANA,WSH,L-SO,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,16,12:15,1,1,0,100.0
57,2021-12-07,26-304,ANA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,13:15,0,1,0,100.0
58,2021-12-09,26-306,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,17,15:40,3,0,0,
59,2021-12-29,26-326,ANA,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,18:37,4,1,0,100.0
60,2021-12-31,26-328,ANA,VEG,L,0,1,1,-2,0,0,0,0,0,0,1,0,0,,14,11:10,1,0,1,0.0
61,2022-01-02,26-330,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:41,0,0,0,
62,2022-01-04,26-332,ANA,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,13:14,1,1,0,100.0
63,2022-01-15,26-343,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,16:06,3,0,0,
64,2022-01-19,26-347,ANA,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:19,0,0,0,
65,2022-01-21,26-349,ANA,TBL,W,1,1,2,1,2,1,0,0,0,0,1,0,2,50.0,17,10:53,1,0,0,
66,2022-01-26,26-354,ANA,TOR,L-SO,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,13,13:04,1,0,0,
67,2022-01-27,26-355,ANA,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:49,0,0,0,
68,2022-03-10,27-032,ANA,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:41,1,0,0,
69,2022-03-12,27-034,ANA,NJD,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,9:12,1,0,0,
70,2022-03-13,27-035,ANA,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,21,16:24,0,4,3,57.1
71,2022-03-15,27-037,ANA,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:57,1,4,3,57.1
72,2022-03-18,27-040,ANA,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:18,0,0,1,0.0
73,2022-03-21,27-043,ANA,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,13,11:03,0,0,1,0.0
74,2022-03-23,27-045,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:04,1,0,1,0.0
75,2022-03-26,27-048,ANA,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,10,8:50,0,0,0,
76,2022-03-29,27-051,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,6:19,0,0,0,
77,2022-04-03,27-056,ANA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:10,2,0,1,0.0
78,2022-04-06,27-059,ANA,CGY,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,16,12:43,3,0,0,
79,2022-04-24,27-077,ANA,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,14,11:56,3,0,0,
80,2022-04-26,27-079,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:39,1,0,0,
81,2022-04-29,27-082,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:19,1,0,0,
82,2023-04-09,28-062,BOS,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,9:50,3,0,1,0.0
83,2023-10-24,28-260,MIN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:48,1,0,0,
84,2023-10-26,28-262,MIN,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,12:33,0,4,1,80.0
85,2023-10-27,28-263,MIN,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,11:38,1,1,1,50.0
86,2023-10-29,28-265,MIN,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:39,0,0,1,0.0
87,2023-11-02,28-269,MIN,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:44,3,0,0,
88,2023-11-04,28-271,MIN,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:06,0,3,2,60.0
89,2023-11-07,28-274,MIN,NYI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,16,12:37,1,4,1,80.0
90,2023-11-09,28-276,MIN,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,11:08,1,1,0,100.0
91,2023-11-10,28-277,MIN,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,11:11,3,0,3,0.0
92,2023-11-12,28-279,MIN,DAL,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,21,14:41,1,1,2,33.3
93,2023-11-18,28-285,MIN,OTT,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,14:35,1,7,4,63.6
94,2023-11-28,28-295,MIN,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:22,0,1,0,100.0
95,2023-11-30,28-297,MIN,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:14,1,1,0,100.0
96,2023-12-18,28-315,MIN,PIT,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,10,9:30,1,0,0,
97,2023-12-19,28-316,MIN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,6:27,2,0,2,0.0
98,2023-12-21,28-318,MIN,MTL,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,12,8:18,2,0,0,
99,2023-12-23,28-320,MIN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,10:19,3,0,0,
100,2023-12-27,28-324,MIN,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,9:27,4,0,0,
101,2023-12-30,28-327,MIN,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,7:04,0,0,0,
102,2024-02-07,29-001,MIN,CHI,W,0,2,2,1,0,0,0,0,0,2,0,0,0,,13,8:54,1,1,1,50.0
103,2024-02-09,29-003,MIN,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:48,1,0,1,0.0
