,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-17,21-197,CHI,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,14,9:47,0,2,3,40.0
1,2015-10-22,21-202,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:42,0,4,7,36.4
2,2015-10-24,21-204,CHI,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:23,0,3,3,50.0
3,2015-10-26,21-206,CHI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:15,1,3,4,42.9
4,2016-02-15,21-318,CHI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:37,1,1,1,50.0
5,2016-02-17,21-320,CHI,NYR,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,11,6:34,0,0,0,
6,2016-02-21,21-324,CHI,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,8:32,0,0,1,0.0
7,2016-10-12,22-192,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:47,1,1,1,50.0
8,2016-10-14,22-194,CHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:24,0,0,0,
9,2016-10-15,22-195,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:29,0,0,0,
10,2016-10-18,22-198,CHI,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:14,1,0,0,
11,2016-10-30,22-210,CHI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:20,0,1,0,100.0
12,2016-11-01,22-212,CHI,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:08,2,0,1,0.0
13,2016-11-11,22-222,CHI,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,10:24,0,2,2,50.0
14,2016-11-13,22-224,CHI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13:21,1,0,0,
15,2016-11-15,22-226,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:26,0,0,0,
16,2016-11-19,22-230,CHI,VAN,W,1,2,3,1,0,1,0,0,0,2,0,0,3,33.3,16,10:10,0,1,5,16.7
17,2016-11-21,22-232,CHI,EDM,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,11:39,1,5,6,45.5
18,2016-11-23,22-234,CHI,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:32,0,2,6,25.0
19,2016-11-25,22-236,CHI,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:49,0,3,12,20.0
20,2016-11-26,22-237,CHI,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13:29,2,4,5,44.4
21,2016-11-29,22-240,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,15:33,1,4,5,44.4
22,2016-12-01,22-242,CHI,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,13:31,1,5,6,45.5
23,2016-12-03,22-244,CHI,PHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,13:42,0,1,8,11.1
24,2016-12-04,22-245,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:24,2,4,6,40.0
25,2016-12-06,22-247,CHI,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:42,0,3,3,50.0
26,2016-12-09,22-250,CHI,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:53,0,3,3,50.0
27,2016-12-11,22-252,CHI,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,15,10:10,0,5,3,62.5
28,2016-12-13,22-254,CHI,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,10:19,1,3,2,60.0
29,2016-12-15,22-256,CHI,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:50,0,2,3,40.0
30,2016-12-17,22-258,CHI,STL,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,13,10:14,1,1,5,16.7
31,2016-12-18,22-259,CHI,SJS,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,18,15:52,1,4,7,36.4
32,2016-12-20,22-261,CHI,OTT,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,11:47,0,4,3,57.1
33,2016-12-23,22-264,CHI,COL,L-OT,0,0,0,0,4,0,0,0,0,0,0,0,4,0.0,22,15:12,2,5,5,50.0
34,2016-12-27,22-268,CHI,WPG,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,20,14:36,1,1,1,50.0
35,2016-12-29,22-270,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,15:31,1,2,0,100.0
36,2016-12-30,22-271,CHI,CAR,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,21,17:31,1,0,0,
37,2017-01-02,22-274,CHI,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,14:52,0,0,1,0.0
38,2017-01-05,22-277,CHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,15,10:48,2,1,1,50.0
39,2017-01-06,22-278,CHI,CAR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,15:28,0,0,0,
40,2017-01-08,22-280,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:34,1,0,0,
41,2017-01-10,22-282,CHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,15:11,0,0,0,
42,2017-01-13,22-285,CHI,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20,14:53,0,0,0,
43,2017-01-15,22-287,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:46,3,0,0,
44,2017-01-17,22-289,CHI,COL,W,2,0,2,3,0,2,0,0,1,0,0,0,5,40.0,16,11:08,0,0,0,
45,2017-01-20,22-292,CHI,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,13:28,1,0,0,
46,2017-01-22,22-294,CHI,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:35,0,1,0,100.0
47,2017-01-24,22-296,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:06,0,0,0,
48,2017-01-26,22-298,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,5:44,0,0,0,
49,2017-01-31,22-303,CHI,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:13,1,0,0,
50,2017-02-08,22-311,CHI,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,11:15,2,0,0,
51,2017-02-10,22-313,CHI,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:23,0,,,
52,2017-02-11,22-314,CHI,EDM,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,13,10:19,0,0,0,
53,2017-02-19,22-322,CHI,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,11:22,1,0,0,
54,2017-02-21,22-324,CHI,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:18,0,0,1,0.0
55,2017-04-04,23-001,CHI,COL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,14,11:34,0,0,2,0.0
56,2017-12-08,23-249,CHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,12:02,0,3,4,42.9
57,2017-12-10,23-251,CHI,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,17,11:52,2,10,5,66.7
58,2017-12-12,23-253,CHI,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,10:01,2,2,7,22.2
59,2017-12-14,23-255,CHI,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,12:25,0,3,5,37.5
60,2017-12-17,23-258,CHI,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,11:41,0,2,4,33.3
61,2017-12-21,23-262,CHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,12:12,0,3,8,27.3
62,2017-12-29,23-270,CHI,EDM,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,17,13:26,0,2,0,100.0
63,2017-12-31,23-272,CHI,CGY,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,19,12:47,0,1,1,50.0
64,2018-01-03,23-275,CHI,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,12:54,0,1,0,100.0
65,2018-01-05,23-277,CHI,VEG,L,1,2,3,0,0,1,0,0,0,2,0,0,2,50.0,21,14:48,0,0,3,0.0
66,2018-01-07,23-279,CHI,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,22,14:10,0,1,0,100.0
67,2018-01-09,23-281,CHI,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,16,10:07,1,0,0,
68,2018-01-10,23-282,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,17:24,0,2,0,100.0
69,2018-01-12,23-284,CHI,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:21,0,0,0,
70,2018-01-14,23-286,CHI,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,12:35,0,0,0,
71,2018-01-20,23-292,CHI,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,14,9:20,2,0,2,0.0
72,2018-01-22,23-294,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:56,1,0,0,
