,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-26,21-359,CAR,OTT,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,17,11:12,5,0,0,
1,2018-03-27,21-360,CAR,NJD,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,12:39,0,0,0,
2,2018-10-04,22-186,CAR,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,16:11,2,0,0,
3,2018-10-05,22-187,CAR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,17:34,0,1,0,100.0
4,2018-10-07,22-189,CAR,NYR,W,2,1,3,0,0,2,0,0,0,1,0,0,2,100.0,22,13:27,2,0,0,
5,2018-10-09,22-191,CAR,VAN,W,1,0,1,1,2,1,0,0,0,0,0,0,7,14.3,29,17:08,2,1,0,100.0
6,2018-10-13,22-195,CAR,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:24,0,1,0,100.0
7,2018-10-14,22-196,CAR,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,16:56,2,1,0,100.0
8,2018-10-16,22-198,CAR,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,15:09,1,1,0,100.0
9,2018-10-20,22-202,CAR,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,16:35,4,0,0,
10,2018-10-22,22-204,CAR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:04,3,0,1,0.0
11,2018-10-26,22-208,CAR,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,30,20:56,0,0,0,
12,2018-10-28,22-210,CAR,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,14:31,1,0,0,
13,2018-10-30,22-212,CAR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,17:07,1,0,0,
14,2018-11-02,22-215,CAR,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,10:49,0,0,0,
15,2018-11-03,22-216,CAR,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:53,1,0,0,
16,2018-11-06,22-219,CAR,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,16:47,1,0,0,
17,2018-11-08,22-221,CAR,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,16:22,2,0,0,
18,2018-11-10,22-223,CAR,DET,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,19:42,2,0,0,
19,2018-11-12,22-225,CAR,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:10,2,0,0,
20,2018-11-17,22-230,CAR,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:31,2,0,0,
21,2018-11-18,22-231,CAR,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:46,2,0,0,
22,2018-11-21,22-234,CAR,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,11:51,0,1,1,50.0
23,2018-11-23,22-236,CAR,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:33,5,1,0,100.0
24,2018-11-24,22-237,CAR,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:19,1,0,0,
25,2018-11-27,22-240,CAR,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,16:00,2,0,0,
26,2018-11-30,22-243,CAR,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:11,5,0,1,0.0
27,2018-12-02,22-245,CAR,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:41,1,0,0,
