,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-03-26,22-097,BUF,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:54,3,0,0,
1,2019-03-28,22-099,BUF,DET,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,14:32,2,0,0,
2,2019-03-30,22-101,BUF,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,18:27,6,0,0,
3,2019-03-31,22-102,BUF,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,18:19,1,0,0,
4,2021-02-15,24-058,BUF,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,14:43,3,0,0,
5,2021-02-16,24-059,BUF,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:26,5,0,0,
6,2021-02-18,24-061,BUF,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,16:31,4,0,0,
7,2021-02-20,24-063,BUF,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:14,0,0,0,
8,2021-04-22,24-124,BUF,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:20,3,0,0,
9,2021-04-23,24-125,BUF,BOS,W,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,16,15:14,3,0,0,
10,2021-04-27,24-129,BUF,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,15:12,3,0,0,
11,2021-04-29,24-131,BUF,BOS,L,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,13:08,0,0,0,
12,2021-05-01,24-133,BUF,BOS,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,21,16:07,4,0,0,
13,2021-05-03,24-135,BUF,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:43,5,0,0,
14,2021-11-27,24-343,SEA,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,13:51,0,0,0,
15,2021-11-29,24-345,SEA,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,17:06,1,0,0,
16,2021-12-06,24-352,SEA,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,16:30,2,0,0,
17,2021-12-09,24-355,SEA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,13:01,0,0,0,
18,2021-12-15,24-361,SEA,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,11:58,3,0,0,
19,2021-12-29,25-010,SEA,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:31,3,0,0,
20,2021-12-30,25-011,SEA,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,22,14:16,1,0,0,
21,2022-01-01,25-013,SEA,VAN,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,20,13:12,0,0,0,
22,2022-01-12,25-024,SEA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,16:29,1,0,0,
23,2022-01-17,25-029,SEA,CHI,W,0,0,0,1,7,0,0,0,0,0,0,0,0,,16,10:48,2,0,0,
24,2022-01-20,25-032,SEA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,15:43,3,0,0,
25,2022-01-21,25-033,SEA,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,17:29,9,0,0,
26,2022-01-25,25-037,SEA,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,12:54,7,0,0,
27,2022-01-27,25-039,SEA,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:27,2,0,0,
28,2022-01-30,25-042,SEA,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:54,2,0,0,
29,2022-02-09,25-052,SEA,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,13:58,1,0,0,
30,2022-03-16,25-087,SEA,TBL,L,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,22,12:49,1,0,0,
31,2022-03-22,25-093,SEA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,15:11,0,0,0,
32,2022-03-26,25-097,SEA,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,17:57,8,0,0,
33,2022-03-28,25-099,SEA,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:21,3,0,0,
34,2022-03-30,25-101,SEA,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,13:29,5,0,0,
35,2022-04-01,25-103,SEA,VEG,L,0,1,1,2,0,0,0,0,0,1,0,0,0,,24,16:25,6,0,0,
36,2022-04-03,25-105,SEA,DAL,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,20,15:38,6,0,0,
37,2022-04-06,25-108,SEA,STL,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,15:06,3,0,0,
38,2022-04-07,25-109,SEA,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:04,1,0,0,
39,2022-04-09,25-111,SEA,CGY,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,18,13:10,1,0,0,
40,2022-04-12,25-114,SEA,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:02,1,0,0,
41,2022-04-16,25-118,SEA,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,22,15:43,2,0,0,
42,2022-04-18,25-120,SEA,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,15:45,3,0,0,
